open_time_ms,open,high,low,close,volume,quote_volume
1782259200000,0.7647000,0.8557000,0.6417000,0.8215000,67403205,48350131.3697000
1782345600000,0.8216000,0.8337000,0.5413000,0.5603000,68165737,42877553.9531000
1782432000000,0.5603000,0.5674000,0.4070000,0.4537000,105072522,48302878.9229000
1782518400000,0.4538000,0.4623000,0.3766000,0.4285000,73983949,31430164.6083000
1782604800000,0.4285000,0.6186000,0.3935000,0.4908000,176001295,93480130.6627000
1782691200000,0.4908000,0.6235000,0.4617000,0.5372000,81192475,43434296.8068000
1782777600000,0.5370000,0.5666000,0.4767000,0.5063000,96849374,48964538.2453000
1782864000000,0.5064000,0.6131000,0.4986000,0.5611000,135018456,73633405.1069000
1782950400000,0.5611000,0.5945000,0.4752000,0.5574000,143499623,76515413.0842000
1783036800000,0.5577000,0.6044000,0.5006000,0.5410000,121490062,65576348.8306000
1783123200000,0.5409000,0.6832000,0.4941000,0.6111000,175669890,96426558.9552000
1783209600000,0.6112000,0.6281000,0.5266000,0.5523000,185815185,107437670.4841000
1783296000000,0.5523000,0.5748000,0.5315000,0.5360000,109113028,60771311.9963000
1783382400000,0.5359000,0.5897000,0.5349000,0.5589000,117172644,65936726.0318000
1783468800000,0.5588000,0.5790000,0.5231000,0.5557000,115875969,64280236.0016000
1783555200000,0.5557000,0.5996000,0.5456000,0.5727000,95364729,53814901.5135000
1783641600000,0.5727000,0.5795000,0.5310000,0.5533000,88907427,49803206.6290000
1783728000000,0.5534000,0.6052000,0.5464000,0.5639000,75970831,43334438.4057000
1783814400000,0.5639000,0.5713000,0.5367000,0.5426000,69307060,38247170.0183000
1783900800000,0.5425000,0.5671000,0.4727000,0.5247000,132907981,70729550.4556000
1783987200000,0.5247000,0.5591000,0.5054000,0.5563000,16979672,8934336.2837000
1784073600000,0.5564000,0.5925000,0.5483000,0.5561000,14830133,8434119.4558000
1784160000000,0.5562000,0.5663000,0.5182000,0.5230000,7177410,3912109.5352000
1784246400000,0.5229000,0.6549000,0.5182000,0.5665000,36424952,21370732.5475000
1784332800000,0.5668000,0.6016000,0.5320000,0.5752000,10473212,6013340.3287000
1784419200000,0.5753000,0.5946000,0.5698000,0.5916000,3982479,2320925.7960000
1784505600000,0.5915000,0.6750000,0.5795000,0.6265000,14667432,9139377.1162000
1784592000000,0.6267000,0.6463000,0.6022000,0.6199000,7708874,4776509.6997000
1784678400000,0.6201000,0.6366000,0.5710000,0.5908000,8077651,4830532.6526000
1784764800000,0.5910000,0.8037000,0.5353000,0.5375000,136211543,88695443.7164000
1784851200000,0.5375000,0.5492000,0.4805000,0.4851000,36162135,18644786.8968000
1784937600000,0.4854000,0.5168000,0.4582000,0.5093000,24454856,11982055.5572000
1785024000000,0.5093000,0.5117000,0.4647000,0.4782000,9913281,4795939.1341000
1785110400000,0.4784000,0.4874000,0.4261000,0.4821000,18316566,8391708.9006000
1785196800000,0.4821000,0.5161000,0.4428000,0.4876000,33959642,16362603.3338000
1785283200000,0.4876000,0.5130000,0.4669000,0.4801000,12375609,6062715.3655000
1785369600000,0.4803000,0.5182000,0.4621000,0.5043000,14015013,6864413.3682000
1785456000000,0.5043000,0.5136000,0.4922000,0.4986000,8171955,4120768.9462000
1785542400000,0.4985000,0.5254000,0.4832000,0.5160000,6779379,3430412.2376000
1785628800000,0.5160000,0.5281000,0.4796000,0.4810000,7582323,3848172.1726000
1785715200000,0.4811000,0.5071000,0.4659000,0.4994000,7092433,3397265.4808000
1785801600000,0.4993000,0.5162000,0.4905000,0.5061000,5788294,2925515.9442000
1785888000000,0.5060000,0.5077000,0.4766000,0.4915000,5635025,2768574.5953000
1785974400000,0.4915000,0.4999000,0.4781000,0.4822000,3640883,1767007.2766000
1786060800000,0.4821000,0.4977000,0.4723000,0.4789000,4290093,2077271.3867000
1786147200000,0.4790000,0.4830000,0.4652000,0.4690000,3091684,1464557.9146000
1786233600000,0.4690000,0.4804000,0.4512000,0.4741000,3324714,1547031.2815000
1786320000000,0.4740000,0.4857000,0.4465000,0.4550000,4048547,1886757.9572000
1786406400000,0.4550000,0.4589000,0.4450000,0.4469000,2720615,1228657.2480000
1786492800000,0.4469000,0.4528000,0.4325000,0.4408000,3632889,1618168.9122000
1786579200000,0.4407000,0.4555000,0.4220000,0.4475000,4587576,2014782.5635000
1786665600000,0.4472000,0.4596000,0.4387000,0.4438000,2429027,1089352.9440000
1786752000000,0.4437000,0.4665000,0.4395000,0.4570000,1927725,869331.6952000
1786838400000,0.4569000,0.5116000,0.4431000,0.4512000,10096128,4754403.8250000
1786924800000,0.4512000,0.5213000,0.4495000,0.4586000,20927750,10312975.5246000
1787011200000,0.4586000,0.4904000,0.4367000,0.4857000,8926055,4132883.9268000
1787097600000,0.4856000,0.5093000,0.4550000,0.4882000,8833726,4271303.8116000
1787184000000,0.4882000,0.5082000,0.4651000,0.4816000,6017952,2916725.8199000
1787270400000,0.4816000,0.5409000,0.4701000,0.5139000,8437470,4254079.1776000
1787356800000,0.5136000,0.5681000,0.4098000,0.4363000,23770536,11526917.6950000
1787443200000,0.4362000,0.4507000,0.4075000,0.4426000,8270844,3589023.1002000
1787529600000,0.4423000,0.4477000,0.4153000,0.4311000,7057729,3040011.1692000
1787616000000,0.4310000,0.4529000,0.4262000,0.4470000,5438820,2389010.0164000
1787702400000,0.4470000,0.4585000,0.4397000,0.4479000,3606255,1615723.6622000
1787788800000,0.4479000,0.4530000,0.4347000,0.4363000,2991015,1321409.6607000
1787875200000,0.4365000,0.4576000,0.4207000,0.4536000,5530364,2452986.1517000
1787961600000,0.4539000,0.5605000,0.4521000,0.5322000,66517634,34618045.7601000
1788048000000,0.5322000,0.6110000,0.5226000,0.5357000,25657272,14040125.4759000
1788134400000,0.5357000,0.5748000,0.5262000,0.5542000,10465057,5711920.6870000
