open_time_ms,open,high,low,close,volume,quote_volume
1616371200000,0.06162,0.06277,0.04727,0.05248,505385926,27268688.86698
1616457600000,0.05246,0.06300,0.04374,0.05080,1250385114,65134774.72414
1616544000000,0.05087,0.06600,0.04977,0.05389,1771918375,104361062.67762
1616630400000,0.05389,0.05712,0.04837,0.05072,563199454,29193790.78542
1616716800000,0.05065,0.05615,0.04990,0.05602,420486232,22067401.54096
1616803200000,0.05602,0.06094,0.05403,0.05894,529094225,30359587.07186
1616889600000,0.05899,0.05914,0.05316,0.05610,317069633,17743955.26894
1616976000000,0.05615,0.05980,0.05417,0.05678,340247438,19269932.58198
1617062400000,0.05679,0.06077,0.05537,0.05830,419192567,24283275.52260
1617148800000,0.05830,0.07100,0.05654,0.06629,1824329855,118547718.44544
1617235200000,0.06627,0.07054,0.06155,0.06518,694090679,45815879.83002
1617321600000,0.06524,0.08700,0.06322,0.08508,1732304325,135267836.92305
1617408000000,0.08509,0.08800,0.06920,0.07139,1042342647,80196655.70651
1617494400000,0.07125,0.08060,0.06970,0.07700,643283526,48643381.47067
1617580800000,0.07700,0.09981,0.07615,0.07982,1408099984,123913235.47910
1617667200000,0.07988,0.08793,0.07216,0.08222,844308262,67431602.10036
1617753600000,0.08216,0.08217,0.05637,0.06223,1708174595,110855539.67196
1617840000000,0.06233,0.07958,0.06232,0.07846,1032633950,75350050.39117
1617926400000,0.07851,0.07993,0.07300,0.07602,373544713,28426859.12771
1618012800000,0.07610,0.07632,0.06850,0.07141,355312534,25457911.02348
1618099200000,0.07142,0.07372,0.06342,0.07242,579463086,40293066.43325
1618185600000,0.07247,0.07257,0.06698,0.06811,247564220,17069640.96990
1618272000000,0.06814,0.07224,0.06437,0.07097,370206939,24985878.48103
1618358400000,0.07097,0.07111,0.05855,0.06357,571472138,36309046.91039
1618444800000,0.06356,0.06761,0.06306,0.06586,379865379,24782547.69565
1618531200000,0.06585,0.06621,0.05689,0.06230,720951576,44484106.48660
1618617600000,0.06241,0.07359,0.06183,0.06546,820230209,54821066.91786
1618704000000,0.06546,0.06978,0.03675,0.05620,875218277,48723839.12215
1618790400000,0.05620,0.05722,0.04883,0.05043,431205531,22890633.35358
1618876800000,0.05045,0.05194,0.04146,0.04931,603965191,28368756.54757
1618963200000,0.04933,0.05545,0.04850,0.04909,477171965,24872742.13189
1619049600000,0.04906,0.05500,0.04208,0.04257,1268279850,62977750.98690
1619136000000,0.04255,0.04322,0.03030,0.04020,1524984694,54889163.05988
1619222400000,0.04020,0.04880,0.03913,0.04093,1478488126,64863942.83694
1619308800000,0.04090,0.04462,0.03701,0.04026,571487027,23758076.88501
1619395200000,0.04026,0.04758,0.03942,0.04745,396065051,17724817.16499
1619481600000,0.04745,0.05647,0.04636,0.05416,922303906,47916694.92785
1619568000000,0.05415,0.05483,0.04633,0.05281,1043058161,53616383.64927
1619654400000,0.05282,0.05291,0.04738,0.05059,573415273,28732388.37633
1619740800000,0.05057,0.06280,0.04876,0.06240,890187934,48201206.79024
1619827200000,0.06235,0.06250,0.05716,0.06003,1000215893,59435078.41140
1619913600000,0.06000,0.06015,0.05448,0.05715,385757251,22027456.19481
1620000000000,0.05717,0.05849,0.05450,0.05702,430936515,24671819.38123
1620086400000,0.05700,0.05704,0.04827,0.04883,581659843,30078651.27359
1620172800000,0.04882,0.05590,0.04710,0.05355,1261185356,67092234.68781
1620259200000,0.05357,0.05385,0.04784,0.05041,610227626,31336319.56299
1620345600000,0.05043,0.05360,0.04755,0.05051,566019997,28748558.18788
1620432000000,0.05054,0.05232,0.04893,0.04982,282692356,14321664.85343
1620518400000,0.04980,0.05026,0.04500,0.04825,348111521,16526123.93506
1620604800000,0.04829,0.04909,0.03722,0.04165,660960092,29241271.48847
1620691200000,0.04164,0.05325,0.04046,0.04700,1813893898,87097445.74068
1620777600000,0.04697,0.04795,0.03717,0.03795,633595603,27978729.40767
1620864000000,0.03797,0.04131,0.03535,0.03889,721893041,27736580.04310
1620950400000,0.03888,0.04350,0.03854,0.04006,597522361,24671783.71431
