open_time_ms,open,high,low,close,volume,quote_volume
1580688000000,75.81,78.27,75.70,76.72,177071.103,13656269.55704
1580774400000,76.73,77.30,73.73,75.27,230733.121,17355440.75840
1580860800000,75.27,79.20,74.55,77.87,275305.488,21150089.00501
1580947200000,77.94,80.23,76.28,78.39,130355.894,10233255.13617
1581033600000,78.38,81.01,78.36,79.63,145821.539,11643226.99631
1581120000000,79.63,81.71,76.84,80.77,124853.413,9952207.67808
1581206400000,80.77,87.99,80.60,87.68,167717.445,14155728.46293
1581292800000,87.71,88.01,83.17,84.73,125420.882,10686868.44080
1581379200000,84.66,89.84,82.69,89.68,218711.154,18608647.75903
1581465600000,89.65,94.74,89.59,94.47,191814.211,17665168.48326
1581552000000,94.46,95.91,89.69,92.44,216644.758,20086083.54641
1581638400000,92.44,95.48,91.02,95.33,111776.785,10458220.98346
1581724800000,95.32,97.14,86.45,89.29,149330.801,13803124.58739
1581811200000,89.29,92.20,79.52,87.81,288121.713,25010889.13177
1581897600000,87.83,89.31,79.19,82.70,244112.596,20492445.98271
1581984000000,82.72,87.41,81.22,86.35,96280.155,8111738.03545
1582070400000,86.37,87.21,75.71,77.72,102052.217,8618962.37816
1582156800000,77.64,79.20,75.02,76.47,106364.563,8238393.80971
1582243200000,76.49,82.72,75.64,80.29,103280.870,8214235.90916
1582329600000,80.26,82.88,78.12,78.91,115768.617,9307555.00205
1582416000000,78.94,85.67,78.89,85.12,140935.878,11742997.55984
1582502400000,85.11,86.45,76.97,79.30,179932.354,14721787.42363
1582588800000,79.27,82.12,75.42,76.61,153178.680,12018831.95258
1582675200000,76.52,78.00,68.32,70.63,149823.543,10879407.24770
1582761600000,70.62,72.73,66.69,70.18,126596.031,8874806.47279
1582848000000,70.26,71.69,66.03,68.24,123015.994,8439659.69960
1582934400000,68.21,69.15,65.91,66.02,105065.482,7112610.54545
1583020800000,65.95,67.72,63.20,64.46,123952.573,8149824.38339
1583107200000,64.49,69.26,64.29,68.76,113357.376,7603367.65278
1583193600000,68.86,69.03,64.85,65.91,108019.570,7221504.96646
1583280000000,65.91,68.06,64.78,65.69,78746.254,5240887.75425
1583366400000,65.73,70.08,65.73,68.52,104782.491,7168303.76210
1583452800000,68.52,69.75,67.54,69.16,77603.957,5316524.68476
1583539200000,69.13,69.63,65.21,65.74,115506.528,7775916.33898
1583625600000,65.73,65.73,55.68,56.40,165098.142,10105836.70659
1583712000000,56.44,57.77,52.21,55.78,189648.476,10403104.40160
1583798400000,55.76,56.98,53.59,54.85,120467.549,6651242.83137
1583884800000,54.85,56.01,50.95,54.21,118762.807,6399411.96727
1583971200000,54.19,54.32,30.36,32.02,393460.670,16539053.22662
1584057600000,31.88,40.43,24.64,36.82,292855.168,10021203.37753
1584144000000,36.76,40.00,35.22,36.01,188080.513,7033644.58150
1584230400000,36.06,41.25,35.52,37.87,203791.174,7631840.80962
1584316800000,37.87,38.77,29.10,33.87,257974.280,8663985.07932
1584403200000,33.87,37.42,33.37,36.11,191364.078,6896975.17605
1584489600000,36.10,37.80,33.84,37.06,296707.634,10586416.25022
1584576000000,37.04,42.92,35.99,40.80,219008.112,8545375.81766
1584662400000,40.80,45.46,36.34,40.33,366809.920,15229462.93171
1584748800000,40.31,42.97,38.35,41.21,317578.292,12858575.11058
1584835200000,41.17,42.59,37.56,37.99,209833.517,8458984.45456
1584921600000,37.98,44.53,37.37,44.39,190215.103,7830014.81378
1585008000000,44.42,48.19,43.02,47.12,223364.755,10152920.39212
1585094400000,47.11,48.02,44.80,47.06,153594.152,7113566.28689
1585180800000,47.08,51.00,47.08,50.25,263615.001,13011402.53342
1585267200000,50.26,51.41,47.14,47.63,172255.981,8560129.75823
1585353600000,47.62,48.44,44.88,47.08,208433.092,9700444.64023
1585440000000,47.06,47.28,43.93,43.99,126575.731,5738882.43808
1585526400000,44.00,47.67,43.78,46.27,147765.734,6844430.71696
1585612800000,46.30,48.48,46.22,47.60,81319.416,3855125.67322
1585699200000,47.59,48.84,46.34,48.38,77506.778,3667316.91280
1585785600000,48.39,53.20,47.84,50.75,129761.435,6480962.20051
1585872000000,50.72,54.23,50.20,52.96,202392.259,10718269.13529
1585958400000,52.96,55.29,52.10,54.01,184999.650,9964525.73247
1586044800000,53.98,54.31,52.51,53.16,126773.984,6790311.72236
1586131200000,53.16,59.26,53.09,58.90,187046.108,10624270.63613
1586217600000,58.97,60.66,54.75,55.99,183136.067,10568701.41626
1586304000000,55.95,58.31,55.53,57.88,116256.620,6648883.85524
1586390400000,57.90,58.95,56.03,58.40,118365.826,6838358.04973
1586476800000,58.33,58.45,52.39,53.66,141304.416,7735290.57580
1586563200000,53.69,54.90,52.49,53.88,111332.544,5962397.83875
1586649600000,53.88,55.59,52.80,53.70,111549.991,6043037.78641
1586736000000,53.65,53.68,50.98,52.98,154559.047,8070538.08564
1586822400000,52.95,55.14,52.60,54.06,113347.144,6117001.36973
1586908800000,54.06,55.25,53.10,53.18,94115.226,5105481.52945
1586995200000,53.17,57.64,51.48,56.92,150082.297,8254190.51951
1587081600000,56.94,57.30,55.94,56.14,87528.960,4957704.35243
1587168000000,56.19,58.79,56.02,58.00,90651.257,5215044.45864
1587254400000,58.01,58.49,56.34,57.02,89668.736,5162543.40571
1587340800000,57.00,58.40,53.96,54.65,94553.367,5320085.83363
1587427200000,54.63,55.97,53.92,55.07,86550.394,4759267.26744
1587513600000,55.07,57.37,54.69,56.94,51527.961,2893823.17383
1587600000000,56.98,61.15,56.10,59.36,81241.527,4797057.98764
1587686400000,59.35,62.50,59.23,60.75,80684.062,4895562.79734
1587772800000,60.70,62.41,59.92,60.58,73553.311,4491663.54067
1587859200000,60.60,62.03,59.81,61.33,59344.526,3625203.04048
1587945600000,61.37,62.49,60.86,62.35,73053.410,4506990.70417
1588032000000,62.36,63.88,61.31,62.13,94604.290,5910173.21608
1588118400000,62.13,66.92,61.71,66.31,154033.449,9987364.90947
1588204800000,66.37,68.45,61.13,62.36,142649.093,9184967.03031
1588291200000,62.36,65.04,62.34,63.44,81697.801,5218235.03639
1588377600000,63.45,64.99,63.32,64.58,41869.597,2687326.31022
1588464000000,64.54,65.17,61.76,62.38,75244.181,4779417.24925
1588550400000,62.36,62.66,58.53,61.08,126582.740,7603449.88223
1588636800000,61.08,61.99,59.69,60.27,69149.612,4207877.94916
1588723200000,60.28,62.00,57.38,57.83,106275.644,6421109.30487
1588809600000,57.78,65.13,57.16,64.56,178311.873,10999011.85724
1588896000000,64.56,65.88,63.07,63.46,174510.115,11265096.38299
1588982400000,63.42,64.95,62.64,63.03,117961.902,7562187.56607
1589068800000,63.02,63.16,52.44,58.73,227701.826,13054595.79017
1589155200000,58.69,61.89,55.65,59.37,216033.406,12797854.25113
1589241600000,59.37,62.38,59.18,61.53,113809.366,6923261.15941
1589328000000,61.47,66.24,61.36,64.97,186037.271,11978382.93265
1589414400000,64.99,65.81,62.69,65.29,152932.574,9838557.37223
1589500800000,65.28,65.78,61.67,62.78,104281.616,6684247.28377
1589587200000,62.77,65.90,61.98,65.43,72361.135,4626250.03525
1589673600000,65.43,67.26,64.74,65.18,68034.468,4474724.25474
1589760000000,65.21,67.80,65.03,67.02,79399.586,5281297.88408
1589846400000,66.97,67.59,65.04,66.72,65470.659,4345006.87216
1589932800000,66.68,67.13,62.84,64.68,76846.459,5021354.36300
1590019200000,64.73,65.15,59.95,61.65,91202.292,5689426.60803
1590105600000,61.65,63.64,61.08,62.96,69142.068,4319551.92435
1590192000000,62.92,64.96,62.59,63.52,64534.943,4111083.31672
1590278400000,63.54,63.78,60.52,60.64,71486.014,4481356.39027
1590364800000,60.61,62.42,60.01,61.63,51761.954,3176616.52068
1590451200000,61.66,62.40,60.83,61.91,67138.840,4144941.76818
1590537600000,61.94,65.47,61.31,64.48,86995.551,5554478.40433
1590624000000,64.48,67.48,63.10,67.12,83025.784,5419217.06610
1590710400000,67.12,67.80,65.80,66.07,44960.725,2996319.65504
1590796800000,66.04,68.84,65.27,68.37,140825.989,9505512.31841
1590883200000,68.39,68.80,63.77,64.94,166429.701,11130559.96801
1590969600000,64.93,68.48,63.20,67.78,166125.463,10929502.96773
1591056000000,67.78,70.40,63.38,66.65,146596.575,9869505.31466
1591142400000,66.69,68.32,66.14,67.19,86106.269,5798604.46012
1591228800000,67.24,68.80,65.64,68.23,115076.602,7785302.60350
1591315200000,68.23,69.27,67.24,67.55,82156.293,5600508.01635
1591401600000,67.51,68.20,67.02,67.70,51842.789,3508998.33083
1591488000000,67.72,68.22,64.62,66.36,88854.993,5888076.40537
1591574400000,66.35,68.27,66.22,68.22,67591.003,4543003.14873
1591660800000,68.22,68.95,67.03,68.05,60275.273,4102685.65295
1591747200000,68.06,69.73,67.45,69.61,56654.750,3887066.63265
1591833600000,69.64,70.12,62.92,63.70,104579.816,6986514.80379
1591920000000,63.68,66.54,62.94,65.68,49368.354,3216308.78120
1592006400000,65.64,66.51,65.00,66.50,45609.594,3008225.06398
1592092800000,66.50,66.51,64.47,65.38,42613.386,2794570.93173
1592179200000,65.42,65.66,61.82,64.48,84894.215,5401102.78855
1592265600000,64.47,65.97,64.19,65.90,56238.249,3671461.79690
1592352000000,65.94,66.89,64.57,65.08,54332.466,3573409.67945
1592438400000,65.08,66.00,64.23,64.93,66740.880,4352436.53899
1592524800000,64.91,65.31,63.47,64.12,58909.013,3787029.36799
1592611200000,64.10,64.58,63.44,64.02,35244.193,2253419.25872
1592697600000,64.08,65.03,63.86,64.48,38359.266,2473159.36480
1592784000000,64.50,66.84,64.43,66.12,63142.615,4136734.70216
1592870400000,66.13,67.28,65.43,66.84,58774.201,3915368.65621
1592956800000,66.87,67.49,64.00,64.91,64723.677,4258030.70540
1593043200000,64.94,65.19,63.13,64.38,39371.938,2539115.59358
1593129600000,64.34,64.60,62.99,64.01,49285.675,3153612.51760
1593216000000,64.00,64.35,59.83,62.04,171211.039,10529221.20237
1593302400000,62.07,63.54,61.71,63.21,35187.550,2203421.58811
1593388800000,63.22,64.85,62.37,64.12,44894.614,2856398.09255
1593475200000,64.09,64.53,63.21,63.52,38085.447,2432360.55443
1593561600000,63.56,64.80,63.23,64.49,42156.581,2699207.56738
1593648000000,64.48,66.79,62.31,65.20,118798.155,7672202.57427
1593734400000,65.20,65.84,62.37,62.64,75292.469,4837024.21896
1593820800000,62.60,65.29,62.37,64.33,98418.133,6247898.03634
1593907200000,64.33,64.80,60.98,63.29,157597.079,9945418.08279
1593993600000,63.27,65.03,62.77,64.89,82897.696,5305141.20742
1594080000000,64.89,65.19,63.63,64.57,49306.805,3174366.91567
1594166400000,64.63,67.45,64.00,66.31,163107.838,10763366.50802
1594252800000,66.31,69.48,64.96,67.35,194898.432,13073268.91039
1594339200000,67.35,68.37,65.09,67.35,171788.861,11467842.90413
1594425600000,67.34,69.96,67.17,68.70,150148.232,10275763.12678
1594512000000,68.73,70.58,67.93,69.29,188113.453,13051273.93800
1594598400000,69.30,70.34,67.53,69.24,173116.207,12008065.45456
