open_time_ms,open,high,low,close,volume,quote_volume
1769731200000,2250.0000,2368.0000,2029.4400,2203.7600,26159.124,59223185.9270600
1769817600000,2201.0000,2239.8900,2152.1000,2202.1700,5339.132,11730036.7722900
1769904000000,2202.1900,2211.7300,2077.4200,2109.0100,2266.521,4893262.5947400
1769990400000,2107.7900,2185.0500,1913.2400,2173.4200,12244.251,25546906.8838200
1770076800000,2173.2600,2281.3000,2132.0500,2221.8000,11488.277,25533191.8862400
1770163200000,2221.9900,2337.9600,2171.8200,2266.2400,12806.252,29081847.4112800
1770249600000,2266.3100,2291.9500,1924.9200,1926.5400,16300.434,33851726.2578900
1770336000000,1926.5000,2122.4100,1837.2600,2103.0800,13352.364,26368076.9818500
1770422400000,2103.3000,2114.9900,2091.3500,2108.2900,2254.618,4747233.6000600
1770508800000,2108.2800,2158.3200,2104.6600,2149.4100,1933.371,4108905.7348700
1770595200000,2148.7700,2154.8500,2040.8700,2107.0800,9140.024,19158674.8533500
1770681600000,2107.2300,2142.3900,2077.5600,2100.6200,4570.857,9615709.6722600
1770768000000,2100.9400,2195.2000,2091.8100,2127.2600,5834.241,12524887.6938900
1770854400000,2126.1500,2147.1500,1995.6100,2025.0500,6325.687,13124401.3955000
1770940800000,2025.0500,2095.6700,2011.8700,2070.7000,4367.200,8957664.7091100
1771027200000,2070.9300,2074.0000,2063.3000,2067.7900,982.607,2033659.9233600
1771113600000,2068.0800,2073.6600,2046.0000,2057.3600,1078.786,2229499.3099800
1771200000000,2057.1700,2077.6000,2023.5600,2046.0800,2653.575,5431271.5931200
1771286400000,2045.7600,2049.4300,1992.0000,2010.5300,4581.441,9240221.7439100
1771372800000,2010.5800,2113.4400,2010.5800,2083.5200,2829.543,5854933.2217500
1771459200000,2083.5000,2113.9800,2057.1100,2077.7800,3158.998,6572303.5413600
1771545600000,2078.2500,2172.7500,2061.6000,2157.4400,3839.826,8173744.8149700
1771632000000,2157.7400,2168.9900,2157.0400,2164.9900,434.085,938409.8977300
1771718400000,2165.2800,2206.6900,2157.1000,2203.0000,1309.997,2848703.0808300
1771804800000,2203.2800,2204.0000,2116.3100,2164.2700,4599.963,9964718.8824500
1771891200000,2164.3200,2207.0700,2101.3400,2175.6000,4843.588,10439961.9208800
1771977600000,2175.6600,2362.0000,2171.9600,2292.4000,7814.214,17925671.1380000
1772064000000,2292.0500,2328.3000,2216.5500,2272.2000,6605.193,15031608.4851700
1772150400000,2272.2600,2419.0400,2262.9800,2371.5400,8423.591,19963036.8004100
1772236800000,2371.8900,2390.3200,2366.1100,2378.1900,2840.897,6754549.8551500
1772323200000,2378.1600,2420.7100,2368.2600,2400.3700,3547.606,8489634.9566800
1772409600000,2400.9300,2437.2100,2263.6000,2318.4200,9610.349,22541657.3110200
1772496000000,2318.7900,2341.8000,2015.4500,2106.9400,21929.552,46698156.8453800
1772582400000,2106.7700,2198.5400,2090.5100,2177.8000,8937.586,19213439.0546500
1772668800000,2177.8000,2221.6700,2105.2000,2137.3500,8698.575,18774054.8927500
1772755200000,2137.2000,2176.9200,2094.8600,2150.8300,8228.665,17596159.8808600
1772841600000,2150.8200,2155.4000,2144.1300,2152.1900,814.108,1751527.5047100
1772928000000,2152.0000,2155.0000,2044.5600,2059.3300,2779.657,5835722.8534700
1773014400000,2059.2200,2192.1100,2033.8000,2178.6700,7591.742,16115010.7303000
1773100800000,2178.8800,2246.4400,2152.6000,2207.0300,6565.588,14480237.7475300
1773187200000,2207.1000,2232.6300,2149.1800,2151.5200,4051.965,8881894.3033900
1773273600000,2151.8000,2204.4600,2125.9300,2146.0500,5118.187,11096742.4652700
1773360000000,2146.0500,2171.1800,2023.7600,2031.9000,8691.261,18110199.6550600
1773446400000,2031.9900,2035.3700,2025.5800,2032.8800,638.184,1296494.2892500
1773532800000,2033.0200,2041.3100,2010.5100,2026.0200,1547.094,3135257.0156200
1773619200000,2026.2200,2128.2900,2020.2900,2120.6500,8206.909,16997273.4021800
1773705600000,2120.6900,2171.4500,2086.9500,2125.6600,6147.243,13162655.1443700
1773792000000,2125.6500,2147.2500,2013.7800,2044.2700,8311.671,17260950.9183900
1773878400000,2044.1000,2058.1700,1867.9400,1969.0200,16549.657,32367970.5169900
1773964800000,1969.0600,2023.0600,1921.7200,1934.1800,10720.639,21138234.3274700
1774051200000,1934.1800,1938.1900,1931.5500,1934.4300,663.865,1284473.0706900
1774137600000,1934.6000,1951.7700,1910.5300,1916.2800,2021.146,3904416.1852700
1774224000000,1916.4000,1920.7700,1737.7900,1901.5500,33196.334,61329887.3019800
1774310400000,1901.4200,1960.3200,1836.2400,1957.8100,14317.835,27062701.3652200
1774396800000,1957.5600,2006.4600,1923.7500,1926.6700,10766.035,21148261.2914800
1774483200000,1926.6200,1951.2000,1821.5900,1842.6900,14226.210,26680955.5803200
1774569600000,1842.7200,1911.0000,1817.9800,1867.7100,10474.783,19517618.4819900
1774656000000,1867.6700,1874.7500,1864.7100,1866.9400,18998.893,35548354.2477600
1774742400000,1866.9800,1872.3600,1838.5900,1840.6800,21804.869,40696000.3584800
1774828800000,1840.7400,1940.5800,1831.7200,1896.4500,4836.145,9211040.2622600
1774915200000,1896.0500,1972.5000,1877.7500,1970.5000,6966.197,13456599.3931500
1775001600000,1970.4500,1991.9600,1951.2500,1970.3900,6499.308,12808343.4551500
1775088000000,1970.4000,2003.7000,1883.0500,1996.0000,7507.796,14589607.9954600
