date,open,high,low,close,adjclose,volume
"1996-03-18",13.4375,13.4375,13.4375,13.4375,6.569161415100098,500
"1996-03-19",13.625,13.625,13.5,13.5,6.599715232849121,2500
"1996-03-20",13.5,13.5,13.5,13.5,6.599715232849121,0
"1996-03-21",13.5,13.5,13.5,13.5,6.599715232849121,0
"1996-03-22",13.5,13.5,13.5,13.5,6.599715232849121,300
"1996-03-25",13.6875,13.6875,13.6875,13.6875,6.691376686096191,25000
"1996-03-26",13.625,13.625,13.5,13.625,6.660820960998535,17200
"1996-03-27",13.625,13.625,13.5,13.5,6.599715232849121,31500
"1996-03-28",13.625,13.625,13.625,13.625,6.660820960998535,3000
"1996-03-29",13.5,13.5,13.5,13.5,6.599715232849121,300100
"1996-04-01",13.5625,13.5625,13.5625,13.5625,6.6302690505981445,60900
"1996-04-02",13.625,13.625,13.5,13.625,6.660820960998535,22000
"1996-04-03",13.5,13.5,13.4375,13.5,6.599715232849121,2800
"1996-04-04",13.4375,13.4375,13.4375,13.4375,6.569161415100098,100
"1996-04-08",13.3125,13.375,13.3125,13.375,6.538603782653809,33000
"1996-04-09",13.5,13.5,13.4375,13.4375,6.569161415100098,134000
"1996-04-10",13.5,13.5,13.4375,13.4375,6.569161415100098,26600
"1996-04-11",13.4375,13.4375,13.4375,13.4375,6.569161415100098,300
"1996-04-12",13.4375,13.4375,13.4375,13.4375,6.569161415100098,100
"1996-04-15",13.375,13.4375,13.375,13.4375,6.569161415100098,2600
"1996-04-16",13.4375,13.4375,13.4375,13.4375,6.569161415100098,5200
"1996-04-17",13.375,13.375,13.375,13.375,6.538603782653809,400
"1996-04-18",13.375,13.375,13.25,13.375,6.538603782653809,700
"1996-04-19",13.375,13.4375,13.375,13.4375,6.569161415100098,500
"1996-04-22",13.4375,13.4375,13.375,13.375,6.538603782653809,1300
"1996-04-23",13.375,13.375,13.375,13.375,6.538603782653809,400
"1996-04-24",13.25,13.25,13.25,13.25,6.477497100830078,1200
"1996-04-25",13.1875,13.1875,13.1875,13.1875,6.446942329406738,1900
"1996-04-26",13.125,13.25,13.125,13.25,6.477497100830078,1000
"1996-04-29",13.125,13.125,13.0625,13.125,6.41638708114624,13000
"1996-04-30",12.875,12.875,12.875,12.875,6.29417085647583,1000
"1996-05-01",12.9375,12.9375,12.9375,12.9375,6.324726104736328,800
"1996-05-02",12.8125,12.9375,12.8125,12.9375,6.324726104736328,14300
"1996-05-03",12.9375,13.0,12.9375,13.0,6.355278491973877,21200
"1996-05-06",13.0,13.0,13.0,13.0,6.355278491973877,14900
"1996-05-07",13.0,13.0,13.0,13.0,6.355278491973877,17800
"1996-05-08",13.0,13.0625,12.9375,13.0625,6.385834217071533,3200
"1996-05-09",13.0625,13.0625,13.0625,13.0625,6.385834217071533,3900
"1996-05-10",13.0625,13.0625,13.0625,13.0625,6.385834217071533,1500
"1996-05-13",13.0,13.0,12.8125,12.875,6.29417085647583,23300
"1996-05-14",13.0625,13.0625,13.0625,13.0625,6.385834217071533,8500
"1996-05-15",13.125,13.125,13.125,13.125,6.41638708114624,1300
"1996-05-16",13.25,13.25,13.125,13.125,6.41638708114624,3100
"1996-05-17",13.25,13.25,13.25,13.25,6.477497100830078,2000
"1996-05-20",13.25,13.25,13.25,13.25,6.477497100830078,2400
"1996-05-21",13.375,13.375,13.0,13.125,6.41638708114624,45300
"1996-05-22",13.1875,13.1875,13.125,13.125,6.41638708114624,400
"1996-05-23",13.1875,13.25,13.1875,13.25,6.477497100830078,5500
"1996-05-24",13.25,13.25,13.1875,13.25,6.477497100830078,7700
"1996-05-28",13.25,13.25,13.1875,13.1875,6.446942329406738,5400
"1996-05-29",13.125,13.125,13.125,13.125,6.41638708114624,3000
"1996-05-30",13.1875,13.1875,13.0625,13.125,6.41638708114624,37900
"1996-05-31",13.25,13.25,13.1875,13.1875,6.446942329406738,400
"1996-06-03",13.3125,13.3125,13.1875,13.1875,6.446942329406738,500
"1996-06-04",13.25,13.25,13.25,13.25,6.477497100830078,1700
"1996-06-05",13.375,13.375,13.375,13.375,6.538603782653809,900
"1996-06-06",13.375,13.375,13.375,13.375,6.538603782653809,300
"1996-06-07",13.25,13.375,13.25,13.375,6.538603782653809,17000
"1996-06-10",13.375,13.375,13.25,13.25,6.477497100830078,1200
"1996-06-11",13.25,13.25,13.25,13.25,6.477497100830078,0
"1996-06-12",13.125,13.25,13.125,13.25,6.477497100830078,4100
"1996-06-13",13.25,13.25,13.25,13.25,6.477497100830078,0
"1996-06-14",13.25,13.25,13.25,13.25,6.477497100830078,0
"1996-06-17",13.0625,13.1875,13.0,13.1875,6.446942329406738,15100
"1996-06-18",13.1875,13.5,13.1875,13.5,6.599715232849121,63200
"1996-06-19",13.625,13.625,13.375,13.375,6.538603782653809,5300
"1996-06-20",13.4375,13.4375,13.25,13.25,6.477497100830078,25600
"1996-06-21",13.25,13.4375,13.1875,13.1875,6.446942329406738,9900
"1996-06-24",13.25,13.375,13.25,13.3125,6.508050441741943,5900
