date,open,high,low,close,adjclose,volume
"2016-09-26",51.69,51.76,51.29,51.48,38.5778,1164200
"2016-09-27",51.76,51.91,50.47,50.56,37.8884,1541000
"2016-09-28",50.73,50.81,49.78,50.36,37.7385,2037800
"2016-09-29",50.11,50.21,49.29,49.6,37.169,1491500
"2016-09-30",49.73,49.95,48.9,49.18,36.8542,2012800
"2016-10-03",48.97,49.08,48.18,48.63,36.4421,1567500
"2016-10-04",48.51,48.52,47.03,47.38,35.5053,3360900
"2016-10-05",47.51,47.95,47.28,47.71,35.7526,4074600
"2016-10-06",47.47,47.83,47.21,47.59,35.6627,1230300
"2016-10-07",47.98,48.33,47.37,47.43,35.5428,1472300
"2016-10-10",47.5,47.79,47.41,47.7,35.7452,1352300
"2016-10-11",47.5,47.69,46.86,46.88,35.1307,1444200
"2016-10-12",46.96,47.71,46.84,47.59,35.6627,2038500
"2016-10-13",47.64,48.42,47.54,48.04,35.9999,1801200
"2016-10-14",47.82,48.3,47.67,48.03,35.9925,1658200
"2016-10-17",48.23,48.39,47.88,48.18,36.1048,1030300
"2016-10-18",48.45,48.95,47.96,48.91,36.6519,1076100
"2016-10-19",48.79,48.89,48.49,48.7,36.4945,1221900
"2016-10-20",48.7,48.99,48.5,48.62,36.4346,758000
"2016-10-21",48.36,48.63,48.16,48.47,36.3222,1069100
"2016-10-24",48.72,48.93,48.33,48.65,36.4571,997400
"2016-10-25",48.48,49.04,48.41,49.03,36.7418,1285600
"2016-10-26",49,49.22,48.64,49.1,36.7943,696200
"2016-10-27",48.89,49.09,48.45,48.74,36.5245,1114500
"2016-10-28",48.82,49.24,48.7,48.87,36.6219,1939000
"2016-10-31",49.15,50.25,48.97,49.95,37.4312,1469000
"2016-11-01",49.96,49.96,49.12,49.17,36.8467,1382000
"2016-11-02",49.1,49.1,48.24,48.65,36.4571,1293500
"2016-11-03",48.54,49.25,48.36,49.07,36.7718,1527900
"2016-11-04",49.95,50.27,49.27,49.36,36.9891,1733000
"2016-11-07",49.75,50.83,49.38,50.81,38.0757,1779800
"2016-11-08",50.93,51.46,50.76,51.21,38.3755,1400300
"2016-11-09",49.8,49.99,48.97,49.05,36.7568,1905400
"2016-11-10",48.71,48.71,47.28,47.8,35.8201,2323700
"2016-11-11",47.8,48.45,47.61,47.77,35.7976,2161700
"2016-11-14",47.49,48.67,46.97,48.62,36.4346,3519200
"2016-11-15",48.88,49.47,48.65,49.27,36.9217,2124700
"2016-11-16",49.36,49.52,48.19,48.47,36.3222,1642500
"2016-11-17",48.36,48.81,48.29,48.51,36.3521,1438900
"2016-11-18",48.43,48.82,48.28,48.48,36.3297,1224400
"2016-11-21",48.53,49.12,48.47,48.84,36.5994,867000
"2016-11-22",48.92,49.53,48.77,49.43,37.0416,1542400
"2016-11-23",48.85,49.44,48.83,49.07,36.7718,1348300
"2016-11-25",49.22,50.09,49.14,49.99,37.4612,616600
"2016-11-28",50.15,51.21,50.13,51.08,38.278,1825400
"2016-11-29",50.81,51.37,50.68,50.93,38.1656,1500400
"2016-11-30",49.47,50.34,49.12,49.12,36.8093,1962900
"2016-12-01",48.85,49,48.32,48.91,36.6519,1464500
"2016-12-02",49.22,49.99,49.22,49.66,37.2139,1749700
"2016-12-05",49.09,49.18,48.41,49.16,37.1686,1324900
"2016-12-06",49.32,49.57,49.12,49.34,37.3046,1625000
"2016-12-07",49.58,50.19,49.42,49.88,37.7129,2040900
"2016-12-08",49.39,49.97,48.8,49.82,37.6676,1261700
"2016-12-09",49.82,50.73,49.75,50.73,38.3556,2790800
"2016-12-12",50.57,51.4,50.35,51.34,38.8168,1823700
"2016-12-13",51.37,51.94,51.16,51.92,39.2553,1550600
"2016-12-14",52.03,52.36,50.64,50.7,38.3329,1349000
"2016-12-15",50.58,51.23,50.36,51.1,38.6353,1059500
"2016-12-16",51.13,51.85,51.13,51.6,39.0134,1852400
"2016-12-19",51.94,52.17,51.46,51.89,39.2327,958600
"2016-12-20",51.92,52.35,51.72,52.19,39.4595,918300
"2016-12-21",52.17,52.53,51.93,51.95,39.278,832800
"2016-12-22",51.97,52.45,51.67,52.41,39.6258,965000
"2016-12-23",52.5,52.64,52.25,52.45,39.656,597600
"2016-12-27",52.43,52.76,52.23,52.56,39.7392,632900
"2016-12-28",52.58,52.58,51.74,51.82,39.1797,615100
"2016-12-29",52.27,52.7,51.96,52.56,39.7392,922600
"2016-12-30",52.49,52.88,52.25,52.46,39.6636,950700
"2017-01-03",52.59,52.59,51.93,52.38,39.6031,1107200
"2017-01-04",52.45,52.92,52.23,52.44,39.6485,1114300
"2017-01-05",52.45,52.76,51.91,52.7,39.8451,2256100
"2017-01-06",52.47,53.4,52.41,53.1,40.1475,1883800
"2017-01-09",53.13,53.22,51.9,51.99,39.3082,1588300
"2017-01-10",52.05,52.45,51.66,51.97,39.2931,1286600
"2017-01-11",51.9,52.44,51.89,52.2,39.467,1674100
"2017-01-12",52.19,52.39,51.81,51.96,39.2856,1470200
"2017-01-13",51.9,52.09,51.7,51.97,39.2931,905500
"2017-01-17",52.06,52.6,52.01,52.55,39.7316,1052400
"2017-01-18",52.39,52.66,52.24,52.36,39.588,880600
"2017-01-19",52.17,52.32,51.65,51.81,39.1721,915700
"2017-01-20",51.91,52.4,51.78,52.05,39.3536,806100
"2017-01-23",52.16,52.4,51.93,51.98,39.3007,665400
"2017-01-24",51.91,52.24,51.79,52.06,39.3612,1129900
"2017-01-25",51.84,52.07,51.61,51.9,39.2402,974400
"2017-01-26",51.92,52.28,51.72,52.08,39.3763,1061900
"2017-01-27",52.24,52.3,51.67,51.82,39.1797,649600
"2017-01-30",52.01,52.01,51.35,51.69,39.0814,592900
"2017-01-31",51.72,52.66,51.64,52.65,39.8072,1460100
"2017-02-01",52.24,52.64,51.61,51.75,39.1268,1076900
"2017-02-02",51.86,52.62,51.69,52.59,39.7619,1032200
"2017-02-03",52.78,52.97,52.54,52.69,39.8375,623300
"2017-02-06",52.87,52.98,52.53,52.65,39.8072,874700
"2017-02-07",52.74,52.88,52.56,52.68,39.8299,544300
"2017-02-08",52.81,53.24,52.77,53.12,40.1626,943300
"2017-02-09",53.06,53.32,52.47,52.9,39.9963,1261500
"2017-02-10",52.72,53.05,52.58,52.93,40.0189,1060100
"2017-02-13",52.93,53.21,52.64,53.05,40.1097,1404000
"2017-02-14",52.91,52.91,52.26,52.65,39.8072,1416700
"2017-02-15",52.14,52.59,51.81,52.54,39.7241,2209500
"2017-02-16",52.01,53.08,52,52.94,40.0265,2248200
"2017-02-17",53.1,53.48,52.9,53.37,40.3516,1846800
"2017-02-21",53.22,53.97,53.1,53.89,40.7448,1461800
"2017-02-22",53.83,54.1,53.5,53.97,40.8053,1145100
"2017-02-23",54.23,54.27,53.69,54.07,40.8809,1456100
