date,open,high,low,close,adjclose,volume
"2016-09-26",50.32,50.54,49.6,50.42,43.1485,896200
"2016-09-27",50.41,50.94,50.26,50.8,43.4737,611800
"2016-09-28",50.82,51.01,50.5,50.97,43.6192,578000
"2016-09-29",50.89,50.89,50.02,50.32,43.0629,815200
"2016-09-30",50.73,51.09,50.72,50.87,43.5336,1289100
"2016-10-03",50.72,50.82,50.37,50.46,43.1827,469100
"2016-10-04",50.48,50.6,49.83,50.28,43.0287,946200
"2016-10-05",50.55,50.77,50.34,50.42,43.1485,569500
"2016-10-06",50.42,50.79,50.12,50.76,43.4394,662900
"2016-10-07",50.89,50.89,50.38,50.57,43.2768,491000
"2016-10-10",50.93,51.08,50.52,50.53,43.2426,460600
"2016-10-11",50.47,50.51,49.68,49.82,42.635,576300
"2016-10-12",49.84,50.66,49.84,50.47,43.1913,449900
"2016-10-13",50.2,50.3,49.84,50.07,42.849,648600
"2016-10-14",50.47,50.71,50.22,50.24,42.9944,493000
"2016-10-17",50.33,50.36,49.87,49.91,42.712,562100
"2016-10-18",50.42,50.42,49.94,50.02,42.8062,448000
"2016-10-19",50.18,50.26,49.85,50.02,42.8062,820300
"2016-10-20",49.85,49.85,49.1,49.18,42.0873,763300
"2016-10-21",48.87,49.2,48.63,48.97,41.9076,780000
"2016-10-24",49.31,49.47,48.54,48.55,41.5482,1096400
"2016-10-25",48.45,48.57,48.29,48.37,41.3941,868800
"2016-10-26",48.2,48.72,48.2,48.51,41.5139,622700
"2016-10-27",48.68,48.78,48.06,48.1,41.1631,911200
"2016-10-28",48.98,49.7,47.76,48.33,41.3599,875900
"2016-10-31",48.51,48.55,48.12,48.23,41.2743,920200
"2016-11-01",48.39,48.42,47.53,47.65,40.778,793100
"2016-11-02",47.6,47.84,47.32,47.35,40.5212,967600
"2016-11-03",47.49,48.16,47.49,47.67,40.7951,620500
"2016-11-04",47.64,47.87,47.16,47.48,40.6325,938700
"2016-11-07",48.22,48.58,48.07,48.57,41.5653,795100
"2016-11-08",48.55,49.02,48.41,48.93,41.8734,1039200
"2016-11-09",48.81,50.15,48.26,49.9,42.7035,1232400
"2016-11-10",50.33,51.32,50.2,51.2,43.816,872000
"2016-11-11",51.14,51.62,51.1,51.54,44.107,1072500
"2016-11-14",51.78,52.34,51.5,52.12,44.6033,1463200
"2016-11-15",51.53,51.89,50.93,51.07,43.7047,1269700
"2016-11-16",50.87,50.95,50.57,50.86,43.525,905700
"2016-11-17",50.9,51.9,50.86,51.63,44.184,603800
"2016-11-18",51.52,51.63,51.34,51.52,44.0898,880000
"2016-11-21",51.61,51.92,51.32,51.4,43.9872,490700
"2016-11-22",51.52,51.78,51.13,51.19,43.8074,1004900
"2016-11-23",51.32,51.95,51.29,51.66,44.2097,943400
"2016-11-25",51.67,51.86,51.51,51.86,44.3808,321900
"2016-11-28",51.64,51.84,51.15,51.22,43.8331,702000
"2016-11-29",51.22,51.48,51.19,51.25,43.8588,972500
"2016-11-30",51.17,51.23,50.31,50.35,43.4104,1989200
"2016-12-01",50.35,50.41,49.57,49.73,42.8759,1388600
