date,open,high,low,close,adjclose,volume
"2016-09-26",136.3645,137.7243,135.9852,137.234,107.4307,1277850
"2016-09-27",137.2803,138.2516,136.9658,137.6873,107.7856,1373194
"2016-09-28",138.1406,138.9732,137.6411,138.5569,108.4663,1445189
"2016-09-29",138.5476,140.2405,138.4829,139.2322,108.9949,2203186
"2016-09-30",140.0185,140.4903,138.6586,139.0749,108.8718,2345013
"2016-10-03",139.84,141.02,138.85,140.57,110.0422,3017900
"2016-10-04",140.68,141.07,136.99,137.32,107.498,2202700
"2016-10-05",137.32,138.14,136.54,136.98,107.2318,1701500
"2016-10-06",135.99,137.15,135.9,137.03,107.9487,1182700
"2016-10-07",137.23,137.23,133.74,135.08,106.4125,1886700
"2016-10-10",135.94,135.94,135.07,135.4,106.6646,1871800
"2016-10-11",135.01,135.03,131.73,132.65,104.4983,1932800
"2016-10-12",132.27,133.15,131.99,132.81,104.6243,1188300
"2016-10-13",131.34,132.56,129.9,132.26,104.191,1484300
"2016-10-14",133.27,133.27,132,132.65,104.4983,1193700
"2016-10-17",132.65,133.23,132.18,132.28,104.2068,797400
"2016-10-18",133.91,134.52,133.46,133.82,105.42,905200
"2016-10-19",134.23,134.38,133.22,133.91,105.4908,850700
"2016-10-20",133.68,134.77,133.21,134.39,105.869,1184400
"2016-10-21",133.35,134.64,132.77,134.44,105.9084,999600
"2016-10-24",135.08,136.07,134.45,134.81,106.1998,884300
"2016-10-25",135.39,135.39,133.48,133.51,105.1757,1510100
"2016-10-26",132.78,133.05,131.75,132.98,104.7582,2757600
"2016-10-27",133.5,135.05,129,133.4,105.0891,3602800
"2016-10-28",133.4,135.14,132.67,133.81,105.4121,2100600
"2016-10-31",134.26,134.49,133.38,133.42,105.1048,1624800
"2016-11-01",133.74,134.51,131.12,132.26,104.191,1695600
"2016-11-02",132.33,133.87,131.8,133.55,105.2072,2102300
"2016-11-03",134,134.72,133.05,133.09,104.8448,1375700
"2016-11-04",132.99,134.06,132.07,133.37,105.0654,1147200
"2016-11-07",135.35,137.26,134.84,137.08,107.9881,2233500
"2016-11-08",136.88,137.88,136.38,136.93,107.8699,1505500
"2016-11-09",134.98,137.92,134.18,137.22,108.0984,2378300
"2016-11-10",138.11,141,137.89,139.98,110.2726,2003300
"2016-11-11",140.08,141.14,138.16,138.54,109.1382,1641900
"2016-11-14",138.55,139.19,137.88,137.98,108.6971,1304300
"2016-11-15",137.79,138.35,136.86,138.14,108.8231,856100
"2016-11-16",138.08,138.79,137.43,138.74,109.2958,1052900
"2016-11-17",138.93,139.34,137.89,138,108.7128,1157700
"2016-11-18",138,138.53,137.6,137.96,108.6813,1559200
"2016-11-21",142.8,142.8,139.01,139.74,110.0836,1232400
"2016-11-22",140.24,140.88,138.78,139.71,110.0599,1372500
