date,open,high,low,close,adjclose,volume
"2016-09-26",136.6851,136.9842,135.1895,135.7647,115.9566,900665
"2016-09-27",136.0101,137.2833,135.4886,137.268,117.2406,880717
"2016-09-28",138.4952,138.4952,136.7081,137.4214,117.3717,772371
"2016-09-29",137.3524,137.5594,134.806,135.3275,115.5832,782150
"2016-09-30",135.7724,138.5028,135.7724,137.8509,117.7385,1507323
"2016-10-03",137.0379,137.5441,136.1482,136.8385,116.8738,938606
"2016-10-04",136.524,137.2987,134.2537,135.0514,115.3474,974982
"2016-10-05",135.0514,135.9027,134.8366,135.4886,115.7208,914355
"2016-10-06",135.4042,135.9871,134.6142,135.8414,116.0222,782671
"2016-10-07",136.0561,136.3783,135.1434,136.0638,116.2121,804575
"2016-10-10",136.7924,138.081,136.7311,137.4367,117.3847,562590
"2016-10-11",137.0609,137.0609,132.8961,133.433,113.9652,1285416
"2016-10-12",134.3381,134.3381,132.9038,133.0495,113.6376,1268858
"2016-10-13",132.482,132.9038,131.2011,132.5817,113.2381,1806936
"2016-10-14",133.3793,133.4944,131.8454,131.8684,112.6288,1129743
"2016-10-17",132.0525,132.2289,131.1704,131.5693,112.3733,1048255
"2016-10-18",132.482,132.8885,131.784,132.528,113.1922,846297
"2016-10-19",132.7658,133.1416,131.9988,132.0908,112.8188,882542
"2016-10-20",132.1215,133.272,131.6766,132.7121,113.3494,913833
"2016-10-21",132.0755,132.3899,131.2548,132.1675,112.8843,818786
"2016-10-24",132.9805,133.341,131.9988,132.0448,112.7795,1324922
"2016-10-25",132.2979,132.4513,130.9173,131.1397,112.0065,1337960
"2016-10-26",130.181,130.2807,127.9491,128.509,109.7595,1887902
"2016-10-27",129.0919,129.4754,128.1485,128.2789,109.563,1577728
"2016-10-28",128.4016,130.135,127.8954,128.6931,109.9168,1331962
"2016-10-31",128.2865,129.0229,127.765,128.7851,109.9954,2299382
"2016-11-01",128.578,129.0229,126.929,127.6039,108.9866,1913457
"2016-11-02",127.834,129.7822,127.1131,127.9874,109.3141,2668879
"2016-11-03",129.6058,134.2154,129.2069,132.8271,113.4477,2749062
"2016-11-04",132.8655,135.3122,132.551,134.2154,114.6334,1699634
"2016-11-07",135.6957,136.9305,135.3582,136.4396,116.5331,1828971
"2016-11-08",136.0638,137.9276,135.2355,137.0686,117.0703,1142520
"2016-11-09",136.501,137.2833,131.9528,134.0773,114.5155,2204074
"2016-11-10",135.0974,136.7234,133.9776,134.6909,115.0395,2157528
"2016-11-11",134.2997,134.8596,130.3497,130.6642,111.6003,1825972
"2016-11-14",130.8406,130.8406,124.5897,124.8658,106.6479,3405134
"2016-11-15",124.8965,128.1715,124.6433,127.9184,109.2551,2504730
"2016-11-16",127.7497,129.9202,127.2741,129.8205,110.8797,1640311
"2016-11-17",130.1196,133.0419,129.5444,133.0112,113.6049,2154008
"2016-11-18",133.0726,133.5251,131.3161,131.8147,112.583,1541613
"2016-11-21",131.6843,132.643,131.4159,131.9758,112.7206,1169248
"2016-11-22",130.7639,131.2778,126.3,128.601,109.8382,2986224
"2016-11-23",126.9903,130.0353,126.9903,129.2223,110.3688,1437048
"2016-11-25",130.1196,131.4695,129.276,130.9173,111.8165,638340
"2016-11-28",130.6105,131.5539,130.4341,130.6259,111.5676,838735
"2016-11-29",130.971,133.1032,130.971,132.482,113.1529,1732098
"2016-11-30",132.0601,132.4973,129.0919,129.6978,110.7749,1763259
"2016-12-01",129.3987,130.227,126.0699,126.2617,107.8402,1381115
"2016-12-02",126.929,128.3326,126.3614,126.9597,108.4363,1186197
"2016-12-05",127.6806,128.1485,125.7325,126.1006,107.7026,2085558
"2016-12-06",126.998,126.998,124.3059,126.3614,107.9253,1976822
"2016-12-07",125.4027,125.8245,123.7076,125.7785,107.9056,1458300
"2016-12-08",125.5484,126.8983,124.7047,125.51,107.6753,1817367
"2016-12-09",125.5331,127.9261,125.5331,127.7113,109.5637,1014356
"2016-12-12",127.7113,130.1196,127.7113,129.9279,111.4653,1260383
"2016-12-13",129.5751,131.8761,128.2099,128.9462,110.6231,1909285
"2016-12-14",129.3373,129.8512,128.2635,128.6624,110.3797,1124788
"2016-12-15",128.7391,129.9356,128.0948,129.7668,111.3271,1413841
"2016-12-16",129.8665,130.3651,128.1715,128.6624,110.3797,1917108
"2016-12-19",128.7237,129.2376,127.5426,127.8877,109.7151,1271075
"2016-12-20",128.2712,128.7161,126.998,127.4352,109.3269,864941
"2016-12-21",127.2971,127.9567,126.4688,127.2971,109.2084,871330
"2016-12-22",127.3968,127.5963,126.1927,127.2511,109.1689,881108
"2016-12-23",127.4812,128.1945,127.021,127.6883,109.544,542772
"2016-12-27",128.4936,129.2146,128.0258,128.1331,109.9257,538209
"2016-12-28",128.2559,128.2942,126.7449,127.2204,109.1426,603920
"2016-12-29",127.2204,127.9951,127.0057,127.4352,109.3269,928827
"2016-12-30",128.0565,128.0565,126.5762,126.975,108.932,1173942
"2017-01-03",124.2138,126.7756,123.8687,126.6682,108.6688,2212157
"2017-01-04",126.906,127.2434,126.116,126.5071,108.5307,1542135
"2017-01-05",125.6404,126.7986,125.2953,126.3998,108.4386,1471599
"2017-01-06",126.7756,129.299,126.5071,128.7697,110.4718,1370946
"2017-01-09",129.0305,130.135,128.8771,129.5214,111.1166,1519449
"2017-01-10",129.2836,132.6124,129.1379,131.1091,112.4787,1658042
"2017-01-11",130.7793,133.2566,129.5137,133.2336,114.3014,2138884
"2017-01-12",132.5894,133.2183,130.8253,133.0649,114.1566,1356604
"2017-01-13",132.9959,133.5788,132.1215,132.9575,114.0645,843037
"2017-01-17",132.3286,133.3563,131.3929,133.0112,114.1105,794666
"2017-01-18",133.3947,133.5251,132.4513,133.4407,114.479,1186197
"2017-01-19",132.9192,133.6171,132.4436,133.0879,114.1763,2342929
"2017-01-20",133.2873,133.7168,131.9451,132.1445,113.367,1912153
"2017-01-23",132.2365,133.2106,131.0017,131.063,112.4392,1045126
"2017-01-24",131.4465,131.761,129.7668,130.6642,112.097,1022310
"2017-01-25",131.0707,132.0064,130.7332,131.5923,112.8932,1238349
"2017-01-26",131.6153,132.2596,130.7946,131.2241,112.5774,979415
"2017-01-27",132.1598,134.9133,131.8147,134.4378,115.3344,1170943
"2017-01-30",134.5298,134.5298,133.0956,134.085,115.0317,1283330
"2017-01-31",133.7705,136.1712,133.5558,135.9794,116.6569,2015284
"2017-02-01",134.898,137.3984,133.7245,137.268,117.7624,2237190
"2017-02-02",138.825,139.1624,135.5576,136.501,117.1044,1675644
"2017-02-03",137.0992,137.6361,136.2019,137.5748,118.0256,1525837
"2017-02-06",137.0072,137.245,136.2556,136.8001,117.361,943951
"2017-02-07",137.291,138.058,136.8922,137.1453,117.6572,1117617
"2017-02-08",136.5547,137.3063,136.0945,136.57,117.1636,698837
"2017-02-09",136.57,137.3217,135.4886,136.3783,116.9992,1876559
"2017-02-10",136.3783,137.0456,136.1712,136.547,117.1439,779281
"2017-02-13",136.9228,137.222,136.3092,136.9458,117.486,576019
"2017-02-14",136.8615,137.291,136.3092,137.1146,117.6308,855032
"2017-02-15",136.4626,138.4338,136.4626,138.127,118.4994,1114749
"2017-02-16",138.2421,138.7483,137.2296,138.5335,118.8481,1200800
"2017-02-17",138.2114,138.7483,137.5364,138.7483,119.0323,1056469
"2017-02-21",138.6486,140.0905,137.989,139.6073,119.7693,1230396
"2017-02-22",139.0781,140.0368,138.9247,139.5536,119.7232,846948
"2017-02-23",139.7684,140.2439,139.2468,139.8221,119.9536,798708
"2017-02-24",139.5766,140.6811,138.9324,140.6811,120.6906,857379
"2017-02-27",140.4817,141.0339,139.8451,140.2209,120.2957,910574
"2017-02-28",140.3206,141.0339,139.9371,140.3973,120.4471,837561
"2017-03-01",140.8652,142.7443,140.1979,142.1537,121.9539,988932
"2017-03-02",141.8929,142.1384,141.0109,141.6858,121.5525,661548
"2017-03-03",141.264,141.8469,140.9879,141.6552,121.5262,790885
"2017-03-06",140.9112,141.8316,140.5277,141.5018,121.3946,1058816
"2017-03-07",140.9419,141.5248,140.2056,141.0799,121.0327,811224
"2017-03-08",139.8144,141.6015,139.799,141.172,121.5942,1072245
"2017-03-09",141.0416,142.3071,140.6964,141.9466,122.2614,1134958
"2017-03-10",142.0617,142.4298,141.3714,142.1307,122.42,962074
"2017-03-13",141.962,142.2304,141.0646,141.8162,122.1491,1084240
"2017-03-14",141.4021,141.6245,139.6456,140.3436,120.8807,1349824
"2017-03-15",140.8191,141.7088,140.2516,141.5401,121.9113,1600806
"2017-03-16",140.7041,141.0876,138.1347,139.1088,119.8171,2098857
"2017-03-17",139.3542,141.2947,139.0014,140.9649,121.4158,2402251
"2017-03-20",141.218,141.2793,139.661,140.0752,120.6495,1028437
"2017-03-21",140.5737,141.1183,138.3648,139.0704,119.7841,1539657
"2017-03-22",139.5153,141.0339,138.4491,140.0828,120.6561,1735358
"2017-03-23",139.707,141.8929,139.4079,140.9035,121.363,1419708
"2017-03-24",140.8728,141.962,140.6811,141.0262,121.4687,858031
"2017-03-27",140.4357,141.4327,139.661,140.9419,121.396,1067160
"2017-03-28",140.7194,141.3714,139.8297,141.0646,121.5017,861551
"2017-03-29",140.52,141.4864,140.0368,141.0262,121.4687,591925
"2017-03-30",140.8115,141.4251,140.1059,140.9035,121.363,714874
"2017-03-31",140.4893,141.0416,140.0522,140.6964,121.1847,934042
"2017-04-03",141.1259,142.054,140.0752,141.3407,121.7396,804575
"2017-04-04",141.4327,141.4327,139.8297,140.4126,120.9402,983978
"2017-04-05",140.9495,141.8392,140.3206,140.5967,121.0987,916963
"2017-04-06",140.4203,140.9725,139.8527,140.6657,121.1582,930261
"2017-04-07",140.7424,141.5861,140.6888,141.2103,121.6273,828826
"2017-04-10",141.9466,141.9466,140.6274,141.1566,121.581,1358168
"2017-04-11",140.6888,141.4557,140.1365,140.9572,121.4092,671196
"2017-04-12",140.2899,141.0799,139.9448,140.5277,121.0393,933390
"2017-04-13",140.2056,140.9495,140.0445,140.0445,120.6231,759855
"2017-04-17",140.5354,141.2026,140.1825,141.0953,121.5281,552681
"2017-04-18",140.5967,141.0339,139.7377,140.6504,121.145,709267
"2017-04-19",141.333,141.8086,140.9725,141.2487,121.6603,710571
"2017-04-20",141.2333,142.9667,140.6121,142.6983,122.9089,817743
"2017-04-21",142.6523,142.7673,141.3177,142.1154,122.4068,753205
"2017-04-24",142.1154,142.1154,134.7292,135.8107,116.9765,12714788
"2017-04-25",136.9228,138.6639,135.9871,137.3447,118.2977,5245839
"2017-04-26",137.8279,138.1577,136.7388,137.9123,118.7866,3328080
"2017-04-27",138.035,140.2439,137.6208,140.0138,120.5967,2877487
"2017-04-28",139.661,143.5803,139.3389,143.4039,123.5166,4916499
"2017-05-01",142.9514,143.9101,141.7702,142.9514,123.1268,3134596
"2017-05-02",142.2918,142.9514,140.3666,142.1077,122.4001,4292110
"2017-05-03",141.7702,142.146,139.9754,140.9419,121.396,3353243
"2017-05-04",140.8575,141.7856,140.1902,141.7856,122.1227,2567834
"2017-05-05",141.7242,142.7289,141.2103,142.1997,122.4794,1859219
"2017-05-08",141.3484,141.7395,139.8604,140.0675,120.6429,3207348
"2017-05-09",139.6456,139.9294,137.6822,138.5642,119.3481,4191065
"2017-05-10",138.94,139.2468,136.2479,137.8739,118.7535,6528909
"2017-05-11",139.3619,141.8546,139.2545,141.7856,122.1227,14487304
"2017-05-12",141.7856,143.9561,141.218,141.6015,121.9642,4087022
"2017-05-15",141.218,142.0617,140.7731,141.9926,122.3011,3718698
"2017-05-16",142.3685,142.5142,140.0828,140.1672,120.7288,2433412
"2017-05-17",140.1672,140.1672,138.3955,139.1931,119.8898,2958453
"2017-05-18",139.1931,140.7041,138.7483,140.0598,120.6363,2054658
"2017-05-19",140.3589,141.9696,140.3283,141.2256,121.6405,3164714
"2017-05-22",141.1873,142.4912,140.4893,141.7165,122.0632,2372525
