date,open,high,low,close,adjclose,volume
"2016-09-26",117.21,117.84,116.01,116.21,108.3653,394400
"2016-09-27",115.89,117.04,115.57,115.7,107.8898,628000
"2016-09-28",115.92,117,115.5,116.15,108.3094,744600
"2016-09-29",116.15,116.44,115.07,115.09,107.3209,644400
"2016-09-30",117.75,120.45,117.31,120.15,112.0394,1121200
"2016-10-03",119.49,120.56,118.74,119.1,111.0602,649700
"2016-10-04",119,120.74,117.14,117.2,109.2885,597300
"2016-10-05",116.97,117.7,116.61,116.78,108.8968,1092100
"2016-10-06",116.05,119.07,116.05,118.31,110.3236,502900
"2016-10-07",118.75,118.75,116.74,116.95,109.0554,415200
"2016-10-10",116.95,118.08,116.84,117.69,109.7454,267100
"2016-10-11",117.03,117.93,116.11,116.37,108.5145,278300
"2016-10-12",116.37,117.7,116.2,117.24,109.3258,258000
"2016-10-13",117.01,117.35,116.4,117.15,109.2418,173200
"2016-10-14",117.31,117.31,115.32,115.32,107.5354,326200
"2016-10-17",115.7,116.81,114.29,114.36,106.6402,344700
"2016-10-18",115.62,116.78,114.11,116.53,108.6637,271900
"2016-10-19",116.97,116.97,115.25,116.47,108.6078,219500
"2016-10-20",116.27,116.27,115.03,115.08,107.3116,266700
"2016-10-21",115.04,115.36,114.09,114.65,106.9106,243200
"2016-10-24",114.7,115.79,114.7,115.72,107.9084,187600
"2016-10-25",116,116.22,114.67,116.11,108.2721,178500
"2016-10-26",116.19,116.49,115.17,115.26,107.4795,133000
"2016-10-27",115.9,115.96,114.18,114.37,106.6495,309300
"2016-10-28",114.43,115.38,114.22,115.16,107.612,176800
"2016-10-31",114,114.91,111.04,112.99,105.5843,817400
"2016-11-01",113.66,113.66,111.19,112.33,104.9675,414600
"2016-11-02",112.51,113.65,112.1,113.26,105.8365,379200
"2016-11-03",113.34,113.77,110.63,111.27,103.977,771400
"2016-11-04",110.92,112.6,110.45,112.14,104.79,351200
"2016-11-07",112.77,115.06,112.02,114.84,107.313,446300
