date,open,high,low,close,adjclose,volume
"2016-09-26",130.72,130.72,129.97,130.34,117.1428,718300
"2016-09-27",130.11,131.89,129.85,131.7,118.3651,883200
"2016-09-28",131.99,132.36,130.79,131.5,118.1853,459200
"2016-09-29",131.8,133.57,130.55,130.8,117.5562,1206800
"2016-09-30",131.28,131.43,129.6,130.32,117.1248,1415900
"2016-10-03",129.8,130.22,127.82,128.01,115.0487,704900
"2016-10-04",128.31,128.55,127.31,128.11,115.1386,910300
"2016-10-05",128.35,128.68,126.74,127.09,114.2219,994500
"2016-10-06",127.04,127.61,126.56,126.9,114.0511,624300
"2016-10-07",127.45,128.16,126.9,127.23,114.3477,670300
"2016-10-10",127.27,128,127.14,127.73,114.7971,566000
"2016-10-11",127.34,127.34,124.98,125,112.3435,1085500
"2016-10-12",125.1,125.75,121.31,121.96,109.6113,2546100
"2016-10-13",121.57,122.48,120.09,121.16,108.8923,1194900
"2016-10-14",121.56,122.25,120.68,120.9,108.6586,570200
"2016-10-17",120.63,120.9,116.3,118.64,106.6275,1943900
"2016-10-18",120,124.67,119.5,123.65,111.1302,1640800
"2016-10-19",123.65,123.98,122.51,123.55,111.0403,1295700
"2016-10-20",123.97,124.81,123.36,123.63,111.1122,854400
"2016-10-21",122.9,124.32,122.57,124.18,111.6065,639700
"2016-10-24",124.45,124.7,123.31,124.06,111.4986,796200
"2016-10-25",123.6,124.89,123.53,124.3,111.7144,947700
"2016-10-26",124.38,124.76,123.72,123.8,111.265,1117900
"2016-10-27",124.16,124.72,122.4,123.06,110.5999,738700
"2016-10-28",123.16,123.63,121.18,121.62,109.3057,1229500
"2016-10-31",121.8,122.5,118.83,118.83,106.7982,1414600
"2016-11-01",119.55,120.84,115.03,116.03,104.2817,1728500
"2016-11-02",115.59,118.14,115.45,117.85,105.9174,1828600
"2016-11-03",119.5,123.33,117.23,117.31,105.4321,2320900
"2016-11-04",117.74,122.8,117.11,121.65,109.3327,1735400
"2016-11-07",122.57,126.92,122.35,126.25,113.4669,1811900
"2016-11-08",125.52,130.24,125.41,128.77,115.7318,1386100
"2016-11-09",127.46,136.77,124.48,135.8,122.05,2847500
"2016-11-10",136.09,138.51,133.01,134.77,121.1242,2572400
"2016-11-11",134.62,136.42,131.89,133.67,120.1356,1187200
"2016-11-14",134.23,138.78,133.1,136.12,122.3375,2048700
"2016-11-15",136.08,138.66,134.29,137.8,123.8475,1082900
"2016-11-16",137.93,138.72,136.55,137.89,123.9283,1049100
"2016-11-17",137.23,140.2,136.26,140,125.8247,1146300
"2016-11-18",139.62,142,136.73,138.7,124.6563,1173000
"2016-11-21",138.13,139.95,136.04,137.08,123.2004,1077600
"2016-11-22",137.35,140.77,136.72,139.73,125.582,1458400
"2016-11-23",139.7,140.5,136.81,139.53,125.4023,843100
"2016-11-25",139.88,141.48,138.53,138.67,124.6293,306600
"2016-11-28",138.83,139.34,136.2,136.77,122.9218,1193500
"2016-11-29",136.77,139.95,136.77,138.3,124.2968,1391600
"2016-11-30",137.96,138.05,134.53,134.74,121.0973,2099700
"2016-12-01",134.17,136.92,134.17,134.5,120.8816,1638300
"2016-12-02",135.08,135.95,132.63,133.44,119.9289,1386000
"2016-12-05",133.65,135.45,131.65,134.7,121.0613,1085700
"2016-12-06",135.51,137.74,134.13,137.25,123.3531,1121800
"2016-12-07",136.88,137.52,135.81,136.83,122.9757,1694300
"2016-12-08",136.51,138.57,135.1,137.13,123.2453,1118200
"2016-12-09",137.17,137.94,133.87,134.8,121.1512,1417400
"2016-12-12",134.03,134.4,131.03,132.38,118.9762,1169500
"2016-12-13",132.91,135.82,131.52,134.57,120.9445,1296800
"2016-12-14",135.23,135.84,132.31,133.24,119.7492,879700
"2016-12-15",133.19,134.56,131.26,133.99,120.4232,921400
"2016-12-16",134.86,137.7,134.85,136.76,122.9128,2759500
"2016-12-19",137.59,139,136.84,138.09,124.1081,1214100
"2016-12-20",138.1,139.74,136.55,137.11,123.2273,1108100
"2016-12-21",137.43,137.43,135.87,137.07,123.1914,727900
"2016-12-22",136.9,137.5,135.46,136.97,123.1015,1097600
"2016-12-23",137.43,138.64,136.45,138.61,124.5754,431900
"2016-12-27",138.26,140.7,138.26,139.39,125.2765,481100
"2016-12-28",139.61,140.3,137,137,123.1284,828400
