date,open,high,low,close,adjclose,volume
"2016-09-26",73.05,73.39,72.81,73.11,57.7383,2502800
"2016-09-27",73.34,73.71,73.03,73.46,58.0146,2292200
"2016-09-28",73.86,73.95,72.99,73.6,58.1252,2684600
"2016-09-29",73.56,73.62,73.04,73.29,57.8804,2944200
"2016-09-30",73.55,74.5,73.51,74.14,58.5517,4652300
"2016-10-03",73.93,74.07,73.42,73.62,58.141,2691100
"2016-10-04",73.64,73.73,72.58,72.8,57.4934,3267300
"2016-10-05",73.02,73.1,72.59,72.97,57.6277,2365500
"2016-10-06",72.87,73.52,72.67,73.28,57.8725,2561700
"2016-10-07",73.4,73.61,72.46,73.05,57.6909,3315800
"2016-10-10",73.36,73.5,72.4,72.61,57.3434,2986100
"2016-10-11",72.54,72.63,71.89,72.2,57.0196,2971900
"2016-10-12",72.15,72.6,72.02,72.43,57.2012,2202800
"2016-10-13",72.07,72.49,71.76,72.16,56.988,2991600
"2016-10-14",72.4,72.9,72.16,72.31,57.1065,2875000
"2016-10-17",72.41,72.72,72.05,72.08,56.9248,2273400
"2016-10-18",72.64,72.64,71.93,71.93,56.8064,2729900
"2016-10-19",71.81,72.02,71.45,71.7,56.6247,2941000
"2016-10-20",71.32,71.62,70.86,70.92,56.315,3317200
"2016-10-21",70.94,71.15,70.61,70.92,56.315,3633100
"2016-10-24",71,71.36,70.86,71.03,56.4024,2408600
"2016-10-25",71.37,71.72,71.18,71.31,56.6247,2535600
"2016-10-26",71.3,71.35,70.71,71.26,56.585,2941300
"2016-10-27",71.72,71.87,70.25,70.57,56.0371,4366800
"2016-10-28",70.75,71.33,70.61,71.17,56.5135,3295100
"2016-10-31",71.28,71.69,71.02,71.36,56.6644,2785900
"2016-11-01",71.46,71.58,70.8,70.99,56.3706,2329700
"2016-11-02",70.94,71.42,70.84,71.18,56.5215,3437000
"2016-11-03",71.32,71.38,70.41,70.57,56.0371,4144400
"2016-11-04",70.75,70.91,69.56,69.57,55.2431,3874300
"2016-11-07",70.26,70.69,70.06,70.54,56.0133,3596700
"2016-11-08",70.51,71.73,70.36,71.59,56.847,4051400
"2016-11-09",70.4,70.63,69.37,70.37,55.8783,4901000
"2016-11-10",69.76,69.9,66.64,67.2,53.3611,9784900
"2016-11-11",67.24,67.77,66.82,67.42,53.5358,4008400
"2016-11-14",67.14,67.36,66.53,66.58,52.8688,3894000
"2016-11-15",66.67,67,66.22,66.59,52.8767,5253200
"2016-11-16",66.93,66.94,66.33,66.74,52.9958,3000800
"2016-11-17",66.65,66.83,65.93,65.99,52.4003,3831600
"2016-11-18",65.74,66,65.5,65.86,52.2971,4747500
"2016-11-21",65.86,66.38,65.82,66.22,52.5829,3494600
"2016-11-22",66.43,66.73,66.24,66.33,52.6703,3556100
"2016-11-23",66.01,66.28,65.87,65.99,52.4003,2230100
"2016-11-25",66.33,66.7,66.3,66.53,52.8291,1302300
"2016-11-28",66.39,66.69,66.04,66.43,52.7497,3102200
"2016-11-29",66.65,66.75,66.26,66.53,52.8291,2674100
"2016-11-30",66.27,66.67,65.23,65.23,51.7968,4515900
"2016-12-01",65.23,65.38,64.64,65.08,51.6777,4204700
"2016-12-02",65.18,65.47,64.46,64.72,51.3918,4486800
"2016-12-05",64.95,65.2,64.52,64.63,51.3204,4401800
"2016-12-06",64.78,65.13,64.51,65.03,51.638,4540800
"2016-12-07",65.13,65.95,64.92,65.93,52.3526,6570000
"2016-12-08",65.66,66,65.3,65.7,52.17,3204400
"2016-12-09",65.7,66.37,65.64,66.29,52.6385,2465300
"2016-12-12",66.28,66.95,66.28,66.75,53.0038,3126500
"2016-12-13",66.76,67.3,66.7,66.89,53.1149,3456400
"2016-12-14",66.92,67.14,65.79,65.91,52.3368,3809300
"2016-12-15",65.72,66.35,64.99,66.23,52.5909,4838100
"2016-12-16",66.32,66.47,65.7,66.23,52.5909,4382800
"2016-12-19",66.11,66.49,65.85,66.06,52.4559,2408800
"2016-12-20",66.44,66.45,65.97,66.39,52.7179,2635800
"2016-12-21",66.19,66.73,66.03,66.05,52.4479,2007100
"2016-12-22",65.97,66.43,65.84,66.37,52.702,1673600
"2016-12-23",66.39,66.5,66,66.27,52.6226,1210700
"2016-12-27",66.2,66.42,65.82,66.01,52.4162,1629500
"2016-12-28",66.01,66.24,65.58,65.61,52.0985,1671300
"2016-12-29",65.73,66,65.64,65.89,52.3209,2108800
"2016-12-30",65.84,66.07,65.28,65.44,51.9636,3491300
