date,open,high,low,close,adjclose,volume
"2016-09-26",84.9,85.28,84.49,84.61,69.4303,853500
"2016-09-27",84.52,85.09,84.12,84.88,69.6519,820700
"2016-09-28",84.88,85.06,84.09,84.94,69.7012,664900
"2016-09-29",84.73,84.98,83.34,83.55,68.5606,658800
"2016-09-30",83.54,84.93,82.87,84.63,69.7809,1208200
"2016-10-03",84.2,84.48,83.57,84.07,69.3191,694900
"2016-10-04",84.13,84.53,83.11,83.69,69.0058,680700
"2016-10-05",83.78,84.58,83.67,84.05,69.3026,669300
"2016-10-06",83.8,84.25,83.48,84.23,69.451,580300
"2016-10-07",84.45,85,83.94,84.74,69.8716,848500
"2016-10-10",85,85.36,84.75,84.83,69.9458,626800
"2016-10-11",84.42,84.67,83.24,83.31,68.6925,986200
"2016-10-12",83.45,83.7,82.93,83.23,68.6265,948100
"2016-10-13",82.69,83.75,82.29,83.32,68.7007,910500
"2016-10-14",83.69,83.93,83.17,83.17,68.577,581400
"2016-10-17",83.12,83.62,82.98,83.04,68.4698,639300
"2016-10-18",83.8,84.4,83.68,83.7,69.014,1029800
"2016-10-19",83.74,84.01,82.7,82.98,68.4204,1494200
"2016-10-20",82.66,84.85,82.29,84.57,69.7314,1783800
"2016-10-21",84.24,84.27,83.49,83.69,69.0058,661700
"2016-10-24",84.4,84.4,83.55,83.67,68.9893,744100
"2016-10-25",83.81,83.9,82.55,83.17,68.577,1066400
"2016-10-26",82.66,83,79.75,80.15,66.0869,2074400
"2016-10-27",80.47,80.67,79.64,79.93,65.9055,1303100
"2016-10-28",79.65,80.98,79.12,80.44,66.326,1048300
"2016-10-31",80.74,81.5,80.56,81.44,67.1506,1315000
"2016-11-01",81.66,81.66,79.64,80.53,66.4003,1144600
"2016-11-02",80.59,82.16,80.59,80.98,66.7713,1034200
"2016-11-03",81.22,82.07,81.1,81.3,67.0351,1323200
"2016-11-04",81.33,81.68,80.94,81.22,66.9692,1289300
"2016-11-07",82.2,82.7,81.77,82.47,67.9998,1115600
"2016-11-08",82.4,83.74,82.02,83.52,68.8656,969700
"2016-11-09",82.3,83,79.28,80.42,66.3095,2424100
"2016-11-10",80.98,81.78,80.52,81.51,67.2083,1874600
"2016-11-11",81.37,82,80.83,81.46,67.1671,1543500
"2016-11-14",83.24,85.62,83.03,85.1,70.1684,3625200
"2016-11-15",85.05,85.55,84.77,85.2,70.2508,1801400
"2016-11-16",85.05,85.57,84.47,84.69,69.8303,1116900
"2016-11-17",84.74,85.89,84.58,85.79,70.7373,1336300
"2016-11-18",85.68,86.04,85.24,85.54,70.5312,2544000
"2016-11-21",85.66,87.48,85.52,87.29,71.9742,1602100
"2016-11-22",87.29,87.59,86.43,86.64,71.4382,1384900
"2016-11-23",86.24,87.88,86.11,87.82,72.4112,925400
"2016-11-25",87.93,88.34,87.79,88.32,72.8234,530900
"2016-11-28",88.07,88.48,87.77,88.23,72.7492,1172200
"2016-11-29",88.51,89.13,88.23,88.75,73.178,844200
"2016-11-30",88.56,89.16,87.43,87.46,72.1143,1422100
"2016-12-01",87.39,87.98,86.89,87.45,72.1061,975600
"2016-12-02",87.34,88.83,87.34,88,72.5596,1033800
"2016-12-05",88.04,88.49,87.58,88.32,72.8234,753300
"2016-12-06",88.33,88.99,87.95,88.67,73.112,629300
"2016-12-07",88.64,89.12,87.83,88.71,73.145,822900
"2016-12-08",88.89,89.96,88.89,89.68,73.9448,923200
"2016-12-09",89.57,91.23,89.46,91.14,75.1486,872200
"2016-12-12",91.53,92.35,91.09,91.71,75.6186,1306500
"2016-12-13",91.66,92.57,91.55,91.95,75.8165,1138000
"2016-12-14",91.85,92.06,90.69,91.05,75.0744,998500
"2016-12-15",90.7,92.08,90.49,91.98,75.8413,991900
"2016-12-16",92.28,93,91.72,92.31,76.1133,1652500
"2016-12-19",91.93,92.8,91.72,92.38,76.171,992200
"2016-12-20",92.73,93.57,92.41,92.6,76.3525,840400
"2016-12-21",92.27,92.66,91.76,92.04,75.8907,890300
"2016-12-22",92.25,92.46,91.25,91.81,75.7011,1225800
