date,open,high,low,close,adjclose,volume
"2016-09-26",23.3975,23.4625,23.2125,23.29,23.29,1787200
"2016-09-27",23.2425,23.475,23.2325,23.43,23.43,1890800
"2016-09-28",23.3875,23.43,21.18,22.435,22.435,17960400
"2016-09-29",22.4725,22.495,21.565,21.95,21.95,10935200
"2016-09-30",22.09,22.255,21.7025,21.915,21.915,4100400
"2016-10-03",21.7275,21.9525,21.0225,21.245,21.245,5032800
"2016-10-04",21.2475,21.3725,20.145,20.4825,20.4825,7516800
"2016-10-05",20.6375,21.215,20.445,20.8425,20.8425,6009600
"2016-10-06",20.8625,21.0475,20.5925,20.77,20.77,2891200
"2016-10-07",20.745,20.875,20.4975,20.7325,20.7325,2881600
"2016-10-10",20.8375,21.2825,20.785,20.98,20.98,2055600
"2016-10-11",20.8575,20.8575,20.25,20.4725,20.4725,2586000
"2016-10-12",20.55,20.845,20.36,20.505,20.505,1762000
"2016-10-13",20.3975,20.6125,20.0025,20.495,20.495,2064400
"2016-10-14",20.5225,20.625,20.2675,20.42,20.42,2902800
"2016-10-17",20.475,20.5925,20.275,20.4925,20.4925,1498000
"2016-10-18",20.625,20.76,20.5375,20.63,20.63,1716400
"2016-10-19",20.5775,20.7325,20.4675,20.5,20.5,2578400
"2016-10-20",20.4875,20.665,20.4475,20.625,20.625,2091600
"2016-10-21",20.575,20.575,20.0725,20.17,20.17,1682800
"2016-10-24",20.19,20.7875,20.0975,20.6275,20.6275,1997200
"2016-10-25",20.49,20.49,19.92,20.055,20.055,1694000
"2016-10-26",19.9275,19.96,18.8575,19.3125,19.3125,6128400
"2016-10-27",19.3425,19.3675,18.8075,18.855,18.855,2434400
"2016-10-28",18.8,19.48,18.7975,19.175,19.175,2309200
"2016-10-31",19.28,19.7075,19.1075,19.56,19.56,5967200
"2016-11-01",19.4875,19.8625,19.3425,19.48,19.48,5189200
"2016-11-02",15.6975,16.615,15.25,15.7325,15.7325,33207200
"2016-11-03",15.715,15.9,14.8675,15.02,15.02,11086400
"2016-11-04",15.04,15.84,15.04,15.475,15.475,6260800
"2016-11-07",15.565,15.94,15.315,15.75,15.75,4777200
"2016-11-08",15.7475,15.9325,15.485,15.66,15.66,3307600
"2016-11-09",15.5425,15.9975,15.035,15.4975,15.4975,6054000
"2016-11-10",15.6275,15.9375,15.3525,15.6325,15.6325,3043200
"2016-11-11",15.68,16.5575,15.485,16.295,16.295,5910000
"2016-11-14",16.575,17.715,16.5625,17.1975,17.1975,7321600
"2016-11-15",17.19,18.265,17.1675,17.8825,17.8825,7640400
"2016-11-16",17.7925,18.025,17.595,17.8225,17.8225,4450800
"2016-11-17",17.6575,18.275,17.6575,18.0025,18.0025,2674800
"2016-11-18",18.1025,18.285,17.845,17.85,17.85,3234000
"2016-11-21",17.8175,18.3925,17.8125,18.295,18.295,3490800
"2016-11-22",18.215,18.365,17.09,17.5575,17.5575,5718000
"2016-11-23",17.615,18.085,17.4575,18.0475,18.0475,3094000
"2016-11-25",18.31,18.545,17.9125,18.205,18.205,1890000
"2016-11-28",18.1875,18.4825,17.5875,17.6775,17.6775,4036800
"2016-11-29",17.7475,17.7475,16.8,17.0175,17.0175,6263600
"2016-11-30",17.1275,17.2925,15.91,16.3225,16.3225,22906800
"2016-12-01",16.25,16.455,15.6675,15.835,15.835,5086400
"2016-12-02",15.8925,16.13,15.7325,15.9675,15.9675,3686800
"2016-12-05",16.1275,16.44,15.9225,16.1125,16.1125,3580000
"2016-12-06",16.1725,16.4325,15.945,16.37,16.37,7128800
"2016-12-07",16.25,16.4225,15.5225,15.76,15.76,3829200
"2016-12-08",15.6825,16.2,15.605,16.1525,16.1525,3128400
"2016-12-09",16.115,16.41,16.0575,16.2525,16.2525,3019200
"2016-12-12",16.1,16.365,16.06,16.32,16.32,2925600
"2016-12-13",16.4075,16.6175,16.11,16.25,16.25,4056000
"2016-12-14",16.2575,16.2825,15.8325,16.035,16.035,3700000
"2016-12-15",16.36,16.36,15.8175,15.93,15.93,3973200
"2016-12-16",15.9,16.2225,15.78,15.8525,15.8525,4544400
"2016-12-19",15.975,16.32,15.75,15.8775,15.8775,6067200
"2016-12-20",15.8375,16.95,15.155,15.89,15.89,17749200
"2016-12-21",16.145,16.4675,15.8975,15.935,15.935,8155600
"2016-12-22",15.9,16.165,15.3825,15.525,15.525,3384800
"2016-12-23",15.585,15.73,15.4225,15.6275,15.6275,2308800
"2016-12-27",15.5525,15.65,15.3375,15.6,15.6,3602000
"2016-12-28",15.675,15.9425,15.225,15.2525,15.2525,2906400
"2016-12-29",15.3175,15.355,15.07,15.16,15.16,3521600
"2016-12-30",15.145,15.31,14.84,14.925,14.925,5357200
"2017-01-03",14.875,14.9125,14.44,14.5625,14.5625,5717200
"2017-01-04",14.575,15.2875,14.42,15.18,15.18,7246400
"2017-01-05",15.2225,16.1375,15.1325,15.665,15.665,6565600
"2017-01-06",15.7925,15.9775,15.6225,15.8075,15.8075,3558800
"2017-01-09",15.875,15.9725,15.6175,15.6225,15.6225,4105600
"2017-01-10",15.715,17.3725,15.6075,16.76,16.76,8528400
"2017-01-11",16.8225,17.355,16.575,17.2575,17.2575,7846800
"2017-01-12",17.25,17.43,16.82,16.9025,16.9025,5302400
"2017-01-13",19.84,22.2,19.655,21.2825,21.2825,37285600
"2017-01-17",21.3675,21.685,21.1525,21.3725,21.3725,11669600
"2017-01-18",21.5,21.5475,21.0225,21.04,21.04,9443200
"2017-01-19",21.04,21.16,20.31,20.3975,20.3975,7149200
"2017-01-20",20.4,20.565,19.9075,20.0525,20.0525,4900400
"2017-01-23",19.9125,20.115,19.7525,19.995,19.995,3907600
"2017-01-24",19.575,20.0125,19.075,19.9375,19.9375,9353200
"2017-01-25",20.0325,20.5725,19.965,20.225,20.225,5634400
"2017-01-26",20.1925,20.3825,19.7875,19.88,19.88,2805200
"2017-01-27",19.8625,20.0025,19.73,19.87,19.87,2134400
"2017-01-30",19.79,19.9075,19.4075,19.6375,19.6375,2109600
"2017-01-31",19.7125,19.99,19.5175,19.7875,19.7875,3358800
"2017-02-01",19.9525,20.0475,19.6675,19.86,19.86,3761600
