date,open,high,low,close,adjclose,volume
"2016-09-26",33.2577,33.6548,32.9417,33.4117,33.4117,326393
"2016-09-27",33.4279,33.7925,33.4198,33.6467,33.6467,332686
"2016-09-28",33.8169,34.2626,33.1118,34.1329,34.1329,237175
"2016-09-29",34.1248,34.7002,34.0924,34.4408,34.4408,274688
"2016-09-30",34.5219,35.5592,34.4408,35.5186,35.5186,413143
"2016-10-03",35.5186,35.5429,34.8055,35.3323,35.3323,325776
"2016-10-04",35.0972,35.5997,34.3517,35.5186,35.5186,378961
"2016-10-05",35.5267,36.5073,34.4246,36.2804,36.2804,230881
"2016-10-06",36.6613,38.4765,36.4911,38.4198,38.4198,795313
"2016-10-07",38.3387,38.3874,37.6904,38.0551,38.0551,343175
"2016-10-10",38.4036,38.5251,37.8606,38.3225,38.3225,211754
"2016-10-11",38.363,38.363,37.6742,37.7796,37.7796,227056
"2016-10-12",37.6256,37.8363,36.7666,36.9125,36.9125,265433
"2016-10-13",36.6045,37.1718,36.3128,36.9206,36.9206,135863
"2016-10-14",37.0421,37.577,36.7018,37.107,37.107,178190
"2016-10-17",36.9368,37.3177,36.7747,37.188,37.188,249515
"2016-10-18",37.6742,37.6742,37.1475,37.1475,37.1475,135370
"2016-10-19",37.2042,37.3825,36.4263,37.2934,37.2934,159680
"2016-10-20",37.2447,37.3906,37.1151,37.2934,37.2934,91439
"2016-10-21",37.1961,37.8849,36.8801,37.7796,37.7796,239643
"2016-10-24",37.9335,37.9579,37.4635,37.8687,37.8687,139565
"2016-10-25",37.8039,38.0308,37.5689,37.6013,37.6013,155731
"2016-10-26",37.3663,37.8849,37.3663,37.8444,37.8444,141787
"2016-10-27",37.9011,38.0551,37.3906,37.5851,37.5851,146229
"2016-10-28",37.5608,37.9741,37.3744,37.6256,37.6256,139936
"2016-10-31",37.8282,38.0551,37.423,37.8768,37.8768,219652
"2016-11-01",38.0713,38.0713,36.9854,37.1556,37.1556,191517
"2016-11-02",37.188,37.188,36.5397,36.6856,36.6856,161777
"2016-11-03",36.6288,36.9692,36.5802,36.6856,36.6856,104026
"2016-11-04",36.8476,37.2853,36.5964,36.7747,36.7747,227303
"2016-11-07",37.0989,37.7634,35.6645,37.3177,37.3177,247540
"2016-11-08",37.6823,38.282,36.0535,37.9498,37.9498,370323
"2016-11-09",37.6499,39.1086,36.6207,39.0681,39.0681,201389
"2016-11-10",39.4733,40.3809,39.0924,40.0972,40.0972,356256
"2016-11-11",39.9838,40.7617,39.0519,40.6726,40.6726,252106
"2016-11-14",40.9238,41.0859,40.47,40.8347,40.8347,255685
"2016-11-15",40.8671,41.1426,40.5592,40.6402,40.6402,250255
"2016-11-16",40.5429,40.7212,40.3971,40.4457,40.4457,205584
"2016-11-17",40.5186,40.624,40.2998,40.3971,40.3971,134753
"2016-11-18",40.5186,40.6564,40.3485,40.47,40.47,165356
"2016-11-21",40.5997,40.8023,40.3728,40.7617,40.7617,154127
"2016-11-22",40.7455,40.9076,40.3809,40.8104,40.8104,135617
"2016-11-23",40.6483,40.94,40.47,40.8671,40.8671,151412
"2016-11-25",41.0373,41.2075,40.4538,41.1345,41.1345,73670
"2016-11-28",40.9238,41.4425,40.7374,40.7617,40.7617,117600
"2016-11-29",40.8833,41.0292,40.6564,40.7212,40.7212,94031
"2016-11-30",41.0292,41.6126,40.5592,41.329,41.329,342188
"2016-12-01",41.5559,42.577,41.1345,41.9854,41.9854,295543
"2016-12-02",41.8314,42.0502,41.1264,41.1588,41.1588,234460
"2016-12-05",41.3533,42.1718,40.9643,41.8558,41.8558,162394
"2016-12-06",41.9692,42.3096,41.7261,42.1394,42.1394,96869
"2016-12-07",42.2609,42.6904,42.1799,42.658,42.658,119081
"2016-12-08",42.5446,43.2982,42.4149,43.2334,43.2334,127966
"2016-12-09",43.5089,43.59,42.2447,42.8849,42.8849,137838
"2016-12-12",43.0065,43.0065,42.1718,42.3339,42.3339,95265
"2016-12-13",42.3177,42.4716,41.6937,42.0421,42.0421,132038
"2016-12-14",42.2285,42.3096,41.8071,42.0016,42.0016,129817
"2016-12-15",41.9368,42.7877,41.8476,42.4959,42.4959,121796
"2016-12-16",42.3096,42.577,42.2285,42.4473,42.4473,186581
"2016-12-19",42.6337,43.1929,42.2285,42.6742,42.6742,111183
"2016-12-20",42.8363,42.9498,42.1475,42.7229,42.7229,93290
"2016-12-21",42.4797,42.5689,42.0178,42.1637,42.1637,181645
"2016-12-22",42.342,42.3987,41.6207,42.2204,42.2204,123647
"2016-12-23",42.1799,42.5851,41.9044,42.0908,42.0908,60219
"2016-12-27",42.0097,42.6661,42.0097,42.1151,42.1151,135370
"2016-12-28",42.1961,42.2528,41.6775,42.1718,42.1718,105754
"2016-12-29",42.3987,42.4392,41.6937,41.9692,41.9692,81567
"2016-12-30",42.1637,42.1637,41.1102,41.6451,41.6451,208299
"2017-01-03",41.5154,42.034,40.5429,41.8233,41.8233,152029
"2017-01-04",41.5397,42.0178,41.3452,41.8801,41.8801,208299
"2017-01-05",41.7585,42.034,41.4263,41.8152,41.8152,103286
"2017-01-06",41.7909,41.9611,41.1426,41.2642,41.2642,158322
"2017-01-09",41.3371,41.8071,41.0859,41.2723,41.2723,127596
"2017-01-10",41.2804,41.7585,41.1507,41.7504,41.7504,115873
"2017-01-11",41.8963,42.5446,41.6126,42.4716,42.4716,161407
"2017-01-12",42.4716,42.8282,42.0016,42.7796,42.7796,132655
"2017-01-13",42.9254,43.3549,42.7391,42.9092,42.9092,202376
"2017-01-17",42.8282,42.966,41.1669,42.9498,42.9498,207929
"2017-01-18",42.9498,43.282,40.3728,43.2658,43.2658,231128
"2017-01-19",43.2253,43.4198,42.423,43.3306,43.3306,189172
"2017-01-20",43.2172,43.4684,43.047,43.3063,43.3063,192751
"2017-01-23",43.3468,43.3793,42.1313,42.3663,42.3663,131298
"2017-01-24",42.5446,42.8606,41.8639,42.577,42.577,125868
"2017-01-25",42.7391,43.2658,42.7147,43.0551,43.0551,112541
"2017-01-26",43.0875,43.2172,42.5284,42.8444,42.8444,166467
"2017-01-27",42.9092,42.9092,41.953,42.6742,42.6742,333427
"2017-01-30",42.4878,42.4878,40.7617,41.5397,41.5397,193121
"2017-01-31",41.3047,41.41,40.94,41.2723,41.2723,199908
"2017-02-01",42.3339,45.1135,42.3339,44.6191,44.6191,904769
"2017-02-02",44.4084,46.0454,43.8493,45.3809,45.3809,426594
"2017-02-03",45.4538,46.0211,45.1135,45.4214,45.4214,262472
"2017-02-06",45.0162,45.7455,44.846,44.8947,44.8947,277650
"2017-02-07",44.6921,44.8298,43.6224,43.8979,43.8979,311091
"2017-02-08",43.6467,44.3922,43.0227,43.0956,43.0956,321334
"2017-02-09",43.2658,43.59,42.5851,43.0956,43.0956,215333
"2017-02-10",43.0308,44.0194,42.9173,43.6062,43.6062,168811
"2017-02-13",43.7682,44.0924,43.4927,43.6224,43.6224,135246
"2017-02-14",43.4198,43.8006,43.3144,43.752,43.752,110196
"2017-02-15",43.8736,43.8736,43.3793,43.5089,43.5089,137468
"2017-02-16",43.5575,44.3436,43.5575,44.1653,44.1653,274935
"2017-02-17",43.9708,44.7731,43.7601,44.6677,44.6677,232856
"2017-02-21",44.1491,45.0648,44.1491,44.8541,44.8541,201019
"2017-02-22",44.9514,45.0729,44.6353,45,45,176215
"2017-02-23",44.7731,44.9514,44.2383,44.765,44.765,302083
"2017-02-24",44.5867,46.4182,43.7277,45.5835,45.5835,414747
"2017-02-27",45.5429,45.705,44.4571,44.8055,44.8055,372791
"2017-02-28",42.9417,43.7277,42.0989,43.1686,43.1686,769646
"2017-03-01",43.7601,43.9546,42.5689,43.825,43.825,247787
"2017-03-02",43.825,44.06,42.9254,43.752,43.752,245689
"2017-03-03",43.7439,43.7439,42.9335,43.4441,43.4441,206325
"2017-03-06",43.3063,43.3387,41.7909,42.5851,42.5851,227673
"2017-03-07",42.0097,42.6418,42.0097,42.5608,42.5608,266421
"2017-03-08",42.6013,43.3144,42.6013,43.2496,43.2496,166467
"2017-03-09",43.0065,43.5494,41.7666,43.2172,43.2172,130927
"2017-03-10",43.3063,43.8169,42.9741,43.5332,43.5332,144255
"2017-03-13",43.517,44.1086,43.1118,43.7925,43.7925,256302
"2017-03-14",43.517,44.5624,43.201,44.5381,44.5381,332193
"2017-03-15",44.5705,44.8703,44.1167,44.5705,44.5705,405986
"2017-03-16",44.5057,44.9676,44.0194,44.7083,44.7083,141540
"2017-03-17",44.8136,45.0972,43.9627,44.7893,44.7893,563444
"2017-03-20",44.5138,45.154,44.4408,44.9595,44.9595,159926
"2017-03-21",44.919,45.2107,44.3274,44.4814,44.4814,378715
"2017-03-22",44.6191,45.0486,44.4814,44.5624,44.5624,649578
"2017-03-23",44.2869,45.1702,43.8412,44.6758,44.6758,287522
"2017-03-24",44.7569,44.9838,44.4814,44.7164,44.7164,354281
"2017-03-27",44.4165,44.5867,43.5251,44.2383,44.2383,263459
"2017-03-28",43.9303,44.4084,42.9822,44.1086,44.1086,600218
"2017-03-29",43.8574,44.7812,43.7115,44.6434,44.6434,204350
"2017-03-30",44.8136,45.3485,44.7083,45.2998,45.2998,170909
"2017-03-31",45.3485,46.1831,44.846,46.1507,46.1507,342929
"2017-04-03",45.9238,46.4587,45.7536,45.9724,45.9724,353664
"2017-04-04",45.624,46.3371,43.0227,46.1669,46.1669,331946
"2017-04-05",46.2804,46.3128,44.611,45.316,45.316,689436
"2017-04-06",45.3485,45.8671,44.4652,45.6726,45.6726,121179
"2017-04-07",45.6726,46.248,45.5105,45.8509,45.8509,165603
"2017-04-10",45.8833,46.3128,45.7536,46.0535,46.0535,134012
"2017-04-11",46.0454,46.1831,45.7293,46.0211,46.0211,141663
"2017-04-12",46.0292,46.1507,45.6402,45.6888,45.6888,118217
"2017-04-13",45.1216,45.9238,44.8703,44.9028,44.9028,108345
"2017-04-17",45,45.9238,44.9028,45.8509,45.8509,185100
"2017-04-18",45.7536,46.1669,45.6321,45.8266,45.8266,266914
"2017-04-19",46.0697,46.3776,45.47,46.248,46.248,217801
"2017-04-20",46.4344,46.6775,46.3128,46.5964,46.5964,127472
"2017-04-21",46.5721,46.8152,45.9319,46.1102,46.1102,132778
"2017-04-24",46.2804,46.5154,46.1507,46.2642,46.2642,279501
"2017-04-25",46.4668,47.3177,46.3371,47.1151,47.1151,288633
"2017-04-26",47.1151,48.0308,47.1151,47.3258,47.3258,198797
"2017-04-27",47.3744,47.9011,47.0259,47.1637,47.1637,158816
"2017-04-28",47.2285,47.577,45.8752,46.6451,46.6451,153263
"2017-05-01",46.9287,47.1718,46.7099,47.0908,47.0908,214099
"2017-05-02",47.269,47.6256,46.953,47.4797,47.4797,185594
"2017-05-03",47.3015,47.6904,46.1183,46.7909,46.7909,244826
"2017-05-04",46.9854,46.9854,46.329,46.4992,46.4992,157088
"2017-05-05",46.6937,47.6337,46.4506,47.6013,47.6013,154003
"2017-05-08",47.5608,48.1118,47.2042,47.7066,47.7066,88848
"2017-05-09",47.8039,47.8039,47.2123,47.4959,47.4959,203487
"2017-05-10",47.9741,48.0308,46.0697,46.5478,46.5478,493600
"2017-05-11",46.5559,47.1961,45.8104,46.1102,46.1102,178560
"2017-05-12",46.0049,46.4587,45.0972,45.9887,45.9887,182879
"2017-05-15",45.8266,47.1151,45.8266,46.6856,46.6856,207312
"2017-05-16",46.6207,47.0421,46.2642,46.953,46.953,169058
"2017-05-17",46.4668,46.6045,46.013,46.1588,46.1588,183743
"2017-05-18",45.8995,46.872,45.1783,46.5397,46.5397,183619
"2017-05-19",46.718,47.107,45.6888,47.0259,47.0259,151659
"2017-05-22",47.0016,47.7796,45.9968,47.6013,47.6013,181521
"2017-05-23",47.7066,47.9903,47.3987,47.5527,47.5527,294926
"2017-05-24",47.7147,47.9173,47.3582,47.8444,47.8444,192381
"2017-05-25",47.9417,48.0389,47.1556,47.893,47.893,116983
"2017-05-26",47.966,48.4603,47.4878,48.0632,48.0632,175475
"2017-05-30",48.1442,48.3793,47.4959,47.5446,47.5446,95265
"2017-05-31",47.7715,47.9822,47.0746,47.8525,47.8525,206201
"2017-06-01",48.0065,48.8979,47.4959,48.7439,48.7439,226069
"2017-06-02",48.752,49.7488,48.201,49.5543,49.5543,262719
"2017-06-05",49.7245,50.2755,49.5138,49.7245,49.7245,207435
"2017-06-06",49.4327,49.8622,49.141,49.3841,49.3841,244826
"2017-06-07",49.2869,49.7407,48.7844,48.9465,48.9465,150548
"2017-06-08",49.0113,50.2755,48.671,50.1702,50.1702,190776
"2017-06-09",50.1135,50.5916,49.2707,49.8055,49.8055,202623
"2017-06-12",49.7002,50.5754,48.7763,49.5543,49.5543,139565
"2017-06-13",49.4814,50.1297,49.4814,49.9514,49.9514,158816
"2017-06-14",50.0405,50.3079,49.611,50.0729,50.0729,185100
"2017-06-15",49.846,50,49.2464,49.8217,49.8217,190406
"2017-06-16",49.8622,50.2026,49.2139,49.2301,49.2301,781369
"2017-06-19",49.6029,50.6483,49.4489,50.4457,50.4457,264693
"2017-06-20",50.5754,50.5754,49.4246,49.4246,49.4246,134259
"2017-06-21",49.6677,50.1945,48.8088,49.2788,49.2788,238162
"2017-06-22",49.4084,49.7245,48.9141,49.0113,49.0113,181521
"2017-06-23",49.0357,49.611,48.825,49.1896,49.1896,248157
"2017-06-26",49.3031,49.6029,49.1734,49.3841,49.3841,126732
"2017-06-27",49.3355,49.4571,48.7277,48.7358,48.7358,125745
"2017-06-28",48.8979,49.6353,48.6224,49.5624,49.5624,288879
"2017-06-29",49.5948,49.5948,48.282,49.3274,49.3274,231498
"2017-06-30",49.5138,49.5948,48.5656,49.1896,49.1896,417092
"2017-07-03",49.1815,49.3841,48.6548,48.9465,48.9465,84776
"2017-07-05",48.7925,48.8331,47.893,48.7601,48.7601,224465
"2017-07-06",48.5089,48.7196,47.7553,48.0065,48.0065,273825
"2017-07-07",48.1848,48.8088,48.0956,48.6548,48.6548,129817
"2017-07-10",48.5413,48.8898,47.9903,48.5251,48.5251,190159
"2017-07-11",48.2496,48.9627,48.1361,48.4603,48.4603,151165
"2017-07-12",48.7763,48.9627,48.363,48.8574,48.8574,167947
"2017-07-13",48.8736,49.0113,48.4522,48.5251,48.5251,143514
"2017-07-14",48.5332,49.0438,46.6126,48.987,48.987,189172
"2017-07-17",48.987,49.4327,48.825,49.2869,49.2869,133766
"2017-07-18",49.2139,49.2139,48.4198,48.7601,48.7601,101311
"2017-07-19",48.7844,49.7569,48.7844,49.4489,49.4489,175598
"2017-07-20",49.6677,49.8379,48.9627,49.4976,49.4976,104150
"2017-07-21",49.3922,49.8298,49.2058,49.6677,49.6677,103656
"2017-07-24",49.6596,49.919,49.2383,49.7569,49.7569,98597
"2017-07-25",49.846,49.8865,49.0519,49.8298,49.8298,209286
"2017-07-26",50.0081,50.0648,49.1572,49.6758,49.6758,98843
"2017-07-27",49.7812,49.8136,48.8493,49.4814,49.4814,142033
"2017-07-28",49.2788,49.7164,48.9627,49.5381,49.5381,102175
"2017-07-31",49.6515,49.8298,48.8574,49.2139,49.2139,177943
"2017-08-01",49.3922,49.7002,49.06,49.4733,49.4733,267901
"2017-08-02",49.4733,49.6029,48.9627,49.3436,49.3436,164369
"2017-08-03",49.3031,49.5543,48.7358,48.9384,48.9384,104890
"2017-08-04",49.0438,49.1653,48.5089,48.8493,48.8493,95758
"2017-08-07",48.7763,48.9141,48.2172,48.7844,48.7844,196453
"2017-08-08",48.7763,48.9141,48.2739,48.671,48.671,147833
"2017-08-09",47.7066,49.919,45.7212,46.0859,46.0859,274812
"2017-08-10",46.1831,46.6613,44.3841,45.9157,45.9157,232856
"2017-08-11",45.8104,46.2156,45.2674,46.0292,46.0292,138578
"2017-08-14",46.4425,47.2204,45.9643,47.1718,47.1718,187568
"2017-08-15",47.1313,47.4392,46.5073,46.7585,46.7585,136974
"2017-08-16",46.9692,47.1556,46.3857,47.0421,47.0421,196823
"2017-08-17",46.9287,47.0421,46.4668,46.7018,46.7018,193121
"2017-08-18",46.5478,46.6694,42.812,46.1426,46.1426,99337
"2017-08-21",46.0778,46.5559,45.624,45.7293,45.7293,100448
"2017-08-22",45.7212,46.3452,45.5916,46.2237,46.2237,106247
"2017-08-23",45.8995,46.8963,43.8088,46.6856,46.6856,117600
"2017-08-24",46.7909,47.9498,46.41,47.8282,47.8282,326763
"2017-08-25",47.8768,48.4846,47.0178,47.7391,47.7391,103409
"2017-08-28",47.8849,48.4927,47.1799,47.3258,47.3258,155361
"2017-08-29",47.0989,47.7958,46.3614,47.423,47.423,129940
"2017-08-30",47.4068,48.0146,47.1394,47.9335,47.9335,130310
"2017-08-31",47.9903,48.9465,46.8882,48.8655,48.8655,144378
"2017-09-01",48.8493,48.9303,48.3793,48.4603,48.4603,125498
"2017-09-05",48.2901,48.6305,46.9692,47.4068,47.4068,239890
"2017-09-06",47.6985,47.8687,46.9692,47.034,47.034,111307
"2017-09-07",47.2609,47.2609,45.9157,45.9481,45.9481,231745
"2017-09-08",45.5835,45.8509,44.8947,45.4862,45.4862,178313
"2017-09-11",45.8671,46.1426,45.4052,45.5835,45.5835,169675
"2017-09-12",45.8185,46.6045,45.5754,45.9238,45.9238,233349
"2017-09-13",45.8185,46.2156,45.7374,45.9806,45.9806,97486
"2017-09-14",45.8995,46.248,45.4619,46.1507,46.1507,112047
"2017-09-15",45.9562,46.9692,45.7455,46.6532,46.6532,248528
"2017-09-18",46.6937,47.0746,46.3209,46.5559,46.5559,189666
"2017-09-19",46.6045,47.0421,46.2075,46.8882,46.8882,94278
"2017-09-20",46.9125,46.953,46.564,46.9206,46.9206,78112
"2017-09-21",46.9287,47.2609,45.8833,47.0583,47.0583,85516
"2017-09-22",47.1799,47.3258,46.7342,46.8071,46.8071,81444
"2017-09-25",46.6532,46.6532,45.8671,46.013,46.013,113775
"2017-09-26",45.9481,46.1994,45.3809,45.859,45.859,97486
"2017-09-27",45.8995,46.9773,45.6402,46.4668,46.4668,144501
"2017-09-28",46.3776,46.7747,45.2107,46.2966,46.2966,101805
"2017-09-29",46.41,46.5235,45.0729,46.3776,46.3776,86133
"2017-10-02",46.5154,46.5154,45.8347,46.2237,46.2237,174241
"2017-10-03",46.013,46.4344,45.8752,46.4182,46.4182,209533
"2017-10-04",46.2156,46.564,45.9562,46.1021,46.1021,312696
"2017-10-05",46.2561,46.483,45.7212,45.7374,45.7374,125868
"2017-10-06",45.7374,45.8671,45.1783,45.8671,45.8671,213605
"2017-10-09",45.8671,45.94,45.2998,45.5835,45.5835,84899
"2017-10-10",45.7942,45.7942,45.3647,45.6321,45.6321,81691
"2017-10-11",45.5592,45.6402,45.0486,45.3647,45.3647,164986
"2017-10-12",45.1135,45.2917,44.7002,45.1135,45.1135,122413
"2017-10-13",45.2026,45.2026,44.684,44.8136,44.8136,129447
"2017-10-16",44.7326,44.9514,43.9951,44.1248,44.1248,131668
"2017-10-17",43.9708,44.4165,43.8979,44.3922,44.3922,207065
"2017-10-18",44.4327,44.6596,44.1005,44.2545,44.2545,119575
"2017-10-19",44.1005,44.2545,43.6953,44.0194,44.0194,140429
"2017-10-20",44.141,44.6434,44.141,44.4814,44.4814,99831
"2017-10-23",44.6029,44.6434,44.2301,44.3355,44.3355,82308
"2017-10-24",44.4003,44.7407,44.2545,44.4814,44.4814,86997
"2017-10-25",44.3517,44.4408,43.8169,44.1572,44.1572,70338
"2017-10-26",44.0519,44.2545,43.7682,44.2058,44.2058,128336
"2017-10-27",44.3841,45.5348,44.3274,45.4133,45.4133,164492
"2017-10-30",45.3079,45.3404,44.8784,45.1378,45.1378,124511
"2017-10-31",45.2188,45.3809,44.8541,45.3404,45.3404,154127
"2017-11-01",45.5429,45.5429,43.2253,43.7196,43.7196,310598
"2017-11-02",43.8736,43.8817,42.6256,42.966,42.966,344656
"2017-11-03",43.047,43.6467,42.2285,42.5284,42.5284,136480
"2017-11-06",42.3663,43.7196,42.3663,43.6467,43.6467,108222
"2017-11-07",43.4927,43.9384,43.0632,43.6629,43.6629,199044
"2017-11-08",44.7731,47.0016,44.7731,46.1507,46.1507,320223
"2017-11-09",45.9562,46.3614,44.3274,44.3841,44.3841,196823
"2017-11-10",44.2545,45.3323,44.2545,45.1297,45.1297,144008
"2017-11-13",45.1216,45.7212,44.295,44.8865,44.8865,169058
"2017-11-14",45.0486,47.8201,44.6353,47.7066,47.7066,440415
"2017-11-15",47.2934,47.7958,45.6321,46.9449,46.9449,227426
"2017-11-16",46.8152,48.4927,46.1588,47.9741,47.9741,219529
"2017-11-17",47.8849,48.7034,46.7261,48.517,48.517,190036
"2017-11-20",48.3955,48.6143,47.1394,48.282,48.282,146969
"2017-11-21",48.3793,49.1086,48.1686,48.6143,48.6143,80827
"2017-11-22",48.6305,48.9141,48.128,48.2982,48.2982,118217
"2017-11-24",48.2253,48.3793,46.953,48.3063,48.3063,93414
"2017-11-27",48.282,48.5089,47.034,48.047,48.047,136851
