date,open,high,low,close,adjclose,volume
"2016-09-26",119.05,119.52,118.38,118.93,106.7633,806000
"2016-09-27",118.67,120,118.46,119.92,107.652,866400
"2016-09-28",120.45,121.44,119.97,121.3,108.8909,888500
"2016-09-29",121.06,121.8,120.41,120.73,108.3792,777900
"2016-09-30",120.83,122.07,120.7,121.72,109.2679,956800
"2016-10-03",121.55,121.74,120.81,121.11,108.7203,735200
"2016-10-04",121.05,121.26,119.69,120.16,107.8675,932800
"2016-10-05",120.23,120.97,119.89,120.01,107.7329,672200
"2016-10-06",119.74,120.97,119.28,120.54,108.2087,607100
"2016-10-07",120.49,120.49,118.64,119.02,106.8441,538200
"2016-10-10",119.67,120,118.98,119.07,106.889,493800
"2016-10-11",118.48,119.14,116.5,117.16,105.1744,864300
"2016-10-12",117,117.68,116.68,117.14,105.1565,705100
"2016-10-13",116.46,117.39,116.02,117.01,105.0398,660200
"2016-10-14",117.63,117.82,116.75,116.76,104.8153,903700
"2016-10-17",116.49,116.79,116.2,116.34,104.4383,656400
"2016-10-18",117.51,117.55,116.57,116.6,104.6717,634100
"2016-10-19",116.8,117.37,116.38,116.82,104.8692,778600
"2016-10-20",116.73,116.89,115.91,116.43,104.5191,588700
"2016-10-21",116.03,116.03,115.02,115.78,103.9356,741200
"2016-10-24",116.15,116.8,116.15,116.71,104.7705,676900
"2016-10-25",116.38,116.57,115.85,115.95,104.0882,621100
"2016-10-26",115.64,115.87,115.11,115.35,103.5496,755300
"2016-10-27",115.44,115.44,114.65,114.96,103.1995,891800
"2016-10-28",115.21,116.21,114.58,115.1,103.3252,860100
"2016-10-31",115.39,115.6,114,114.17,102.4903,1523400
"2016-11-01",113.8,114.81,111.39,112.14,100.668,1673000
"2016-11-02",112.16,112.57,111.5,111.99,100.5333,919300
"2016-11-03",112.19,112.31,111.1,111.18,99.8062,943000
"2016-11-04",111.18,111.78,110.65,110.67,99.3483,1012400
"2016-11-07",111.97,113.01,111.76,112.87,101.3232,840900
"2016-11-08",112.82,114.01,112.64,113.6,101.9786,583300
"2016-11-09",111.81,115.18,111.07,114.76,103.0199,1346100
"2016-11-10",115,116.99,114.69,116.15,104.2678,1272900
"2016-11-11",115.84,116.46,115.33,115.67,103.8368,1062400
"2016-11-14",115.79,116.2,113.77,113.98,102.3197,1330000
"2016-11-15",113.98,114.28,113.5,114.14,102.4634,911900
"2016-11-16",114.13,114.84,114.05,114.78,103.0379,619000
"2016-11-17",114.64,114.88,114.12,114.83,103.0828,759500
"2016-11-18",114.65,115.27,114.09,114.28,102.589,710300
"2016-11-21",114.84,115.23,114.36,114.92,103.1636,530300
"2016-11-22",114.99,116.56,114.89,116.36,104.4563,990200
"2016-11-23",116.31,117.44,116.31,116.79,104.8422,754300
"2016-11-25",116.75,116.84,116.12,116.64,104.7076,359300
"2016-11-28",116.14,117,116.05,116.34,104.4383,1070900
"2016-11-29",116.04,116.98,115.78,116.41,104.5011,725800
"2016-11-30",116.59,117.37,116.16,116.73,104.7884,1276500
"2016-12-01",116.91,118.55,116.71,118.49,106.3683,1925500
"2016-12-02",118.43,118.74,116.41,116.89,104.932,1166000
"2016-12-05",117.35,119.05,117,118.56,106.4312,1008400
"2016-12-06",118.22,118.38,116.42,116.89,104.932,1136900
"2016-12-07",116.98,118.82,116.64,118.81,106.6556,1134300
"2016-12-08",118.85,119.76,118.42,119.61,107.3738,922600
"2016-12-09",119.52,120.51,119.15,120.5,108.1727,1121900
"2016-12-12",120.68,121.81,120.49,121.47,109.0435,833900
"2016-12-13",122,122.25,121.25,122.22,109.7168,1521400
"2016-12-14",122.18,122.28,120.83,121.05,108.6664,876600
"2016-12-15",120.66,122.09,119.75,122.04,109.5552,1199900
"2016-12-16",121.75,122,120.2,120.27,108.2946,2066000
"2016-12-19",120.58,120.86,120.11,120.57,108.5647,707700
"2016-12-20",120.91,121.19,119.99,120.42,108.4296,848000
"2016-12-21",120.38,120.56,119.35,119.37,107.4842,1105200
"2016-12-22",119.18,119.48,118.35,118.59,106.7818,942300
"2016-12-23",118.79,119.13,118.5,118.76,106.9349,815900
"2016-12-27",118.76,119.6,118.64,119.21,107.3401,457700
"2016-12-28",119.55,119.74,117.96,118,106.2506,574800
"2016-12-29",117.95,118.34,117.48,117.71,105.9895,450500
"2016-12-30",118.05,118.27,116.92,117.22,105.5483,715200
"2017-01-03",118.12,118.41,117.29,118.04,106.2866,1080600
"2017-01-04",118.25,119.12,118.01,118.79,106.9619,720000
"2017-01-05",118.42,118.76,117.7,118.61,106.7999,731500
"2017-01-06",118.7,119.57,118.31,118.92,107.079,864600
"2017-01-09",118.87,119.39,118.38,118.84,107.007,914200
"2017-01-10",118.5,119.02,117.78,117.86,106.1245,784900
"2017-01-11",117.5,118.48,117.33,118.32,106.5387,771200
"2017-01-12",117.77,118.71,117.53,118.64,106.8269,897600
"2017-01-13",118.75,119.22,118.36,118.57,106.7638,596200
