date,open,high,low,close,adjclose,volume
"2016-09-26",126,126.48,124.86,125.08,108.985,1005900
"2016-09-27",125.09,126.34,124.4,126.3,110.0481,1071400
"2016-09-28",126.7,127.9,126.24,127.37,110.9804,1078600
"2016-09-29",127.19,127.19,124.88,124.93,108.8543,1027200
"2016-09-30",125.38,125.83,124.01,125.31,109.1854,1968200
"2016-10-03",124.74,125.32,122.58,122.9,107.0856,1777200
"2016-10-04",123.22,123.95,121.71,122.44,106.6847,1598000
"2016-10-05",122.44,122.57,120.97,122.07,106.3624,1967700
"2016-10-06",122.13,122.78,121.55,122.35,106.6063,1520000
"2016-10-07",122.28,122.74,120.78,121.9,106.2142,1699200
"2016-10-10",122.34,124.94,122.34,124.8,108.7411,1363000
"2016-10-11",124.68,124.79,121.55,121.9,106.2142,1281400
"2016-10-12",122.05,122.5,120.17,120.85,105.2993,1933600
"2016-10-13",120.32,121.28,119.79,121,105.43,1606600
"2016-10-14",121.18,121.81,120.76,121.09,105.5085,1280800
"2016-10-17",120.38,120.95,117.5,118.28,103.06,3201100
"2016-10-18",120.02,123.77,119.66,123.15,107.3034,2282900
"2016-10-19",123.24,124.12,122.63,123.83,107.8959,1170200
"2016-10-20",123.78,125.57,123.35,124.03,108.0701,1238900
"2016-10-21",123.05,123.72,121.92,123.5,107.6083,1228100
"2016-10-24",124.23,124.94,123.86,124.49,108.471,851700
"2016-10-25",124.37,125.45,123.81,124.5,108.4797,941300
"2016-10-26",124.47,125.04,123.78,124.17,108.1921,1200400
"2016-10-27",124,124.59,122.74,123.49,107.5996,1351600
"2016-10-28",123.1,123.13,121.45,121.62,105.9703,1947600
"2016-10-31",122.35,123,121.44,121.86,106.1794,1303600
"2016-11-01",122.44,122.44,116.88,117.42,102.3107,2847700
"2016-11-02",117.77,123.87,114.85,122.99,107.164,3477300
"2016-11-03",123.48,124.58,119.69,120.03,104.5848,2069800
"2016-11-04",120.67,121.24,119.17,119.29,103.9401,1761700
"2016-11-07",121.03,123.93,120.35,123.49,107.5996,2221700
"2016-11-08",123.19,127.42,122.43,126.84,110.5186,1806500
"2016-11-09",120.4,129.73,118.42,128.75,112.1828,4356400
"2016-11-10",129.56,133.98,129.23,133.86,116.6352,2999400
"2016-11-11",133.55,135.01,131.38,133.68,116.4784,2669300
"2016-11-14",133.8,138.75,132.65,138.6,120.7653,2130200
"2016-11-15",140.02,142.62,136.82,138.42,120.6085,2501900
"2016-11-16",138.37,139.37,137.9,138.39,120.5824,1391500
"2016-11-17",138.45,138.72,136.89,137.88,120.1379,1505300
"2016-11-18",137.39,137.59,135,135.35,117.9335,2188600
"2016-11-21",136,137.88,135.68,137.36,119.6849,1204100
"2016-11-22",138.29,141.57,137.64,141.31,123.1266,2694900
"2016-11-23",141.48,143.66,140.34,143.62,125.1394,1694400
"2016-11-25",143.62,145.21,142.82,144.74,126.1152,1231500
"2016-11-28",144.06,145.19,142.73,143.24,124.8083,1934300
"2016-11-29",143.73,146.09,142.56,145.28,126.5857,1999600
"2016-11-30",145.51,145.51,142.04,142.53,124.1896,2535100
"2016-12-01",142.38,146.22,141.82,145.17,127.0694,2545400
"2016-12-02",145.01,147.43,144.67,145.1,127.0081,1418000
"2016-12-05",145.06,145.53,142.77,144.09,126.1241,1858900
"2016-12-06",144.44,144.92,142.91,143.55,125.6514,1019500
"2016-12-07",143.54,145.6,142.71,145.2,127.0956,1435700
"2016-12-08",145.26,147.5,143.61,146.61,128.3298,960000
"2016-12-09",147,147,144.36,145.88,127.6909,1060200
"2016-12-12",145.22,145.99,142.7,145.79,127.6121,1342900
"2016-12-13",146.41,147.25,145.07,146.58,128.3036,1075400
"2016-12-14",146.61,146.61,143.77,144.69,126.6493,1201400
"2016-12-15",145.38,145.47,143.19,143.67,125.7564,1429400
"2016-12-16",144.35,145.87,143.6,145.46,127.3233,1874800
"2016-12-19",145.81,146.98,144.32,144.88,126.8155,966500
"2016-12-20",145.5,148.26,144.94,147.66,129.249,1449300
"2016-12-21",146.91,147.48,144.15,144.98,126.9031,960500
"2016-12-22",145.24,145.46,143.86,144.58,126.553,947700
"2016-12-23",144.83,146.04,144,146.02,127.8134,428700
"2016-12-27",146.02,147.14,145.41,145.68,127.5158,361100
"2016-12-28",145.75,146.6,144.01,144.26,126.2729,950400
"2016-12-29",144.75,145.95,144.33,144.76,126.7105,571400
"2016-12-30",144.88,145.5,143.11,143.77,125.8439,1085700
"2017-01-03",144.54,144.78,140.5,143.24,125.3801,1525800
"2017-01-04",142.68,143.85,140.86,143.05,125.2137,1250500
"2017-01-05",143.03,145.89,143,144.57,126.5442,1646000
"2017-01-06",144.38,144.76,143.28,144.35,126.3517,1105600
"2017-01-09",143.24,143.74,142.46,142.79,124.9862,906700
"2017-01-10",142.39,147.49,142.04,146.34,128.0935,1637600
"2017-01-11",146.19,146.74,143.99,145.83,127.647,950400
