date,open,high,low,close,adjclose,volume
"2016-09-26",56.47,56.91,56.32,56.7,39.5477,639400
"2016-09-27",56.8,56.93,56.35,56.41,39.3454,872800
"2016-09-28",56.65,56.83,56.45,56.67,39.5268,874500
"2016-09-29",56.56,56.89,56.44,56.73,39.5686,426400
"2016-09-30",56.73,56.95,56.59,56.75,39.5826,1022800
"2016-10-03",56.72,56.86,56.6,56.72,39.5616,986600
"2016-10-04",56.68,56.83,56.46,56.74,39.5756,1032500
"2016-10-05",56.65,56.88,56.48,56.65,39.5128,671600
"2016-10-06",56.55,56.71,56.33,56.39,39.3315,487000
"2016-10-07",56.39,56.74,56.25,56.25,39.2338,478700
"2016-10-10",56.38,56.74,56.28,56.69,39.5407,223500
"2016-10-11",56.48,56.48,56.1,56.32,39.2827,534000
"2016-10-12",56.49,56.7,56.37,56.48,39.3942,597500
"2016-10-13",56.71,57.1,56.63,56.94,39.7151,1815800
"2016-10-14",56.87,57.25,56.75,57.22,39.9104,818300
"2016-10-17",57.21,57.45,57.16,57.3,39.9662,580500
"2016-10-18",57.4,57.48,57.11,57.36,40.0081,364400
"2016-10-19",57.41,57.43,57.06,57.12,39.8406,755700
"2016-10-20",57.06,57.31,56.94,56.97,39.736,1007100
"2016-10-21",56.98,57.14,56.77,56.92,39.7012,462300
"2016-10-24",57.29,57.37,57,57.16,39.8685,369800
"2016-10-25",57.05,57.18,56.84,57.08,39.8128,505800
"2016-10-26",56.96,57.15,56.92,57.06,39.7988,337600
"2016-10-27",57.05,57.24,56.81,57.07,39.8058,340500
"2016-10-28",57.07,57.23,56.93,57.04,39.7848,523300
"2016-10-31",57.17,57.38,57.11,57.32,39.9801,875100
"2016-11-01",57.25,57.33,57.02,57.05,39.7918,389100
"2016-11-02",56.95,57.34,56.88,57.03,39.7779,483200
"2016-11-03",56.94,57.28,56.84,57.05,39.7918,400900
"2016-11-04",57.15,57.37,56.59,56.6,39.478,823500
"2016-11-07",56.8,57.24,56.67,57.17,39.8755,665300
"2016-11-08",57.21,57.49,56.95,57.06,39.7988,605200
"2016-11-09",56.83,57.32,56.56,56.74,39.5756,947200
"2016-11-10",56.85,56.93,56.28,56.35,39.3036,1279900
"2016-11-11",56.32,56.82,56.32,56.67,39.5268,457800
"2016-11-14",56.67,56.96,56.45,56.81,39.6244,475800
"2016-11-15",56.77,57.27,56.77,56.9,39.6872,510000
"2016-11-16",56.94,57.25,56.59,56.73,39.5686,594300
"2016-11-17",56.88,57.06,56.69,56.71,39.5547,597500
"2016-11-18",56.7,57.14,56.66,57.01,39.7639,290400
"2016-11-21",57.09,57.35,56.93,57.12,39.8406,1075200
"2016-11-22",57.14,57.27,56.93,57,39.757,795500
"2016-11-23",56.74,57.21,56.74,56.98,39.743,531200
"2016-11-25",57.08,57.28,56.94,57.08,39.8128,559100
"2016-11-28",57.06,57.28,56.98,57.18,39.8825,1375300
"2016-11-29",57.1,57.31,57,57.11,39.8337,916800
"2016-11-30",57.08,57.18,56.84,56.96,39.729,2328400
"2016-12-01",56.76,57.01,56.4,56.75,39.5826,950700
"2016-12-02",56.72,56.88,56.26,56.41,39.3454,1034000
"2016-12-05",56.4,56.76,56.22,56.72,39.5616,443500
"2016-12-06",56.75,57.05,56.43,57.04,39.7848,714100
"2016-12-07",56.7,57.06,56.6,56.98,40.0095,1008000
"2016-12-08",57,57.26,56.77,57.25,40.1991,1404000
"2016-12-09",57.2,57.35,57.11,57.18,40.15,721600
"2016-12-12",57.1,57.27,57.09,57.25,40.1991,797300
