date,open,high,low,close,adjclose,volume
"2016-09-26",140.2095,141.95,139.4923,141.2893,120.4166,3004213
"2016-09-27",140.9992,142.917,140.5882,142.8687,121.7626,2647301
"2016-09-28",142.5222,142.8284,140.6285,141.3779,120.4921,2829728
"2016-09-29",141.3779,141.7969,140.1531,141.112,120.2654,2416723
"2016-09-30",141.4424,141.9017,140.5077,140.7575,119.9633,2406671
"2016-10-03",140.0967,140.7816,139.6293,140.4512,119.7023,1803918
"2016-10-04",140.7897,141.112,139.2909,139.8872,119.2216,1852441
"2016-10-05",140.9267,141.2248,140.0806,140.419,119.6748,1492427
"2016-10-06",140.4754,140.4754,138.9283,139.4762,118.8713,1564156
"2016-10-07",139.0975,139.5971,138.3723,139.4118,118.8164,1759986
"2016-10-10",139.6777,140.6849,139.5165,140.3787,119.6405,1516006
"2016-10-11",140.0484,140.282,139.444,140.274,119.5512,1814466
"2016-10-12",140.3062,140.6044,139.4601,139.8388,119.1803,1555345
"2016-10-13",138.6946,138.7591,136.7123,137.7518,117.4017,1778105
"2016-10-14",138.8316,139.3151,137.6873,137.776,117.4223,997268
"2016-10-17",137.7438,138.0903,137.1636,137.6632,117.3261,1304912
"2016-10-18",138.6704,138.9928,137.3973,137.5826,117.2574,1117272
"2016-10-19",137.8082,137.9371,136.6479,137.357,117.0651,1348719
"2016-10-20",137.3167,137.4859,136.5673,136.7446,116.5432,1037476
"2016-10-21",135.5278,137.1878,135.3747,137.1475,116.8866,1147553
"2016-10-24",138.0419,138.9928,137.228,138.6624,118.1777,2293740
"2016-10-25",138.0661,138.9605,138.0016,138.5415,118.0747,1405681
"2016-10-26",137.7599,140.4029,137.3973,139.8791,119.2147,2199921
"2016-10-27",140.7655,141.1926,139.1942,140.5318,119.771,1861128
"2016-10-28",140.6688,142.1031,139.726,140.411,119.668,1864851
"2016-10-31",141.1281,141.9178,140.4029,140.4674,119.716,1232189
"2016-11-01",140.411,140.4754,137.1152,138.2192,117.8,2426900
"2016-11-02",138.5979,139.7824,138.2756,138.9041,118.3838,1808509
"2016-11-03",139.17,139.9758,138.6865,139.9275,119.2559,1569865
"2016-11-04",139.726,141.6035,139.2909,140.8542,120.0457,1934471
"2016-11-07",142.506,145.6003,142.506,145.0604,123.6306,3042808
"2016-11-08",144.4641,147.2845,144.1096,146.0999,124.5165,2497388
"2016-11-09",143.8759,146.9782,142.1757,145.9871,124.4203,3566882
"2016-11-10",146.6559,149.0733,146.0355,147.921,126.0685,2851818
"2016-11-11",147.4617,148.9847,146.7446,148.0177,126.151,1936456
"2016-11-14",148.6704,150.3062,147.8324,150.0081,127.8473,2690612
"2016-11-15",149.6938,149.7421,147.4456,149.3876,127.3185,1795727
"2016-11-16",148.9847,149.8791,147.2603,148.1225,126.2403,1566390
"2016-11-17",148.3723,149.3473,147.8324,149.1378,127.1056,1156364
"2016-11-18",148.8396,150.9509,148.2514,150.9186,128.6233,1655990
"2016-11-21",150.9509,151.6922,150.4754,151.6116,129.214,1607467
"2016-11-22",151.8936,151.8936,151.1281,151.5552,129.1658,1442042
"2016-11-23",152.0951,153.336,151.531,153.199,130.5669,1093073
"2016-11-25",153.6019,154.585,153.5858,154.3352,131.5352,810621
"2016-11-28",153.5697,154.029,152.6914,153.1265,130.5051,2167531
"2016-11-29",153.1023,154.1902,153.1023,153.3602,130.7042,1337426
"2016-11-30",154.311,155.1813,153.7309,154.448,131.6314,1903198
"2016-12-01",154.7139,156.2289,154.7139,154.8671,131.9885,2193592
"2016-12-02",154.7945,156.0435,154.7945,155.3586,132.4073,1914739
"2016-12-05",156.0838,157.091,155.5197,156.7284,133.5749,1749562
"2016-12-06",156.6156,156.6962,154.3916,155.7857,132.7714,1536730
"2016-12-07",155.7776,158.5173,154.9396,158.3562,134.9621,2340650
"2016-12-08",158.5415,158.9847,156.0032,158.7994,135.6159,3662936
"2016-12-09",158.1708,158.7349,157.2361,158.4206,135.2924,2429133
"2016-12-12",157.8324,159.7421,157.6954,159.2587,136.0081,1790391
"2016-12-13",160.0806,162.4255,159.1458,161.9823,138.3341,2777234
"2016-12-14",161.7889,161.9662,159.2345,159.4843,136.2008,3143701
"2016-12-15",159.3312,160.975,158.9605,159.4843,136.2008,1509428
"2016-12-16",160.2095,160.6446,157.494,158.3239,135.2099,4454694
"2016-12-19",158.477,159.6052,157.7357,159.2425,135.9944,1859142
"2016-12-20",160.2901,160.7494,158.3803,160.1451,136.7651,3807388
"2016-12-21",156.7284,157.913,154.7462,154.8106,132.2095,7949846
"2016-12-22",154.9073,155.0846,153.7309,153.8195,131.363,2519354
"2016-12-23",154.2949,155.5359,153.755,154.6011,132.0306,2081653
"2016-12-27",154.6898,155.141,153.5133,153.5455,131.1291,1199427
"2016-12-28",153.7711,154.3674,151.5069,151.8533,129.6839,1930251
"2016-12-29",152.1757,152.8122,150.2176,150.6446,128.6517,1604737
"2016-12-30",151.3296,151.4585,149.6213,150.0403,128.1356,1642091
"2017-01-03",150.3384,152.8364,150.3384,151.249,129.1678,2120124
"2017-01-04",151.8936,152.6189,150.975,152.0629,129.8629,1601262
"2017-01-05",152.0629,153.4005,151.4504,151.8211,129.6564,1498880
"2017-01-06",151.5794,154.5044,151.4102,153.3038,130.9226,2058074
"2017-01-09",152.7639,153.5294,152.3046,152.8525,130.5373,1587487
"2017-01-10",152.3449,153.0218,151.7728,151.8292,129.6633,1685402
"2017-01-11",151.6922,152.6511,151.4907,152.4899,130.2276,1297217
"2017-01-12",152.0226,152.1918,150.1531,150.9911,128.9476,1461774
"2017-01-13",151.3215,152.0548,150.4271,150.693,128.693,1415485
"2017-01-17",149.9758,150.4754,148.6221,149.9194,128.0323,1667656
"2017-01-18",150.2337,151.4746,149.6777,150.8703,128.8444,1120623
"2017-01-19",150.9025,151.5713,149.6213,150.0161,128.1149,1317073
"2017-01-20",149.8952,150.6849,148.5657,149.6616,127.8121,2721389
"2017-01-23",149.726,150.4512,148.5093,149.444,127.6263,1328491
"2017-01-24",149.4843,154.7059,149.4843,154.3997,131.8586,2653879
"2017-01-25",154.3916,156.3417,153.5939,155.4794,132.7807,2242487
"2017-01-26",154.9637,155.4714,154.021,155.1813,132.526,1324892
"2017-01-27",155.3344,158.2756,154.5528,157.8727,134.8245,2471327
"2017-01-30",157.5181,157.5181,154.0532,155.7212,132.9871,2859388
"2017-01-31",153.328,153.4891,150.0081,152.3852,130.1381,3663804
"2017-02-01",152.5222,152.5383,148.8396,150.0967,128.1837,2576440
"2017-02-02",149.9758,150.6205,148.1628,148.7591,127.0414,1814218
"2017-02-03",149.9516,152.2482,149.3876,151.66,129.5188,1683168
"2017-02-06",153.4488,153.7067,151.2732,151.6519,129.5119,1678453
"2017-02-07",151.6519,152.0306,150.838,151.5069,129.388,1437699
"2017-02-08",151.2893,151.7164,150.5318,151.4585,129.3467,1185900
"2017-02-09",151.4585,153.199,151.3537,151.95,129.7665,1672620
"2017-02-10",152.1193,153.9081,151.7405,153.7953,131.3423,1474680
"2017-02-13",153.9484,155.6406,153.61,155.1732,132.5192,1325760
"2017-02-14",154.7865,155.5761,154.1741,155.0846,132.4434,1173117
"2017-02-15",155.3344,156.9621,154.8912,156.8654,133.9643,1624097
"2017-02-16",156.6317,156.9057,154.8429,155.8018,133.056,1419456
