date,open,high,low,close,adjclose,volume
"2022-12-15",63,63,60,60,59.6446,1318200
"2022-12-16",60,60,55,56.74,56.4039,2307500
"2022-12-19",53,58.99,53,56.5,56.1653,117200
"2022-12-20",58,58,56.76,57.21,56.8711,22200
"2022-12-21",59,66.28,55.5,56.96,56.6226,290700
"2022-12-22",58.43,61.019,57,57.6,57.2588,3253200
"2022-12-23",58.09,60.646,57,57.5,57.1594,125800
"2022-12-27",57.98,58.99,57.375,57.45,57.1097,26500
"2022-12-28",57.93,58,57,57.5,57.1594,514800
"2022-12-29",58.5,58.78,57.75,58,57.6564,374800
"2022-12-30",58.74,59,57.73,58.38,58.0342,351100
"2023-01-03",60.68,60.68,55.87,56,55.6683,1794100
"2023-01-04",54.13,60.71,53.5,60.49,60.1317,33338500
"2023-01-05",60.64,62.98,58.14,59,58.6505,8850600
"2023-01-06",59.68,59.94,57.87,58.95,58.6008,5902600
"2023-01-09",58.79,59.98,57.73,58.1,57.7558,5288900
"2023-01-10",59.15,60.06,58.055,60,59.6446,6663000
"2023-01-11",60.44,66.38,60.075,64.99,64.605,9219400
"2023-01-12",66.09,66.52,63.66,65.65,65.2611,5819800
"2023-01-13",65,65.5,63.74,65.44,65.0524,3772100
"2023-01-17",63.94,65.73,63.26,63.33,62.9549,3774600
"2023-01-18",63.2,63.5,61.99,62.08,61.7123,2610300
"2023-01-19",61.33,64.5,61.3,63.94,63.5612,2585600
"2023-01-20",63.96,67.82,63.54,66.77,66.3745,4001600
"2023-01-23",67.35,69.91,66.778,69.52,69.1082,3724100
"2023-01-24",69.03,70.63,68.71,69.6,69.1877,2591000
"2023-01-25",68.46,69.7,66.95,68.71,68.303,2802100
"2023-01-26",68.51,69.45,67.8,69.22,68.81,2075900
"2023-01-27",68.86,70.51,68.36,70.08,69.6649,2810600
"2023-01-30",68.41,73.95,67.92,71.5,71.0764,4259900
"2023-01-31",71.01,71.115,68.5,69.52,69.1082,3084300
"2023-02-01",69,70.74,67.53,70.01,69.5953,2698700
"2023-02-02",69.59,71.89,69,70.65,70.2315,2776000
"2023-02-03",69.63,70.63,69.1,70.55,70.1321,3074900
"2023-02-06",69.91,72.35,69.54,71.86,71.4343,2227400
"2023-02-07",71.58,72.2,71.1,71.63,71.2057,1932300
"2023-02-08",71.21,71.42,70.02,70.17,69.7543,1111900
"2023-02-09",70.25,70.98,68.21,68.41,68.0048,1186000
"2023-02-10",68.2,69.54,68.19,69.24,68.8298,1968100
"2023-02-13",68.52,69.87,67.91,69.43,69.0187,2223200
"2023-02-14",68.95,73.17,68.714,72.61,72.1799,3036000
"2023-02-15",72.7,73.54,71.72,72.32,71.8916,1773000
"2023-02-16",71.6,71.82,70.34,70.91,70.49,1829400
"2023-02-17",70.97,73.48,70.89,73.17,72.7366,2408600
"2023-02-21",72.62,73.1,72.25,72.47,72.0407,1835500
"2023-02-22",72.27,73,70.843,71.94,71.5139,2010200
"2023-02-23",72.44,76.21,72.283,75.9,75.4504,3763200
"2023-02-24",74.84,75.77,74.22,75.01,74.5657,2102900
"2023-02-27",75,76.98,74.57,76.04,75.5896,2139600
"2023-02-28",76.04,76.34,75.3,76,75.5498,3511800
"2023-03-01",75.37,75.74,75.01,75.3,74.8539,2534300
"2023-03-02",74.79,75.47,74.5,75.04,74.5955,1391900
"2023-03-03",75.53,76.9,75.12,76.37,75.9176,2082700
"2023-03-06",75.91,77.16,75.7,76.68,76.2258,1874100
"2023-03-07",76.36,76.835,75.93,76.25,75.7983,1709400
"2023-03-08",76.25,77.4,76.102,76.63,76.1761,1641300
"2023-03-09",77,77.4,75.9,76.38,75.9276,1683800
"2023-03-10",75.88,76.53,74.5,74.97,74.5259,3388600
"2023-03-13",74.95,77.48,74.04,76.24,75.7884,2272100
"2023-03-14",76.69,78.76,76.35,77.14,76.683,1992300
"2023-03-15",75.93,76.81,75.59,76.76,76.3053,2326200
"2023-03-16",75.96,77.45,75.75,76.62,76.1661,1624600
"2023-03-17",76.86,77.54,75.43,75.84,75.3907,5803300
"2023-03-20",75.49,75.81,74.51,75.2,74.7545,1714100
"2023-03-21",75.65,76.68,75.5,76.52,76.0667,1401600
"2023-03-22",76.86,77.05,74.71,74.77,74.3271,1549800
"2023-03-23",75.41,76.71,74.87,75.71,75.2615,1393700
"2023-03-24",75.26,76.49,74.89,76.46,76.0071,1154800
"2023-03-27",76.82,77.46,76.265,76.38,75.9276,1196600
"2023-03-28",76.38,76.94,76.15,76.9,76.4445,760800
"2023-03-29",77.36,79.47,77.06,79.24,78.7706,1786000
"2023-03-30",79.78,82.289,79.5,82.14,81.6534,2188900
"2023-03-31",82.25,82.59,81.58,82.03,81.5441,1916200
"2023-04-03",82,82.62,81.47,81.81,81.3254,1913100
"2023-04-04",82,82.16,81.47,81.59,81.1067,1552700
"2023-04-05",81.5,81.8,80.65,81.12,80.6395,1410600
"2023-04-06",80.97,81.06,80.09,80.16,79.6852,1356700
"2023-04-10",79.93,80.63,79.7,80.59,80.1126,1579200
"2023-04-11",80.59,80.685,79.96,80.59,80.1126,1167000
"2023-04-12",81.005,81.9,80.607,81.75,81.2657,1232000
"2023-04-13",81.65,83.172,81.38,82.94,82.4487,1252800
"2023-04-14",82.45,83.28,81.98,82.37,81.8821,1163600
"2023-04-17",82.17,83.24,82,82.72,82.23,861000
"2023-04-18",82.79,84.16,82.79,83.66,83.1644,1522000
"2023-04-19",83.79,86.88,83.75,85.75,85.242,2422900
"2023-04-20",85.37,86.32,84.68,85,84.4965,1634900
"2023-04-21",85.2,86.515,85.09,86.48,85.9677,1850600
"2023-04-24",86.6,87.83,86.18,87.79,87.27,2692800
