date,open,high,low,close,adjclose,volume
"2016-09-26",74.93,76.04,74.7,75.62,71.2123,949500
"2016-09-27",75.72,76.21,75.32,76.08,71.6455,675500
"2016-09-28",76.06,76.85,75.41,76.78,72.3047,540900
"2016-09-29",76.7,77.05,75.94,76.09,71.655,804300
"2016-09-30",76.43,77.14,75.92,76.76,72.2859,1329600
"2016-10-03",76.4,77.33,76.38,77.12,72.6249,1008400
"2016-10-04",77.18,77.68,76.15,76.44,71.9845,1813800
"2016-10-05",78.51,79.24,76.55,79.04,74.433,2975200
"2016-10-06",78.92,79.09,77.49,78.98,74.3765,1406200
"2016-10-07",78.98,79,75.18,76.01,71.5796,2157800
"2016-10-10",76.16,77.08,75.49,75.6,71.1935,1242700
"2016-10-11",75.6,75.6,73.12,73.7,69.4043,1598300
"2016-10-12",73.65,74.17,73.06,73.81,69.5078,1082500
"2016-10-13",73.22,73.68,72.14,73.35,69.0747,919400
"2016-10-14",73.83,74.4,73.01,73.04,68.7827,927100
"2016-10-17",72.84,73.47,72.84,73.01,68.7545,684300
"2016-10-18",73.95,74.69,73.41,74.21,69.8845,766400
"2016-10-19",74.25,74.52,74.15,74.37,70.0352,652100
"2016-10-20",74.26,74.44,73.51,73.59,69.3007,888300
"2016-10-21",73.03,73.12,72.53,72.88,68.632,933800
"2016-10-24",73.45,74.26,73.41,74.06,69.7433,886500
"2016-10-25",74.06,74.06,72.78,73.27,68.9993,645600
"2016-10-26",72.89,74.76,72.89,73.66,69.3666,850800
"2016-10-27",73.91,74.33,72.39,72.47,68.246,703700
"2016-10-28",72.58,73.72,72.37,72.59,68.359,953000
"2016-10-31",72.9,73.15,72.28,72.52,68.293,847400
"2016-11-01",72.88,73.18,71.05,71.75,67.5679,1137600
"2016-11-02",71.55,71.79,70.55,70.63,66.5132,925000
"2016-11-03",70.91,70.91,70.2,70.48,66.3719,741200
"2016-11-04",71.25,71.89,70.6,70.81,66.6827,1129200
"2016-11-07",72.09,72.12,71.32,71.82,67.6339,1044900
"2016-11-08",71.5,72.91,71.08,72.63,68.4061,969000
"2016-11-09",70.43,72.95,70.43,72.81,68.5757,1104800
"2016-11-10",73.22,73.58,70.14,70.93,66.805,1750900
"2016-11-11",70.79,71.01,69.41,69.49,65.4488,1643400
"2016-11-14",69.74,69.99,66.24,66.57,62.6985,3170000
"2016-11-15",65.3,69.01,64.63,68.05,64.0925,3117100
"2016-11-16",67.99,70.05,67.95,69.94,65.8726,1912100
"2016-11-17",70.33,70.49,69.18,69.76,65.703,1119500
"2016-11-18",69.93,70.84,69.65,70.71,66.5978,1236000
"2016-11-21",70.94,72.06,70.79,71.99,67.8033,1126800
"2016-11-22",71.97,72.24,70.76,71.72,67.5491,876500
"2016-11-23",71.46,72.14,71.09,72.09,67.8976,865400
"2016-11-25",71.93,72.17,71.84,72.09,67.8976,227900
"2016-11-28",72.14,72.34,71.44,71.54,67.3795,1110700
"2016-11-29",71.6,71.78,70.45,70.59,66.4848,1119200
"2016-11-30",70.96,71.11,68.55,68.55,64.5634,1452200
"2016-12-01",68.9,68.94,65.91,66.42,62.5573,2428700
"2016-12-02",66.39,68.25,66.08,68.13,64.1678,1684600
"2016-12-05",68.53,70.05,68.53,69.73,65.6748,1686500
"2016-12-06",70.13,70.31,69.22,69.9,65.8349,1416600
"2016-12-07",70.2,70.98,69.28,70.87,66.7485,1064400
"2016-12-08",70.78,71.86,70.14,71.78,67.6056,961500
"2016-12-09",71.67,72.24,71.46,72.19,67.9917,1174200
"2016-12-12",71.71,72.62,71.02,71.24,67.097,1096000
"2016-12-13",71.51,72.49,71.51,71.85,67.6715,1045700
"2016-12-14",71.85,72.17,71.18,71.46,67.3042,1102100
"2016-12-15",71.22,72.09,70.6,70.63,66.5225,1085300
"2016-12-16",70.92,70.92,69.97,70.29,66.2022,1741900
"2016-12-19",70.47,71.4,70.47,70.78,66.6637,958100
"2016-12-20",71.37,71.63,70.92,71.42,67.2665,1097000
"2016-12-21",71.54,71.71,70.48,70.87,66.7485,931500
"2016-12-22",70.77,70.77,69.77,70.03,65.9574,705200
"2016-12-23",70.2,70.42,69.91,70.3,66.2117,600900
"2016-12-27",70.49,70.84,70.22,70.73,66.6167,496700
"2016-12-28",70.72,70.85,69.33,69.67,65.6183,894400
"2016-12-29",69.8,69.95,69.17,69.82,65.7596,1022300
"2016-12-30",69.9,69.93,68.98,69.41,65.3734,941100
"2017-01-03",69.98,70.95,69.04,70.5,66.4,1640300
"2017-01-04",70.69,73.13,70.44,73.13,68.8771,1769700
"2017-01-05",72.77,73.94,72.77,73.42,69.1502,1741400
"2017-01-06",73.55,74.61,73.22,74.45,70.1203,1581600
"2017-01-09",78.4,80.88,78.06,79.79,75.1498,3860200
"2017-01-10",80.26,80.45,77.86,77.88,73.3508,2196700
"2017-01-11",77.33,78.41,77.21,78.23,73.6805,1330000
"2017-01-12",77.81,77.96,76.72,77.6,73.0871,1660300
"2017-01-13",77.47,78.08,77.24,77.74,73.219,1104700
"2017-01-17",77.35,78.13,77.18,78.04,73.5015,1204600
"2017-01-18",78.28,79.36,78.14,78.62,74.0478,1759800
"2017-01-19",79.16,79.62,78.75,79.39,74.773,2011900
"2017-01-20",79.47,79.84,78.76,79.08,74.481,1443000
"2017-01-23",78.87,79.07,77.81,78.39,73.8312,1192600
"2017-01-24",78.39,79.1,78.24,79.03,74.434,953900
"2017-01-25",79.28,79.54,77.97,78.28,73.7276,1260300
"2017-01-26",77.7,78.03,76.71,76.8,72.3336,1292700
"2017-01-27",77.58,77.98,76.86,77.44,72.9364,1222900
"2017-01-30",77.1,77.89,75.88,77.81,73.2849,1287600
"2017-01-31",77.71,77.71,76.65,77.28,72.7857,790500
"2017-02-01",77.59,77.85,76.44,77.05,72.5691,1188600
"2017-02-02",76.63,77.1,76.03,76.72,72.2583,1062600
"2017-02-03",77.29,79.29,77.14,78.6,74.0289,2023500
"2017-02-06",78.05,78.5,77.62,78.18,73.6334,931400
"2017-02-07",78.13,79.38,77.85,78.7,74.1231,1376200
"2017-02-08",78.54,79.78,78.06,79.07,74.4811,1002500
"2017-02-09",78.97,79.33,78.11,78.62,74.0572,1103500
"2017-02-10",78.47,78.99,78.25,78.47,73.9159,947600
"2017-02-13",78.83,78.91,78.22,78.22,73.6804,767700
"2017-02-14",78.15,79.3,77.97,79.21,74.613,858100
"2017-02-15",78.8,79.03,78.35,78.96,74.3775,647100
"2017-02-16",78.9,79.03,77.51,77.67,73.1623,822000
"2017-02-17",77.6,77.97,76.88,77.95,73.4261,1752200
"2017-02-21",78.07,79.08,78.03,78.85,74.2738,903300
"2017-02-22",78.78,79.3,78.29,78.7,74.1326,920900
"2017-02-23",79.09,79.09,77.6,78.21,73.671,1291500
"2017-02-24",77.98,78.97,77.38,78.97,74.3869,1145800
"2017-02-27",79.21,80,79.13,79.9,75.2629,1463900
"2017-02-28",79.6,80.42,79.15,79.69,75.0651,1982900
"2017-03-01",80.42,81,79.32,79.45,74.839,2212700
"2017-03-02",79.22,79.27,78.07,78.27,73.7275,1257700
"2017-03-03",78.33,80.96,78.26,80.61,75.9317,2220600
"2017-03-06",80.36,80.51,79.18,80.21,75.5549,1363800
"2017-03-07",80.08,81.56,79.91,80.89,76.1955,1773800
"2017-03-08",80.9,81.26,80.23,80.27,75.6115,1165000
"2017-03-09",80.29,80.65,79.19,79.67,75.0463,937100
"2017-03-10",79.75,80.28,78.79,79.14,74.547,1306900
"2017-03-13",79.05,79.78,78.88,79.67,75.0463,734300
"2017-03-14",79.63,80,78.8,79.07,74.4811,597400
"2017-03-15",79.33,79.33,78.15,78.73,74.1608,1400700
"2017-03-16",78.84,79.71,78.54,79.7,75.0745,1018900
"2017-03-17",79.93,80.27,79.62,80.03,75.3854,1107400
"2017-03-20",80.03,80.03,79.25,79.38,74.7731,867500
"2017-03-21",79.78,79.83,78.17,78.25,73.7087,997100
"2017-03-22",78.29,79.33,78.21,79.07,74.4811,597700
"2017-03-23",78.82,79.84,78.59,78.94,74.3586,1014500
"2017-03-24",79.26,79.47,78.27,78.42,73.8688,1567900
"2017-03-27",77.71,78.39,77.31,78.12,73.5862,1366000
"2017-03-28",78.11,79.11,77.68,78.75,74.1797,1079800
"2017-03-29",78.75,79.19,78.47,78.83,74.255,858700
"2017-03-30",80.06,81.63,79.31,80.7,76.0165,2143200
"2017-03-31",80.1,81.1,80.09,80.68,75.9977,1357900
"2017-04-03",80.86,80.93,79.09,79.33,74.726,1404400
"2017-04-04",78.95,79.32,78.01,78.35,73.8029,1299900
"2017-04-05",78.41,78.9,77.56,77.75,73.2377,864400
"2017-04-06",77.67,78.4,77.49,78.09,73.558,687200
"2017-04-07",77.99,78.47,77.73,77.93,73.4073,626900
"2017-04-10",77.8,78.34,77.46,77.5,73.0022,756600
"2017-04-11",77.5,77.69,76.6,77.69,73.1812,926200
"2017-04-12",77.76,77.97,76.47,77.51,73.0116,703300
"2017-04-13",77.19,78.38,77.03,77.54,73.0399,1065000
"2017-04-17",77.64,78.6,77.64,78.58,74.0195,700000
"2017-04-18",78.21,79.07,78.17,79,74.4151,692800
"2017-04-19",78.97,79.53,78.77,78.95,74.368,832700
"2017-04-20",79.26,81.08,78.81,80.99,76.2896,1658100
"2017-04-21",80.99,81.71,80.27,80.86,76.1672,1603100
"2017-04-24",81.57,81.89,80.98,81.39,76.6665,1172500
"2017-04-25",81.55,82.37,81.18,81.98,77.2222,1282800
"2017-04-26",81.98,82.01,81.06,81.42,76.6947,923500
