date,open,high,low,close,adjclose,volume
"2016-09-26",163.83,163.97,161,161.48,131.3107,2772200
"2016-09-27",160.72,163.45,159.82,162.89,132.4573,2602700
"2016-09-28",163.34,163.79,161.68,163.45,132.9126,1678100
"2016-09-29",163.38,163.96,157.77,158.95,129.2534,3733800
"2016-09-30",159.95,162.41,157.8,161.27,131.14,4497200
"2016-10-03",160.5,161.72,160.25,161.07,130.9774,2444700
"2016-10-04",161.24,164.15,161.23,162.27,131.9532,2469900
"2016-10-05",163.32,166.57,163.01,166.4,135.3115,2548200
"2016-10-06",167.18,167.29,164.82,167.15,135.9214,2858000
"2016-10-07",167.5,169.98,166.24,169.83,138.1007,3390200
"2016-10-10",170.52,171.75,170.1,171.04,139.0847,2532000
"2016-10-11",169.84,170.87,167.91,169.04,137.4583,2680000
"2016-10-12",169.04,169.99,168.3,169.3,137.6698,2404000
"2016-10-13",167.6,167.63,165.51,167.42,136.1409,2713700
"2016-10-14",171.6,172.95,169.11,170.52,138.6618,5282300
"2016-10-17",170.5,171.27,168.45,169,137.4257,3061400
"2016-10-18",172.01,173.47,171.1,172.63,140.3776,4482500
"2016-10-19",173.37,175.68,173.18,174.51,141.9063,3676000
"2016-10-20",174,175.79,173.8,174.51,141.9063,2471100
"2016-10-21",172.84,174.9,172.51,174.67,142.0364,2004400
"2016-10-24",175.5,175.79,174.35,175.12,142.4023,1943200
"2016-10-25",175.04,175.96,174.64,175.55,142.7521,2423300
"2016-10-26",174.79,177.9,173.93,177.07,143.9881,2533800
"2016-10-27",178.19,178.85,176.57,177.75,144.541,3021900
"2016-10-28",178.51,178.51,175.46,177.14,144.045,2042800
"2016-10-31",177.68,178.5,177.23,178.24,144.9395,1828200
"2016-11-01",179,179.18,176.61,178.06,144.7931,2900600
"2016-11-02",177.07,177.5,176.07,176.58,143.5896,2104800
"2016-11-03",176.77,177.97,176.21,176.21,143.2887,1972700
"2016-11-04",176.33,177.34,174.73,175.92,143.0529,1846500
"2016-11-07",179,181.5,179,181.48,147.5741,3338800
"2016-11-08",180.11,182.68,178.46,181.92,147.9319,2646200
"2016-11-09",185,193.54,183.45,192.63,156.641,7823800
"2016-11-10",194.53,204.67,194,200.87,163.3415,11345400
"2016-11-11",198.25,205,198.25,203.94,165.838,6290200
"2016-11-14",204.15,211.77,204.15,209.18,170.099,8248100
"2016-11-15",206.56,211.2,205.17,211.19,171.7334,4893800
"2016-11-16",207.35,208.08,204.83,206.26,167.7245,5276200
"2016-11-17",206.26,209.69,205.67,209.63,170.4649,3572400
"2016-11-18",209.87,212.07,209.72,210.35,171.0504,4278200
"2016-11-21",211.46,211.69,209.18,211.08,171.644,2860200
"2016-11-22",211.36,211.95,209.89,211.11,171.6684,2945700
"2016-11-23",211.5,213.41,209.37,212.31,172.6442,3717400
"2016-11-25",211.36,212.75,211,211.38,171.8879,1974000
"2016-11-28",210,211.76,209.6,210.35,171.0504,3297400
"2016-11-29",209.99,212.92,209.92,211.75,172.7225,2577600
"2016-11-30",215.2,220.77,214.97,219.29,178.8729,6507900
"2016-12-01",220.93,227.16,220.35,226.63,184.86,7606500
"2016-12-02",226,226.25,221.22,223.36,182.1927,5297400
"2016-12-05",225.52,229.2,225.24,228.55,186.4261,4599300
"2016-12-06",230.18,232.67,227.9,231.38,188.7346,5259300
"2016-12-07",230.4,236.09,230.4,235.56,192.1441,6595200
"2016-12-08",236.88,242.42,236,241.45,196.9486,7343700
"2016-12-09",240.61,242,238.88,241.85,197.2748,5456000
"2016-12-12",240.5,242.83,236.37,237.17,193.4574,5022000
"2016-12-13",239,240.18,235.51,238.55,194.583,4680500
"2016-12-14",235.67,243.12,235.37,239.93,195.7087,6172400
"2016-12-15",242.49,245.57,241.62,243,198.2129,4829700
"2016-12-16",242.8,243.19,238.4,238.9,194.8685,6876400
"2016-12-19",238.34,239.74,236.26,239.07,195.0072,3743300
"2016-12-20",240.52,243.65,240.23,243.09,198.2863,4487700
"2016-12-21",242.24,242.4,240.08,241.44,196.9404,3277800
"2016-12-22",241.23,242.86,239.55,240.12,195.8636,2636500
"2016-12-23",239.54,241.9,238.91,240.97,196.557,2187500
"2016-12-27",241.95,242.59,240.4,241.56,197.0382,1998200
"2016-12-28",243.69,244.5,240.44,240.65,196.296,3053000
"2016-12-29",240.75,241.07,236.64,238.18,194.2812,2619000
"2016-12-30",238.51,240.5,237.4,239.45,195.3172,2355500
