date,open,high,low,close,adjclose,volume
"2016-09-26",41.98,42.31,41.18,41.38,34.1046,9322500
"2016-09-27",40.92,41.09,40.12,40.95,33.7502,11842900
"2016-09-28",41.11,42.96,40.45,42.79,35.2667,12551900
"2016-09-29",42.89,44.73,42.89,44.18,36.4123,15139000
"2016-09-30",44.54,45.08,44.07,44.88,36.9892,9195300
"2016-10-03",45.11,45.19,44.54,44.9,37.0057,6221400
"2016-10-04",44.91,45,44.23,44.59,36.7502,5035900
"2016-10-05",45.2,46.07,44.94,45.72,37.6815,7529500
"2016-10-06",46.04,46.4,45.55,46.37,38.2173,7624000
"2016-10-07",46.38,46.85,45.98,46.26,38.1266,7014500
"2016-10-10",46.79,47.64,46.76,47.26,38.9508,8799400
"2016-10-11",46.91,47.17,46.29,46.64,38.4398,9505000
"2016-10-12",46.64,47.18,46.25,46.96,38.7035,7565500
"2016-10-13",46.38,47.96,46.12,47.02,38.753,7327900
"2016-10-14",47.46,47.83,46.84,46.97,38.7118,7353400
"2016-10-17",46.95,47.35,45.98,46.32,38.176,8169300
"2016-10-18",46.97,47.28,46.3,47.07,38.7942,9834100
"2016-10-19",47.7,50.23,47.7,49.07,40.4425,19236500
"2016-10-20",48.89,49.51,48.43,48.75,40.1788,8613000
"2016-10-21",48.36,48.78,48.09,48.43,39.9151,6659000
"2016-10-24",48.54,48.69,47.76,48.24,39.7585,7399100
"2016-10-25",48.22,48.84,47.57,47.77,39.3711,7760200
"2016-10-26",47.21,48.5,46.85,47.62,39.2475,8619700
"2016-10-27",47.9,48.25,47.5,47.55,39.1898,6001200
"2016-10-28",47.6,47.8,46.06,46.58,38.3903,10411000
"2016-10-31",46.42,46.68,45.91,46,37.9123,7931200
"2016-11-01",46.37,46.68,45.36,46.23,38.1019,6869900
"2016-11-02",45.51,46.22,45.08,45.93,37.8546,8158100
"2016-11-03",45.94,46.61,45.84,46.58,38.3903,7378000
"2016-11-04",46.46,46.84,45.75,46.38,38.2255,7031600
"2016-11-07",46.81,47.46,46.81,47.44,39.0991,5504400
"2016-11-08",47.08,47.7,46.91,47.12,38.8354,5320300
"2016-11-09",47.46,48.25,47.12,47.82,39.4123,12189800
"2016-11-10",47.69,48.99,47.57,48.81,40.2283,11520000
"2016-11-11",48.35,48.61,47.21,48.01,39.5689,7635100
"2016-11-14",47.61,48.54,47.34,48.14,39.676,8395500
"2016-11-15",48.52,49.9,48.5,49.76,41.0112,11770300
"2016-11-16",49.33,49.69,48.58,48.76,40.187,7835200
"2016-11-17",49.38,49.78,48.22,48.6,40.0552,7953800
"2016-11-18",48.86,49.49,48.76,49.31,40.6404,6663000
"2016-11-21",50.04,50.45,49.71,50.1,41.2915,8011200
"2016-11-22",50.43,50.49,49.07,49.84,41.0772,7699500
"2016-11-23",49.42,50.01,49.35,49.47,40.7722,3979200
"2016-11-25",49.27,49.52,48.91,49.51,40.8052,2736300
"2016-11-28",49.64,49.73,48.68,48.8,40.22,6968500
"2016-11-29",47.79,48.49,47.06,47.79,39.3876,12332000
"2016-11-30",47.79,54.92,47.79,53.09,43.7557,32232000
"2016-12-01",54.08,54.8,53.19,53.24,43.8794,11775300
"2016-12-02",53.25,54.52,53.11,54.17,44.6459,7174900
"2016-12-05",54.38,54.74,53.72,53.9,44.5714,9235300
"2016-12-06",53.25,54.27,52.91,54.02,44.6707,9056100
"2016-12-07",54.02,54.5,52.89,53.54,44.2737,8987100
"2016-12-08",53.76,54.49,53.33,54.43,45.0097,9037500
"2016-12-09",54.5,54.51,53.77,54.2,44.8195,6003100
"2016-12-12",55.05,56.08,54.36,54.49,45.0593,10575100
"2016-12-13",54.59,55.56,54.27,54.9,45.3984,8600700
"2016-12-14",54.23,54.56,53.41,53.51,44.2489,9068000
"2016-12-15",53.51,54.02,53.13,53.79,44.4805,8359300
