date,open,high,low,close,adjclose,volume
"2016-09-26",75.77,75.98,74.48,74.91,69.2628,2991700
"2016-09-27",74.88,75.37,74.64,75.13,69.4662,1833000
"2016-09-28",75.3,75.63,74.37,75.43,69.7436,2171100
"2016-09-29",75.39,76.04,74.67,75.26,69.5864,2452200
"2016-09-30",75.52,75.89,74.74,75.63,69.9285,2572600
"2016-10-03",75.17,75.2,74.04,74.55,68.9299,1961000
"2016-10-04",74.63,75.16,74.06,74.5,68.8837,1905200
"2016-10-05",74.67,75.11,74.55,74.74,69.1056,1306400
"2016-10-06",74.66,74.87,74.11,74.6,68.9762,1790800
"2016-10-07",74.68,75.38,73.86,74.23,68.634,2189500
"2016-10-10",74.55,76.25,74.55,75.95,70.2244,3811700
"2016-10-11",76.25,76.25,75.06,75.76,70.0487,2767900
"2016-10-12",75.87,76.93,75.42,76.89,71.0935,3645900
"2016-10-13",76.96,80.41,76.88,80.29,74.2372,6765600
"2016-10-14",80.49,81.28,79.94,80.32,74.265,2868600
"2016-10-17",80.27,80.74,79.95,80.39,74.3297,2183800
"2016-10-18",81.11,82.37,80.76,82.02,75.8368,2660100
"2016-10-19",81.79,82.21,80.95,81.83,75.6611,3146700
"2016-10-20",81.91,82.3,81.33,82.01,75.8276,2347300
"2016-10-21",81.68,82,81.13,81.74,75.5779,1325000
"2016-10-24",82,82.31,81.68,81.72,75.5594,1796300
"2016-10-25",81.69,82.16,80.61,80.96,74.8567,2106300
"2016-10-26",80.38,80.38,78.69,78.93,72.9798,3690600
"2016-10-27",79.08,81.06,78.94,79.31,73.3311,4621700
"2016-10-28",79.33,79.41,76.26,77.31,71.4819,4814100
"2016-10-31",77.42,77.48,76.25,76.53,70.7607,3310200
"2016-11-01",76.8,77.02,74.97,75.4,69.7159,3083400
"2016-11-02",75.44,75.86,74.98,75.1,69.4385,3145000
"2016-11-03",75.46,76.29,73.31,73.41,67.8759,3197900
"2016-11-04",73.94,75.57,73.58,75.33,69.6511,3801200
"2016-11-07",77.21,79.81,77.21,79.62,73.6177,5036000
"2016-11-08",79.09,81.27,78.56,80.88,74.7827,3542900
"2016-11-09",68.69,72.34,67,72.16,66.7201,23023700
"2016-11-10",72.5,73.94,70.39,72.06,66.6276,9313100
"2016-11-11",71.28,71.53,68.02,69.58,64.3346,8891600
"2016-11-14",69.58,72.69,69.58,71.94,66.5167,5982300
"2016-11-15",73.11,74,72.02,74,68.4214,4393200
"2016-11-16",74.12,74.25,72.94,73.54,67.9961,2723200
"2016-11-17",73.44,75.13,73.31,74.66,69.0317,3483400
"2016-11-18",74.68,74.97,72.32,72.39,66.9328,4314300
"2016-11-21",72.56,73.61,72.14,72.94,67.4413,3173300
"2016-11-22",73,73.35,69.94,70.09,64.8062,4934700
"2016-11-23",69.6,71.48,69.18,71,65.6476,2985900
"2016-11-25",71.24,71.41,70.59,71.39,66.0081,787600
"2016-11-28",71.23,71.37,70.25,70.44,65.1298,2144500
"2016-11-29",69.9,71.62,69.59,71.52,66.1283,2099500
"2016-11-30",71.72,71.8,70.33,70.89,65.5458,2367400
"2016-12-01",70.93,72.45,70.75,71.2,65.8325,2063400
"2016-12-02",71.44,72.18,70.26,70.31,65.0096,1805900
"2016-12-05",70.58,70.91,70,70.58,65.2592,2511900
"2016-12-06",70.57,71.41,70.39,71.2,65.8325,2853200
"2016-12-07",71.05,73,70.72,71.96,66.5352,3115800
"2016-12-08",72.11,72.89,70.65,72.54,67.0714,3093100
"2016-12-09",72.65,74.03,72.4,73.25,67.728,2403900
"2016-12-12",73.58,75.58,73.15,73.97,68.3937,3575200
"2016-12-13",73.91,74.7,73.58,73.95,68.3752,2139800
"2016-12-14",73.81,73.9,72.62,73.07,67.5615,2563400
"2016-12-15",72.98,74.96,72.9,74.46,68.8467,2505500
"2016-12-16",74.9,74.95,73.41,74.16,68.5693,6243300
"2016-12-19",73.76,74.17,73.15,73.5,67.9591,1955500
"2016-12-20",73.7,73.79,73.28,73.35,67.8204,1793600
"2016-12-21",73.35,73.93,73.16,73.52,67.9776,1078000
"2016-12-22",73.6,74.53,73.5,73.96,68.3844,1557000
"2016-12-23",73.9,74.61,73.7,74.46,68.8467,1048500
"2016-12-27",74.5,75.14,74.13,74.37,68.7635,1058900
"2016-12-28",74.41,74.61,73.21,73.56,68.0146,1292900
"2016-12-29",73.25,74.21,73.25,73.89,68.3197,1036300
"2016-12-30",73.85,74.26,72.86,74.02,68.4399,1711100
"2017-01-03",74.36,74.8,73.52,74.46,68.8467,2065400
"2017-01-04",75.13,77.32,74.57,77.13,71.3155,3232300
"2017-01-05",76.72,77.43,76.66,76.81,71.0196,2808800
"2017-01-06",76.66,77.31,76.57,76.62,70.8439,1872300
"2017-01-09",76.04,81.06,76.04,78.92,72.9705,4616400
"2017-01-10",78.84,79.23,77.81,78.27,72.3695,2319500
"2017-01-11",78.64,79.63,78.26,79.31,73.3311,1837500
"2017-01-12",79.14,79.4,78.54,79.12,73.1554,1482900
"2017-01-13",79.24,79.81,79.1,79.4,73.4143,1436600
"2017-01-17",80.98,82.2,78.81,80.93,74.829,3645000
"2017-01-18",81.25,81.33,79.64,79.73,73.7194,2845200
"2017-01-19",79.46,79.81,78.57,78.62,72.6931,2560100
"2017-01-20",78.55,79.85,78.53,79.71,73.7009,1882500
"2017-01-23",79.06,80.33,78.07,79.84,73.8211,4095700
"2017-01-24",79.6,80.35,79.02,80.33,74.2742,2010600
"2017-01-25",80.42,81.14,80.1,80.57,74.4961,2994300
"2017-01-26",80.51,81.34,80.14,80.28,74.228,1855000
"2017-01-27",80.58,80.6,79.37,79.52,73.5253,1481900
"2017-01-30",79.49,79.49,78.4,79.29,73.3126,1911900
"2017-01-31",79.7,80.49,78.5,80.28,74.228,3077300
"2017-02-01",80.84,82.61,80.73,81.96,75.7813,3091200
"2017-02-02",81.72,82.86,81.43,82.29,76.0865,2316200
"2017-02-03",82.8,84.12,82.57,83.8,77.4826,2847300
