date,open,high,low,close,adjclose,volume
"2016-09-26",16.2,16.25,16.01,16.01,10.5205,8064400
"2016-09-27",15.99,16,15.72,15.74,10.3431,8724900
"2016-09-28",15.54,15.74,15.46,15.6,10.3831,10152500
"2016-09-29",15.56,15.89,15.43,15.65,10.4163,11941500
"2016-09-30",15.78,15.87,15.55,15.57,10.3631,13911500
"2016-10-03",15.5,15.66,15.39,15.58,10.3697,7380900
"2016-10-04",15.57,15.71,15.37,15.44,10.2766,11722600
"2016-10-05",15.51,15.66,15.28,15.41,10.2566,10709000
"2016-10-06",15.35,15.64,15.24,15.55,10.3498,8382000
"2016-10-07",15.55,15.83,15.37,15.49,10.3098,7481300
"2016-10-10",15.53,15.77,15.51,15.69,10.443,8451300
"2016-10-11",15.63,15.65,15.27,15.45,10.2832,9246500
"2016-10-12",15.5,15.59,15.41,15.53,10.3365,4158200
"2016-10-13",15.43,15.57,15.31,15.51,10.3232,5522500
"2016-10-14",15.6,15.69,15.44,15.44,10.2766,5967700
"2016-10-17",15.45,15.62,15.43,15.49,10.3098,4645400
"2016-10-18",15.59,15.78,15.55,15.7,10.4496,6088900
"2016-10-19",15.76,15.86,15.69,15.72,10.4629,5695400
"2016-10-20",15.73,15.78,15.21,15.51,10.3232,15933400
"2016-10-21",15.38,15.51,15.1,15.47,10.2965,7731900
"2016-10-24",15.54,15.83,15.52,15.54,10.3431,8688700
"2016-10-25",15.5,15.61,15.37,15.4,10.2499,6269100
"2016-10-26",15.34,15.34,14.97,15.01,9.9904,11100100
"2016-10-27",15.03,15.06,14.78,14.89,9.9105,8050100
"2016-10-28",14.96,15.06,14.83,15,9.9837,10328700
"2016-10-31",15.09,15.53,14.99,15.48,10.3032,13642300
"2016-11-01",15.46,15.62,15.19,15.26,10.1568,13426500
"2016-11-02",15.37,15.53,15.01,15.24,10.1434,14294500
"2016-11-03",15.14,15.15,14.8,14.83,9.8706,8514400
"2016-11-04",14.82,15.22,14.69,15.16,10.0902,13432800
"2016-11-07",15.37,15.72,15.34,15.71,10.4563,8399500
"2016-11-08",15.63,16.03,15.38,15.97,10.6293,14171000
"2016-11-09",15.65,16.25,15.29,16.11,10.7225,15927600
"2016-11-10",16.16,16.4,16,16.07,10.6959,14251000
"2016-11-11",16.03,16.57,15.99,16.48,10.9688,12208100
"2016-11-14",16.54,17.41,16.43,17.38,11.5678,20291200
"2016-11-15",17.35,17.39,16.81,17.12,11.3947,14872900
"2016-11-16",17.06,17.22,16.92,16.98,11.3016,8629100
"2016-11-17",17.01,17.05,16.67,16.69,11.1085,7789300
"2016-11-18",16.66,16.7,16.4,16.41,10.9222,8115300
"2016-11-21",16.49,16.74,16.49,16.68,11.1019,7015000
"2016-11-22",16.76,16.97,16.75,16.93,11.2683,8692000
"2016-11-23",16.78,16.9,16.58,16.89,11.2417,7843100
"2016-11-25",16.89,17.02,16.5,16.94,11.2749,2057000
"2016-11-28",16.9,17.06,16.83,16.97,11.2949,8249400
"2016-11-29",17,17.33,16.98,17.3,11.5145,9299700
"2016-11-30",17.18,17.9,17.15,17.84,11.874,26031500
"2016-12-01",17.81,18.23,17.69,18.14,12.0736,18932400
"2016-12-02",18.17,18.19,17.67,17.74,11.8074,26106800
"2016-12-05",17.84,18.28,17.84,18.27,12.1602,10297700
"2016-12-06",18.31,18.62,18.21,18.48,12.2999,10925900
"2016-12-07",18.5,18.98,18.43,18.92,12.5928,9776900
"2016-12-08",18.85,19.15,18.65,19.01,12.6527,12440700
"2016-12-09",19.08,19.28,18.99,19.18,12.7658,8872400
"2016-12-12",19.14,19.25,18.85,18.99,12.6394,9464100
"2016-12-13",19.05,19.06,18.64,19.05,12.6793,14129900
"2016-12-14",19.06,19.27,18.74,18.87,12.5595,12575800
"2016-12-15",18.79,19.2,18.72,18.92,12.5928,8313800
"2016-12-16",19.03,19.09,18.82,19.01,12.6527,13889900
"2016-12-19",19.11,19.19,18.93,19.18,12.7658,6670900
"2016-12-20",19.24,19.3,18.9,19.12,12.7259,9458800
"2016-12-21",19.17,19.51,19.11,19.17,12.7592,12436300
"2016-12-22",19.14,19.17,18.66,18.8,12.5129,6072900
"2016-12-23",18.82,18.96,18.77,18.93,12.5994,4010300
"2016-12-27",18.98,19.1,18.85,18.96,12.6194,3450300
"2016-12-28",18.69,18.78,18.44,18.57,12.525,4628500
"2016-12-29",18.59,18.76,18.52,18.75,12.6464,4286700
"2016-12-30",18.74,18.95,18.58,18.84,12.7071,6377700
"2017-01-03",19.04,19.13,18.82,19.13,12.9027,8866500
"2017-01-04",19.15,19.48,19.07,19.34,13.0443,15374000
"2017-01-05",19.3,19.36,18.35,18.5,12.4778,19884200
"2017-01-06",18.5,18.57,18.15,18.25,12.3091,14827100
"2017-01-09",18.28,18.32,17.94,18.2,12.2754,12431900
"2017-01-10",18.29,18.5,18,18.03,12.1608,10722500
"2017-01-11",18.13,18.34,17.96,18.18,12.2619,10568700
"2017-01-12",18.12,18.12,17.64,18.02,12.154,10585100
"2017-01-13",18.11,18.31,18.05,18.26,12.3159,7907300
"2017-01-17",18.06,18.33,17.97,18.15,12.2417,10133700
"2017-01-18",18.19,18.4,18.11,18.31,12.3496,6615200
"2017-01-19",18.12,18.4,17.97,18.22,12.2889,8253700
"2017-01-20",18.24,18.5,18.2,18.33,12.3631,8037300
"2017-01-23",18.27,18.31,18.12,18.24,12.3024,5364200
"2017-01-24",18.29,18.39,18.14,18.27,12.3226,11475000
"2017-01-25",18.31,18.49,18.21,18.48,12.4643,10628100
"2017-01-26",18.46,18.78,18.43,18.61,12.552,14066900
"2017-01-27",18.65,18.71,18.31,18.59,12.5385,9411200
"2017-01-30",18.55,18.57,17.74,17.94,12.1001,11599400
"2017-01-31",17.96,18.19,17.81,18.07,12.1877,17109200
"2017-02-01",18.15,18.38,17.84,17.87,12.0529,7372700
"2017-02-02",17.83,18,17.79,17.91,12.0798,7878600
"2017-02-03",18.04,18.21,18.01,18.09,12.2012,6409300
"2017-02-06",18.05,18.19,17.81,17.88,12.0596,6036900
"2017-02-07",17.96,18.26,17.91,18.01,12.1473,9013100
"2017-02-08",17.96,18.39,17.86,18.33,12.3631,12920800
"2017-02-09",18.35,18.48,18.21,18.35,12.3766,10365500
"2017-02-10",18.36,18.44,18.27,18.36,12.3833,5676600
"2017-02-13",18.45,18.61,18.37,18.56,12.5182,6125600
"2017-02-14",18.52,18.76,18.24,18.75,12.6464,7873200
"2017-02-15",18.65,18.72,18.26,18.62,12.5587,9731700
"2017-02-16",18.65,18.92,18.56,18.58,12.5317,8981800
"2017-02-17",18.57,18.57,18.11,18.39,12.4036,8353800
"2017-02-21",18.35,18.71,18.35,18.69,12.6059,11591900
"2017-02-22",19.71,20.21,18.16,18.35,12.3766,14828000
"2017-02-23",18.41,18.47,17.83,18.03,12.1608,11413600
"2017-02-24",17.98,18.08,17.65,18.01,12.1473,10378000
"2017-02-27",18.02,18.3,17.91,18.21,12.2822,8180400
"2017-02-28",18.13,18.17,17.79,17.99,12.1338,9768000
"2017-03-01",18.14,18.68,18.08,18.39,12.4036,10698400
"2017-03-02",18.34,18.61,18.14,18.61,12.552,12586100
"2017-03-03",18.6,18.65,18.14,18.38,12.3968,9319400
"2017-03-06",18.19,18.54,18.16,18.5,12.4778,7777400
"2017-03-07",18.4,18.48,18.08,18.18,12.2619,5571300
"2017-03-08",18.11,18.43,17.99,18.13,12.2282,5571900
"2017-03-09",18.18,18.28,17.71,17.84,12.0326,7041700
"2017-03-10",17.84,18.09,17.73,17.91,12.0798,5559700
"2017-03-13",17.94,18.11,17.79,17.87,12.0529,5737500
"2017-03-14",17.87,17.95,17.73,17.75,11.9719,6863400
"2017-03-15",17.87,18.4,17.78,18.34,12.3699,9126400
"2017-03-16",18.38,18.47,18.23,18.24,12.3024,6303600
