date,open,high,low,close,adjclose,volume
"2016-09-26",78.25,78.96,78.06,78.68,71.8036,692500
"2016-09-27",78.43,79.19,78,78.62,71.7489,870700
"2016-09-28",78.84,79.3,78.43,79.21,72.2873,1335000
"2016-09-29",79.31,81.03,79.29,80.4,73.3733,1395500
"2016-09-30",80.73,81.38,80.43,81.14,74.0486,707800
"2016-10-03",80.68,81.68,80.6,81.42,74.3042,531900
"2016-10-04",81.48,81.81,80.91,81.24,74.1399,489200
"2016-10-05",81.46,81.68,81.12,81.57,74.441,613700
"2016-10-06",81.45,81.69,80.94,81.39,74.2768,597000
"2016-10-07",81.09,81.2,80.13,80.75,73.6927,800300
"2016-10-10",80.96,81.49,80.96,81.27,74.1673,719800
"2016-10-11",80.75,81.99,80.5,81.8,74.6509,1116800
"2016-10-12",81.3,81.99,80.95,81.26,74.1581,716000
"2016-10-13",80.8,81.14,79.88,79.93,72.9444,1566100
"2016-10-14",80.37,81.06,79.79,80.02,73.0265,1393200
"2016-10-17",76.43,80.15,76.2,78.45,71.5937,2830400
"2016-10-18",78.93,79.72,78.5,78.99,72.0865,1912600
"2016-10-19",79.1,79.49,77.72,77.76,70.964,1231500
"2016-10-20",77.63,78.51,77.26,77.6,70.818,888000
"2016-10-21",77.21,78.4,76.89,78.31,71.466,630000
"2016-10-24",78.64,79.33,78.53,78.75,71.8675,631700
"2016-10-25",78.77,79.18,78.48,78.84,71.9496,630900
"2016-10-26",78.55,80.42,78.55,80.3,73.282,996500
"2016-10-27",80.76,81.3,79.22,81.03,73.9482,929300
"2016-10-28",80.89,81.36,80.47,80.94,73.8661,694700
"2016-10-31",81.24,81.9,80.94,81.61,74.4775,935600
"2016-11-01",81.92,82.3,81.5,82.02,74.8517,1279800
"2016-11-02",81.75,82.34,81.5,81.59,74.6595,1295200
"2016-11-03",81.85,82.3,80.36,80.38,73.5523,1190700
"2016-11-04",80.6,81.2,80.12,80.28,73.4608,892600
"2016-11-07",81.32,82.64,80.83,82.62,75.6021,1121900
"2016-11-08",82.55,85.01,81.7,84.72,77.5237,1362700
"2016-11-09",84.12,88.32,84,86.12,78.8048,1914800
"2016-11-10",86.46,88.89,86.46,88.07,80.5891,1355600
"2016-11-11",87.95,89.96,87.75,89.69,82.0715,1347500
"2016-11-14",90.27,92.17,89.98,91.06,83.3251,2364000
"2016-11-15",91.36,91.43,90.43,91.34,83.5814,603600
"2016-11-16",91.43,92.13,90.63,91.31,83.5539,870400
"2016-11-17",91.49,91.85,90.92,91.45,83.682,771000
"2016-11-18",91.33,92.08,90.95,91.47,83.7003,648500
"2016-11-21",91.94,92.39,91.27,91.67,83.8833,905500
"2016-11-22",92.06,92.06,91.07,91.22,83.4716,829500
"2016-11-23",91.33,92.95,91.33,92.92,85.0272,520100
"2016-11-25",92.86,94.11,92.86,93.94,85.9605,319900
"2016-11-28",93.5,94.14,92.88,93.12,85.2102,593900
"2016-11-29",92.93,94.32,92.93,93.52,85.5762,908600
"2016-11-30",93.93,95.93,93.86,95.37,87.269,1232600
"2016-12-01",95.49,97.17,95.21,97.05,88.8063,916200
"2016-12-02",96.97,97.44,95.54,96.33,88.1475,1035200
"2016-12-05",96.93,97.69,96.5,97.67,89.3737,1420200
"2016-12-06",97.59,98.22,97,98.1,89.7672,1125200
"2016-12-07",98.06,100.27,97.64,99.96,91.4692,1040900
"2016-12-08",100.25,100.97,99.94,100.68,92.128,1050800
"2016-12-09",100.65,102.38,98.73,99.29,90.8561,1678500
"2016-12-12",99.34,99.79,98.38,99.14,90.7188,1127900
"2016-12-13",99.59,100.05,97.64,99.01,90.5999,1489200
"2016-12-14",99.24,99.71,98.31,98.61,90.2338,1005100
"2016-12-15",98.57,99.42,97.6,98.01,89.6848,1501700
"2016-12-16",98.21,98.31,96.62,97,88.7606,1643800
"2016-12-19",96.87,97.94,96.72,97.86,89.5476,715100
"2016-12-20",98.22,99,97.89,98,89.6757,959200
"2016-12-21",98.02,98.24,96.95,97.01,88.7698,658700
"2016-12-22",97.01,97.61,96.78,97.16,88.907,548500
"2016-12-23",97.01,97.75,96.95,97.47,89.1907,304700
"2016-12-27",97.93,98.72,97.44,98.01,89.6848,436600
"2016-12-28",98.08,98.55,96.98,97.08,88.8338,600500
"2016-12-29",96.97,98.06,96.97,97.34,89.0717,532900
"2016-12-30",97.78,97.95,96.68,97.07,88.8246,805000
"2017-01-03",97.83,99.36,95.89,96.77,88.5501,1065200
"2017-01-04",96.58,98.42,96.25,97.82,89.5109,1036000
"2017-01-05",97.42,97.56,96.56,97.19,88.9344,985800
"2017-01-06",97.43,98.46,96.91,97.69,89.392,751500
"2017-01-09",97,97.25,96.31,96.87,88.6416,774800
"2017-01-10",96.97,98.24,96.4,97.72,89.4194,713800
"2017-01-11",97.82,98.87,97.3,98.72,90.3345,689200
"2017-01-12",98.47,99.33,98.02,99.05,90.6364,835200
"2017-01-13",99.25,99.63,98.92,99.28,90.8469,758900
"2017-01-17",99.13,99.42,97.65,97.98,89.6573,816800
"2017-01-18",98.29,98.62,97.1,98.03,89.7031,1301300
"2017-01-19",97.5,97.9,93.58,94.36,86.3448,2373400
"2017-01-20",94.15,94.82,93.33,94.52,86.4912,1025500
"2017-01-23",94.65,95.03,93.71,94.5,86.4729,699900
"2017-01-24",94.9,96.67,94.6,96.48,88.2848,690100
"2017-01-25",96.78,98.62,95.96,98.54,90.1698,916600
"2017-01-26",98.3,98.88,97.32,98.76,90.3711,782100
"2017-01-27",98.92,98.98,97.78,98.87,90.4718,605200
"2017-01-30",98.09,99.03,97.9,98.93,90.5267,594800
"2017-01-31",99.25,100.21,98.67,99.08,90.6639,1312700
"2017-02-01",99.49,99.63,97.66,98.32,89.9685,857500
"2017-02-02",97.75,99.08,96.66,97.24,88.9802,942800
"2017-02-03",97.38,99.75,97.08,99.66,91.1946,1011100
"2017-02-06",99.47,100.5,99.05,99.52,91.0665,3331100
"2017-02-07",99.8,100.12,98.23,98.51,90.1423,879200
