date,open,high,low,close,adjclose,volume
"2016-09-26",86.93,86.95,86.23,86.4,76.4972,273300
"2016-09-27",86.49,87,86.37,86.57,76.6477,184000
"2016-09-28",86.61,86.79,85.29,86.68,76.7451,161300
"2016-09-29",86.36,86.64,85.59,85.63,75.8155,183000
"2016-09-30",86.02,86.2,85.24,85.55,75.7446,318500
"2016-10-03",85.71,86.03,85.38,85.4,75.6118,311700
"2016-10-04",85.38,85.72,83.77,83.95,74.328,489100
"2016-10-05",83.9,84.16,83.73,83.74,74.1421,559400
"2016-10-06",83.71,84.72,83.08,84.41,74.7353,415700
"2016-10-07",84.59,84.71,82.79,83.17,73.6374,385600
"2016-10-10",83.35,83.88,83.06,83.2,73.664,213000
"2016-10-11",82.95,83.02,81.11,81.3,71.9818,446800
"2016-10-12",81.91,82.9,81.04,82.69,73.2124,444500
"2016-10-13",81.94,82.45,81.72,82.21,72.7874,337000
"2016-10-14",82.3,82.93,82.3,82.68,73.2036,269000
"2016-10-17",82.49,82.66,82.3,82.41,72.9645,197400
"2016-10-18",82.84,83.19,82.44,82.52,73.0619,146600
"2016-10-19",82.69,82.88,82.12,82.17,72.752,216900
"2016-10-20",82.15,82.35,81.55,81.85,72.4687,179400
"2016-10-21",81.56,82.01,81.03,81.8,72.4244,263400
"2016-10-24",82.34,82.81,81.52,82.36,72.9202,309500
"2016-10-25",82.21,82.21,81.16,81.57,72.2208,339800
"2016-10-26",81.26,81.56,80.23,80.42,71.2026,579400
"2016-10-27",80.43,80.43,79,79.55,70.4323,789600
"2016-10-28",79.68,80.43,79.25,80.22,71.0255,415900
"2016-10-31",80.31,81.17,80,81.02,71.7338,437600
"2016-11-01",80.83,80.91,80.27,80.54,71.3088,352300
"2016-11-02",80.13,81.03,80.02,80.49,71.2646,341100
"2016-11-03",80.43,80.8,80.2,80.27,71.0698,317500
"2016-11-04",80.27,80.77,79.84,80.37,71.1583,335600
"2016-11-07",81.01,81.94,81.01,81.75,72.3802,546000
"2016-11-08",82.56,85.21,82.02,83.87,74.2572,944000
"2016-11-09",82.87,83.9,81.55,83.69,74.0978,577200
"2016-11-10",84.34,84.55,82.78,83.52,73.9473,562300
"2016-11-11",83.29,84.86,83.07,84.58,74.8858,421700
"2016-11-14",84.87,85.05,84.25,84.69,74.9832,432500
"2016-11-15",84.92,85.82,84.62,84.68,74.9743,417600
"2016-11-16",84.36,85.27,84.36,85.18,75.417,323200
"2016-11-17",84.94,86.56,84.94,86.55,76.63,257000
"2016-11-18",86.65,86.94,86.36,86.71,76.7717,291800
"2016-11-21",86.71,88.27,86.71,88.2,78.0909,603200
"2016-11-22",88.02,88.6,87.71,88.41,78.2768,295200
"2016-11-23",88.02,89.05,88.02,88.92,78.7284,237300
"2016-11-25",88.99,89.36,88.48,88.78,78.6044,217300
"2016-11-28",88.81,89.46,88.44,88.6,78.4451,450100
"2016-11-29",88.6,89.02,88.29,88.33,78.4539,575100
"2016-11-30",88.42,88.46,86.41,86.44,76.7753,530800
"2016-12-01",86.29,86.42,84.28,84.58,75.1232,581800
"2016-12-02",84.99,85.67,84.99,85.46,75.9048,338000
"2016-12-05",86.02,87.25,86.02,86.86,77.1483,395800
"2016-12-06",86.86,87.75,86.71,87.72,77.9121,436900
"2016-12-07",87.88,89.31,87.34,89.05,79.0934,311300
"2016-12-08",88.8,89.68,88.59,89.43,79.4309,273800
"2016-12-09",89.58,89.71,89.04,89.48,79.4753,316400
"2016-12-12",89.14,90.22,88.88,89.58,79.5642,311500
"2016-12-13",90.05,91.01,89.64,90.48,80.3635,362200
"2016-12-14",90.47,91.06,89.36,89.44,79.4398,267100
"2016-12-15",89.28,90.17,89.12,89.58,79.5642,291600
"2016-12-16",89.94,90.5,89.31,89.45,79.4487,906200
"2016-12-19",89.21,90.07,89.1,89.36,79.3688,348700
"2016-12-20",89.51,90.01,89.23,89.58,79.5642,207800
"2016-12-21",89.84,89.97,89.13,89.13,79.1645,166000
"2016-12-22",89.09,89.13,88.47,88.91,78.9691,145600
"2016-12-23",88.72,89.46,88.72,89.41,79.4132,112800
"2016-12-27",89.28,90,89.28,89.51,79.502,93500
"2016-12-28",89.64,89.76,88.73,88.89,78.9513,127600
"2016-12-29",88.97,89.59,88.78,89.18,79.2089,158900
"2016-12-30",89.64,89.64,88.3,88.78,78.8536,235100
"2017-01-03",88.92,89.5,88.52,88.89,78.9513,218100
"2017-01-04",88.73,90,88.73,89.74,79.7063,327900
"2017-01-05",89.78,90.78,89.66,90.56,80.4346,334500
"2017-01-06",90.72,91.34,90.33,90.85,80.6922,290300
"2017-01-09",90.85,90.85,90.05,90.21,80.1237,174000
"2017-01-10",90.37,90.37,89.46,89.5,79.4931,229200
"2017-01-11",89.51,89.85,88.96,89.28,79.2977,192800
"2017-01-12",89.03,89.33,88.17,89.27,79.2888,368200
"2017-01-13",89.49,90.63,89.25,90.54,80.4168,180800
"2017-01-17",90.26,90.44,89.47,90.19,80.1059,160200
"2017-01-18",90.31,90.41,89.95,90.15,80.0704,178200
"2017-01-19",90.27,90.71,89.91,90.25,80.1592,233700
"2017-01-20",90.25,90.97,89.75,90.77,80.6211,192200
"2017-01-23",90.64,91.15,90.52,91.03,80.8521,341200
"2017-01-24",91.19,91.34,90.65,91.2,81.003,283200
"2017-01-25",91.19,91.48,90.09,90.7,80.5589,361800
"2017-01-26",90.53,90.54,89.56,89.7,79.6707,267900
"2017-01-27",89.96,90.07,89.41,90.05,79.9816,147700
"2017-01-30",89.76,90.19,88.98,90.13,80.0527,216500
"2017-01-31",89.85,90.8,89.1,89.78,79.7418,352100
"2017-02-01",89.9,90.58,88.77,89.08,79.1201,286600
"2017-02-02",89.09,89.97,88.71,89.05,79.0934,301100
"2017-02-03",89.41,90.32,89.41,90.23,80.1415,298700
"2017-02-06",89.99,90.24,89.48,89.69,79.6619,214800
"2017-02-07",89.72,90.03,89.38,90.01,79.9461,416300
"2017-02-08",89.74,90.26,88.11,89.53,79.5198,383000
"2017-02-09",90.92,91.21,88.33,90.82,80.6655,385200
"2017-02-10",90.82,90.93,90.25,90.6,80.4701,297400
"2017-02-13",91.08,91.78,91.08,91.48,81.2517,285600
"2017-02-14",91.12,91.53,90.8,91.05,80.8698,191700
"2017-02-15",91.05,91.77,90.9,91.68,81.4294,196000
"2017-02-16",91.79,92.24,91.53,92.24,81.9268,250800
"2017-02-17",91.75,92.53,91.01,92.53,82.1843,167700
"2017-02-21",92.38,93.2,92.03,93.16,82.7439,233300
"2017-02-22",93.18,93.54,92.88,93.37,82.9304,227500
"2017-02-23",93.43,94.03,93.07,93.85,83.3568,204500
"2017-02-24",93.62,94.7,93.51,94.7,84.1117,230000
"2017-02-27",94.55,94.83,93.99,94.76,84.165,247800
"2017-02-28",94.25,94.49,93.65,93.77,83.559,481000
"2017-03-01",94.46,95.37,93.9,95.33,84.9492,374300
"2017-03-02",95.2,95.2,94.27,94.47,84.1828,180800
"2017-03-03",94.63,95.25,94.28,95,84.6551,233900
"2017-03-06",94.79,94.99,94.26,94.61,84.3076,217800
"2017-03-07",94.51,94.81,93.84,94.47,84.1828,157900
"2017-03-08",94.11,94.76,93.92,94.27,84.0046,240700
"2017-03-09",94.38,94.65,93.83,94.06,83.8175,217100
"2017-03-10",94.48,94.95,93.88,94.44,84.1561,241900
"2017-03-13",94.38,95.18,94.33,95.11,84.7531,229900
"2017-03-14",94.78,95.37,94.5,94.84,84.5125,141300
"2017-03-15",95.24,95.64,94.87,95.35,84.967,270700
"2017-03-16",95.43,95.43,94.37,94.75,84.4323,202900
"2017-03-17",94.55,95.47,94.55,95.1,84.7442,542300
"2017-03-20",94.88,94.98,94.03,94.49,84.2007,308300
"2017-03-21",94.76,94.76,93.39,93.89,83.666,324800
