date,open,high,low,close,adjclose,volume
"2016-09-26",30.38,30.47,30.06,30.08,24.4045,7379800
"2016-09-27",30.05,30.17,29.84,29.9,24.2585,9877300
"2016-09-28",29.97,30.12,29.68,29.84,24.2098,10820100
"2016-09-29",29.84,29.86,29.49,29.5,23.9339,12814500
"2016-09-30",29.51,29.99,29.51,29.68,24.08,26199600
"2016-10-03",29.57,29.69,29.25,29.28,23.7555,7800200
"2016-10-04",29.25,29.39,28.88,29,23.5283,11173200
"2016-10-05",28.97,29.11,28.76,28.84,23.3985,27597900
"2016-10-06",28.75,29.6,28.71,29.37,23.8285,17280800
"2016-10-07",29.37,29.59,29,29,23.5283,11322800
"2016-10-10",29,29.39,28.95,29.05,23.5688,7665700
"2016-10-11",29.31,30.21,29.24,30.11,24.4288,17782800
"2016-10-12",30.24,31.44,29.97,31.17,25.2888,31126500
"2016-10-13",31.07,31.17,30.6,31.13,25.2564,14246300
"2016-10-14",31.17,31.58,31.01,31.27,25.37,14820100
"2016-10-17",31.33,31.34,30.69,30.83,25.013,10576500
"2016-10-18",30.86,30.94,30.5,30.64,24.8588,9959500
"2016-10-19",30.49,31.06,30.26,31.01,25.159,10211800
"2016-10-20",31.03,31.16,30.79,30.92,25.086,8740800
"2016-10-21",30.98,31.09,30.65,30.76,24.9562,8730300
"2016-10-24",30.85,31.29,30.84,31.18,25.297,5322000
"2016-10-25",31.06,31.06,30.86,30.91,25.0779,4300300
"2016-10-26",30.79,31.13,30.75,30.9,25.0698,4870400
"2016-10-27",30.96,31.2,30.68,31.02,25.1671,7767000
"2016-10-28",30.98,31.43,30.9,31.26,25.3619,6796800
"2016-10-31",31.3,31.56,30.83,30.98,25.1347,7550900
"2016-11-01",31.09,31.11,30.69,30.79,24.9805,8520000
"2016-11-02",30.85,32.48,30.83,32.22,26.1407,13547200
"2016-11-03",32.22,32.23,30.93,31.02,25.1671,8920300
"2016-11-04",30.96,31.53,30.74,30.92,25.086,7978700
"2016-11-07",31.19,31.43,30.99,31.24,25.3456,5808400
"2016-11-08",31.15,31.22,30.6,30.9,25.0698,7260000
"2016-11-09",30.53,32.46,30.44,32.29,26.1975,12682000
"2016-11-10",32.19,33.44,32.13,32.87,26.7676,14255900
"2016-11-11",32.9,33.54,32.57,33.52,27.2969,11575600
"2016-11-14",33.55,34.95,33.55,34.64,28.209,15593400
"2016-11-15",34.62,34.95,34.04,34.86,28.3881,10259800
"2016-11-16",34.75,34.77,33.59,33.7,27.4435,10316500
"2016-11-17",32.97,33.59,32.59,33.52,27.2969,10298900
"2016-11-18",33.51,33.88,33.23,33.45,27.2399,5340300
"2016-11-21",33.45,33.84,33.34,33.53,27.305,5448100
"2016-11-22",33.68,33.73,33.41,33.47,27.2562,5829100
"2016-11-23",33.36,33.88,33.33,33.7,27.4435,5608700
"2016-11-25",33.91,34.15,33.8,33.88,27.5901,2669700
"2016-11-28",33.88,34.1,33.37,33.66,27.4109,4940700
"2016-11-29",33.71,33.75,33.07,33.1,26.9549,8261900
"2016-11-30",32.81,32.81,31.95,32.3,26.3034,13713000
"2016-12-01",31.16,33.4,31.09,33.36,27.1666,18821000
"2016-12-02",33.3,33.83,32.87,33.3,27.1177,16221700
"2016-12-05",33.13,33.22,32.7,32.93,26.8164,10636700
"2016-12-06",32.83,33.09,32.47,33.07,26.9304,8558500
"2016-12-07",33.06,33.75,32.97,33.63,27.3865,7551400
"2016-12-08",33.87,34.37,33.5,34.19,27.8425,7239200
"2016-12-09",34.19,34.8,33.99,34.78,28.323,6904100
"2016-12-12",34.66,34.88,34.1,34.22,27.8669,10584900
"2016-12-13",34.02,34.53,33.84,34.42,28.0298,6666000
"2016-12-14",34.7,35.38,34.6,34.72,28.2741,10175200
"2016-12-15",34.77,36.05,34.6,35.96,29.2839,12898500
"2016-12-16",36.02,36.09,35.66,35.94,29.2676,10860900
"2016-12-19",36.03,36.44,35.78,35.88,29.2188,8985700
"2016-12-20",35.88,35.98,35.48,35.49,28.9012,7672200
"2016-12-21",35.4,35.58,35.21,35.21,28.6731,6086400
"2016-12-22",35.15,35.46,34.75,34.98,28.4858,6412100
"2016-12-23",35.06,35.42,34.96,35.08,28.5673,3398400
"2016-12-27",34.97,35.27,34.87,35.17,28.6406,3434500
"2016-12-28",35.16,35.24,34.48,34.68,28.2415,4948800
"2016-12-29",34.67,34.88,34.54,34.59,28.1682,3358900
"2016-12-30",34.63,34.83,34.41,34.51,28.1031,3897000
"2017-01-03",34.5,34.51,33.42,33.72,27.4598,9555700
"2017-01-04",33.78,33.84,33.22,33.24,27.0689,9158500
