date,open,high,low,close,adjclose,volume
"2016-09-26",36.97,37.16,36.61,36.87,32.5707,5718700
"2016-09-27",36.78,38.57,36.78,38.54,34.0459,10038200
"2016-09-28",38.53,38.95,37.95,38.07,33.6307,7121100
"2016-09-29",38.02,38.54,37.95,38.15,33.7014,5535000
"2016-09-30",38.27,39.18,38.03,38.89,34.3551,9364400
"2016-10-03",38.85,39.74,38.7,39.74,35.106,8643600
"2016-10-04",40.32,40.49,39.09,39.16,34.5936,10682200
"2016-10-05",39.02,39.42,38.83,39.1,34.5406,4221600
"2016-10-06",39.05,39.32,38.69,39.17,34.6025,4816400
"2016-10-07",39.14,39.2,38.18,38.47,33.9841,6932900
"2016-10-10",38.5,39.95,38.46,39.77,35.1325,7815100
"2016-10-11",40.03,40.33,39.51,39.79,35.1502,9126600
"2016-10-12",40.15,40.38,39.73,40.01,35.3445,6634800
"2016-10-13",39.68,41.62,39.13,41.38,36.5548,11107200
"2016-10-14",41.6,42.41,41.11,41.32,36.5018,7296800
"2016-10-17",41.4,42.2,41.16,41.24,36.4311,5509900
"2016-10-18",41.56,41.99,41.19,41.68,36.8198,8755600
"2016-10-19",41.74,42.4,41.57,42.25,37.3233,6335000
"2016-10-20",42.15,42.47,41.76,42.29,37.3587,7813300
"2016-10-21",41.91,42.46,41.75,42.43,37.4823,5448000
"2016-10-24",42.52,42.93,42.2,42.33,37.394,5311400
"2016-10-25",42.15,42.73,41.71,41.95,37.0583,11101800
"2016-10-26",41.95,41.95,36.91,38.4,33.9223,43824900
"2016-10-27",38.5,39.58,37.65,39.24,34.6643,22002700
"2016-10-28",39.29,39.84,38.95,39.18,34.6113,10321200
"2016-10-31",39.49,40.47,39.15,40.05,35.3798,8148800
"2016-11-01",39.98,40.42,39.33,39.68,35.053,8004600
"2016-11-02",39.57,40.1,39.43,39.61,34.9911,6691500
"2016-11-03",39.82,40.39,39.51,39.7,35.0707,5187600
"2016-11-04",39.69,40.93,39.56,40.38,35.6714,7294000
"2016-11-07",41,41.57,40.71,41.57,36.7226,7740800
"2016-11-08",41.57,42,41.22,41.93,37.0406,8784000
"2016-11-09",40.8,42.46,40.75,42.37,37.4293,8472600
"2016-11-10",42.64,43.85,42.58,43.64,38.5512,10325700
"2016-11-11",43.5,43.85,42.99,43.84,38.7279,7906600
"2016-11-14",43.9,45.45,43.88,45.35,40.0618,11144700
"2016-11-15",46.55,47.3,45.68,46.25,40.8569,9921400
"2016-11-16",46.04,46.34,45.45,45.85,40.5035,6502600
"2016-11-17",45.69,46.74,45.35,46.69,41.2456,5915500
"2016-11-18",46.91,47.25,46.68,47.06,41.5724,6783000
"2016-11-21",47.08,47.68,46.98,47.36,41.8375,6760700
"2016-11-22",47.69,47.99,46.75,47.1,41.6078,7401300
"2016-11-23",46.99,47.46,46.13,47.37,41.8463,5316200
"2016-11-25",47.31,47.91,47.23,47.45,41.917,2499100
"2016-11-28",47.41,47.77,47.15,47.52,41.9788,4230900
"2016-11-29",47.56,47.83,47.21,47.24,41.7314,4453400
"2016-11-30",46.1,47.33,44.7,46.61,41.1749,6640900
"2016-12-01",46.36,47.44,46.19,47.07,41.5813,5594800
"2016-12-02",47.37,48.24,47.3,47.91,42.3233,4843600
"2016-12-05",48.08,48.46,47.04,47.07,41.5813,4734200
"2016-12-06",47.39,47.9,47.16,47.68,42.2098,4573200
"2016-12-07",47.71,49.88,47.4,49.85,44.1308,7738800
"2016-12-08",49.98,49.98,49.24,49.6,43.9095,6643200
"2016-12-09",49.89,50.68,49.22,49.79,44.0777,6700900
"2016-12-12",49.36,49.69,48.92,49.37,43.7059,8801300
"2016-12-13",49.47,50.43,49.45,49.55,43.8653,6603700
"2016-12-14",49.5,50,48.9,49.28,43.6263,5920400
"2016-12-15",49.43,51.31,49.4,50.59,44.786,9147800
"2016-12-16",50.74,51.13,49.89,49.93,44.2017,7649800
"2016-12-19",50.26,50.53,49.72,50.35,44.5735,3438400
"2016-12-20",50.55,51.19,50.41,50.89,45.0515,3700800
"2016-12-21",50.77,51.08,50.52,50.65,44.8391,3954100
"2016-12-22",50.72,51.03,50.08,50.25,44.485,2508800
"2016-12-23",50.36,50.72,50.19,50.45,44.662,1616700
"2016-12-27",50.46,50.78,50.26,50.49,44.6974,1874200
"2016-12-28",50.53,50.96,50.07,50.17,44.4141,3185800
"2016-12-29",50.19,50.62,49.96,50.2,44.4407,2167300
"2016-12-30",50.19,50.37,49.53,49.84,44.122,3257200
"2017-01-03",50.4,51.16,49.81,49.98,44.2459,4210300
"2017-01-04",50.25,51.42,50.15,51.3,45.4145,4914400
"2017-01-05",51.44,52.12,50.12,50.47,44.6797,7131500
"2017-01-06",50.49,50.65,49.45,49.93,44.2017,5691900
"2017-01-09",50,50.93,49.8,50.3,44.5292,4966600
"2017-01-10",50.55,51.89,50.53,51.34,45.4499,5569300
"2017-01-11",51.77,52.2,51.47,51.68,45.7509,5941600
"2017-01-12",51.68,51.95,50.26,51.01,45.1578,6059800
"2017-01-13",51,51.34,50.78,51.15,45.2817,2611300
"2017-01-17",50.88,51.34,50.22,50.24,44.4761,4219700
"2017-01-18",50.07,50.66,49.7,50.38,44.6,5897000
"2017-01-19",50.45,50.75,49.85,50.07,44.3256,4237900
"2017-01-20",50.14,51.17,50.14,51.09,45.2286,5196500
"2017-01-23",51.03,51.14,49.77,49.94,44.2105,4222200
"2017-01-24",50.12,50.24,49.58,49.65,43.9538,6152400
"2017-01-25",49.09,49.95,48.71,49.46,43.7856,8380800
"2017-01-26",51.4,53.99,51.14,53.92,47.7339,15952600
