date,open,high,low,close,adjclose,volume
"2016-09-26",77.34,77.34,76.33,76.49,43.3921,2373300
"2016-09-27",76.15,77.86,75.76,77.78,44.1239,3777700
"2016-09-28",78.23,80.07,77.19,80,45.3833,4113900
"2016-09-29",79.98,81.75,79.85,80.47,45.6499,4314100
"2016-09-30",80.84,81.44,80.29,80.66,45.7577,3776700
"2016-10-03",80.85,81.01,79.97,80.84,45.8598,3204400
"2016-10-04",81.11,81.95,79.44,79.84,45.2925,3076600
"2016-10-05",80.48,82.45,80.38,81.33,46.1378,3249700
"2016-10-06",81.32,84.59,81.2,84.09,47.7035,5045100
"2016-10-07",83.84,83.94,80.96,81.44,46.2002,3353000
"2016-10-10",82.21,83.32,81.99,82.26,46.6654,2351200
"2016-10-11",81.5,81.77,79.85,80.3,45.5535,3283000
"2016-10-12",80.25,80.46,79.16,80,45.3833,2106900
"2016-10-13",78.94,80.2,78.12,79.9,45.3266,2854000
"2016-10-14",80.87,81.4,79.55,79.55,45.128,2735300
"2016-10-17",79.5,80.12,78.98,79.53,45.1167,3454100
"2016-10-18",80.83,81.5,80.08,80.18,45.4854,4162400
"2016-10-19",80.41,81.84,79.65,81.65,46.3193,2887700
"2016-10-20",81.12,82.35,81.04,81.56,46.2683,2089200
"2016-10-21",80.97,81.98,80.7,81.87,46.4442,2772600
"2016-10-24",81.95,82.96,81.33,81.62,46.3023,1798000
"2016-10-25",81.65,81.79,79.81,79.96,45.3606,3571800
"2016-10-26",79.37,80.51,79.16,80.35,45.5819,2242300
"2016-10-27",81.14,81.16,79.93,80.25,45.5251,1567800
"2016-10-28",80.52,81.42,79.54,80.28,45.5422,2118700
"2016-10-31",80.08,80.24,79.4,79.55,45.128,4374300
"2016-11-01",80.01,80.55,77.23,78.21,44.3679,4303200
"2016-11-02",77.94,78.14,76.71,77.39,43.9027,3749400
"2016-11-03",77.7,78.58,77.57,78.31,44.4246,2764300
"2016-11-04",78.49,79.2,77.64,78.45,44.504,2701300
"2016-11-07",79.64,80.13,78.95,79.16,44.9068,1938200
"2016-11-08",78.89,79.4,77.87,78.95,44.7877,2009000
"2016-11-09",78.28,81.73,77.85,80.94,45.9166,2918900
"2016-11-10",81.34,84.37,81.12,83.35,47.2837,4628100
"2016-11-11",83.21,83.72,80.9,82.2,46.6314,3754200
"2016-11-14",82.23,82.65,80.68,82.4,46.7448,3539900
"2016-11-15",82.1,83.49,82.1,83.42,47.3235,3564400
"2016-11-16",83.24,83.94,82.64,83.2,47.1987,2971500
"2016-11-17",83.77,83.81,82.71,83.01,47.0909,2380300
"2016-11-18",82.72,83.34,82.6,83.12,47.1533,1901000
"2016-11-21",83.7,85.2,83.54,85.16,48.3106,3355300
"2016-11-22",85.62,85.87,84.89,85.77,48.6566,2860500
"2016-11-23",85.37,86.67,85,86.64,49.1501,2853100
"2016-11-25",85.79,86.73,85.71,86.67,49.6543,1853800
"2016-11-28",86.71,86.98,85.39,85.58,49.0298,3687200
"2016-11-29",84.76,85.12,83.06,83.72,47.9642,4271200
"2016-11-30",85.79,90.99,85.79,90.32,51.7454,8648700
"2016-12-01",90.97,92.68,90.64,91.18,52.2382,6803300
"2016-12-02",90.85,91,88.66,89.14,51.0694,3804900
"2016-12-05",90.01,90.58,87.98,88.6,50.76,4147500
"2016-12-06",88.22,88.22,87.05,87.78,50.2902,3601100
"2016-12-07",87.99,89.6,87.52,89.41,51.2241,2239000
"2016-12-08",89.45,90.81,88.9,90.54,51.8715,2741600
"2016-12-09",90.48,90.7,88.06,88.42,50.6569,3021400
"2016-12-12",89.09,89.92,88.92,89.59,51.3272,3411700
"2016-12-13",89.41,89.9,88.49,89.62,51.3444,2414600
"2016-12-14",89.14,89.8,87.7,88.09,50.4678,3031000
"2016-12-15",87.5,89.04,86.32,88.83,50.8918,3684400
"2016-12-16",89.11,89.12,88.3,88.68,50.8058,6179100
"2016-12-19",88.94,89.15,87.31,88.14,50.4965,1931700
"2016-12-20",88.45,88.96,87.8,88.13,50.4907,1708200
"2016-12-21",88.22,88.22,87.46,87.77,50.2845,2155500
"2016-12-22",88.01,88.16,86.92,87.53,50.147,1458500
"2016-12-23",87.45,87.73,86.96,87.7,50.2444,842500
"2016-12-27",87.81,88.25,86.89,87.1,49.9007,1139000
"2016-12-28",87.37,87.7,85.93,86.38,49.4882,1283300
"2016-12-29",86.44,87.02,85.74,86.01,49.2762,1583800
"2016-12-30",86.29,86.29,85.14,85.78,49.1444,1831400
"2017-01-03",87.02,87.8,85.87,86.88,49.7746,2560300
"2017-01-04",87.25,89.28,87.23,88.79,50.8689,3022900
"2017-01-05",88.4,89.59,87.91,88.68,50.8058,2330800
"2017-01-06",88.82,88.88,87.38,88.17,50.5137,1937600
"2017-01-09",87.81,88.5,86.79,86.89,49.7803,3227400
"2017-01-10",87.02,87.54,86.3,86.88,49.7746,2707900
"2017-01-11",87.18,88.46,86.56,88.44,50.6684,2841000
"2017-01-12",88.45,90,88.2,89.62,51.3444,3429400
"2017-01-13",89.73,90.7,89.25,89.73,51.4074,1920000
"2017-01-17",89.64,90.22,89.37,89.97,51.5449,2778100
"2017-01-18",89.99,90.71,89.61,90.05,51.5907,2030500
"2017-01-19",90.24,90.47,89.06,89.76,51.4246,2095200
"2017-01-20",90.92,91.95,90.16,90.89,52.072,3372700
"2017-01-23",90.59,91.2,90.23,91.16,52.2267,2396700
"2017-01-24",91.88,95.89,91.75,95.13,54.5011,4948400
"2017-01-25",95.1,96.83,94.19,96.38,55.2173,4606500
"2017-01-26",95.82,97.64,94.88,95.39,54.6501,4841400
"2017-01-27",95.32,95.68,94.48,95.3,54.5985,2579300
"2017-01-30",94.97,94.97,93.64,94.3,54.0256,2846600
"2017-01-31",93.77,93.88,92.81,93.27,53.4355,3850100
"2017-02-01",93.75,95.38,93.68,95.07,54.4668,2506300
"2017-02-02",94.86,95.19,93.4,93.75,53.7105,4174800
"2017-02-03",93.75,95.92,93,94.69,54.2491,5093800
"2017-02-06",94.21,95.42,94.12,94.94,54.3923,2788400
"2017-02-07",93.17,94.21,91.4,92.35,52.9084,4435000
"2017-02-08",92.4,92.5,91.33,91.66,52.5131,4523100
"2017-02-09",91.66,92.81,91.66,92.24,52.8454,3110500
"2017-02-10",92,92.79,91.37,91.86,52.6277,3765200
"2017-02-13",92.67,92.78,91.76,92.22,52.834,2646700
"2017-02-14",92.3,93.25,92.06,93.15,53.3668,1991000
"2017-02-15",93.02,93.28,92.35,93.09,53.3324,1765000
"2017-02-16",93,93.54,92.42,92.69,53.1032,1698400
"2017-02-17",92.47,93.5,92.25,92.91,53.2293,2401800
"2017-02-21",93.24,94.71,92.86,94.52,54.1517,2704500
"2017-02-22",94.02,94.79,93.67,94.01,53.8595,2244400
"2017-02-23",94.22,94.65,92.6,93.13,53.3553,2015100
"2017-02-24",92.23,92.5,91.36,92.43,52.9543,2639200
"2017-02-27",91.32,92.64,90.58,91.33,52.3241,2683900
"2017-02-28",91.02,91.68,89.86,91.24,52.2725,4352800
"2017-03-01",92.61,94.83,92.55,93.89,53.7907,3413400
"2017-03-02",92.94,93.51,92.22,92.29,53.3571,2671900
"2017-03-03",92.3,92.67,91.74,92.24,53.3282,1672600
"2017-03-06",91.95,92.32,91.4,91.55,52.9293,2361900
"2017-03-07",91.33,91.5,90.26,91.23,52.7443,2455300
"2017-03-08",91.19,91.5,89.52,89.79,51.9118,2968300
"2017-03-09",89.9,89.91,88.61,89.5,51.7441,3085600
