date,open,high,low,close,adjclose,volume
"2016-09-26",30.25,30.375,30.05,30.235,25.0311,1912200
"2016-09-27",30.155,30.695,30,30.66,25.383,3059400
"2016-09-28",30.705,30.89,30.54,30.825,25.5196,2670000
"2016-09-29",30.825,31.19,30.445,30.985,25.652,3943600
"2016-09-30",31.055,31.365,30.925,31.07,25.7224,5265200
"2016-10-03",31.03,31.215,30.825,30.91,25.5899,2433600
"2016-10-04",30.89,31.1,30.56,30.66,25.383,2563400
"2016-10-05",30.83,31.3,30.75,31.06,25.7141,2803800
"2016-10-06",31.06,31.3,30.895,31.29,25.9046,3033800
"2016-10-07",31.3,31.3,30.76,31.03,25.6893,2369400
"2016-10-10",31.15,31.28,30.615,30.655,25.3788,2724800
"2016-10-11",30.55,30.7,29.54,29.845,24.7083,4868600
"2016-10-12",29.755,29.795,29.235,29.5,24.4226,5796800
"2016-10-13",29.265,29.265,28.76,29.205,24.1784,4045400
"2016-10-14",29.39,29.87,29.24,29.5,24.4226,4057600
"2016-10-17",29.45,29.705,29.33,29.35,24.2985,2694800
"2016-10-18",29.705,29.815,29.395,29.43,24.3647,3481000
"2016-10-19",29.36,30.135,29.21,30.005,24.8407,6165200
"2016-10-20",29.905,30.04,29.55,29.855,24.7165,2602400
"2016-10-21",29.705,29.83,29.395,29.75,24.6296,2008200
"2016-10-24",29.965,30.35,29.965,30.32,25.1015,2318600
"2016-10-25",30.33,30.59,30.295,30.455,25.2133,3309000
"2016-10-26",30.265,30.38,30.055,30.275,25.0642,3104000
"2016-10-27",30.375,30.71,30.07,30.18,24.9856,3226200
"2016-10-28",30.23,30.51,30.045,30.15,24.9608,2126000
"2016-10-31",30.345,30.605,30.265,30.275,25.0642,4822000
"2016-11-01",30.4,30.445,29.75,30.09,24.9111,3987200
"2016-11-02",30.11,30.34,29.89,29.93,24.7786,4126200
"2016-11-03",29.99,30.09,29.69,29.815,24.6834,2423400
"2016-11-04",29.76,30.26,29.725,30.11,24.9276,4218400
"2016-11-07",30.56,31.165,30.45,31.115,25.7597,6885200
"2016-11-08",32.615,32.805,31.595,31.98,26.4758,10176600
"2016-11-09",31.105,32.36,30.775,32.155,26.6207,6642400
"2016-11-10",32.27,32.71,31.055,31.22,25.8466,10097000
"2016-11-11",31.22,31.605,31.08,31.575,26.1405,4819400
"2016-11-14",31.84,31.905,31.55,31.765,26.2978,4827600
"2016-11-15",31.815,32.63,31.73,32.595,26.9849,4592400
"2016-11-16",32.385,32.865,32.25,32.825,27.1753,3663400
"2016-11-17",32.655,32.95,32.415,32.725,27.2424,3157400
"2016-11-18",32.58,32.725,32.13,32.285,26.8761,6136800
"2016-11-21",32.45,32.805,32.31,32.6,27.1383,5826400
"2016-11-22",32.59,32.83,32.42,32.785,27.2923,4657800
"2016-11-23",32.75,33.06,32.64,33.055,27.5171,3424600
"2016-11-25",32.98,33.125,32.92,33.04,27.5046,1251800
"2016-11-28",32.99,33.405,32.82,32.95,27.4297,4067200
"2016-11-29",32.88,33.165,32.745,33.015,27.4838,3885000
"2016-11-30",33.005,33.38,32.77,33.09,27.5462,6499600
"2016-12-01",33.165,33.195,30.385,30.615,25.4859,17624800
"2016-12-02",30.595,31.35,30.425,31.025,25.8272,5464800
"2016-12-05",31.365,31.855,31.195,31.615,26.3183,5873600
"2016-12-06",31.61,31.85,31.49,31.745,26.4266,4300400
"2016-12-07",31.76,32.295,31.52,32.25,26.8469,3257200
"2016-12-08",32.28,32.635,32.095,32.595,27.1341,3643400
"2016-12-09",32.66,32.68,32.07,32.265,26.8594,2911400
"2016-12-12",32.185,32.29,31.475,31.805,26.4765,3341000
"2016-12-13",32.09,32.7,32.005,32.55,27.0967,2651200
