date,open,high,low,close,adjclose,volume
"2016-09-26",108.8,109.83,106.21,108.99,99.2415,877100
"2016-09-27",108.64,110.03,108.39,109.99,100.152,1054600
"2016-09-28",110.1,110.16,108.24,109.57,99.7696,1040200
"2016-09-29",109.53,110.45,107.46,107.75,98.1124,1475300
"2016-09-30",108.37,109.03,108.09,108.28,98.595,1672300
"2016-10-03",107.92,109.47,107.3,109.28,99.5055,1455600
"2016-10-04",109.66,110,107.92,108.38,98.686,722300
"2016-10-05",108.46,109.5,108.46,108.49,98.7862,718600
"2016-10-06",108.24,108.92,107.7,108.86,99.1231,580100
"2016-10-07",108.93,108.95,107.85,108.26,98.5767,514800
"2016-10-10",109.33,109.98,109.05,109.15,99.3871,429400
"2016-10-11",109,109,106.95,107.58,97.9576,632500
"2016-10-12",107.7,108.52,107.51,108.26,98.5767,553300
"2016-10-13",106.88,107.25,105.83,106.61,97.0743,938500
"2016-10-14",107.84,108.31,106.96,107.08,97.5023,692500
"2016-10-17",106.96,107.38,106.5,106.7,97.1563,657700
"2016-10-18",107.87,108.28,106.96,107.8,98.1579,1252500
"2016-10-19",108.21,108.75,107.54,108.4,98.7042,744100
"2016-10-20",108.23,108.99,107.86,108.09,98.422,1401100
"2016-10-21",104.61,105.81,101.94,102.24,93.0952,3985100
"2016-10-24",102.98,103.51,102.65,102.84,93.6416,1619000
"2016-10-25",102.92,103.58,102.54,102.77,93.5778,1017100
"2016-10-26",102.45,103.17,101.63,102.13,92.995,1271800
"2016-10-27",102.69,103.19,101.96,102.16,93.0224,1350400
"2016-10-28",102.56,102.87,100.79,101.17,92.1209,816600
"2016-10-31",101.35,101.67,100.41,100.52,91.5291,1216100
"2016-11-01",101.02,101.12,98.62,99.04,90.1814,1467700
"2016-11-02",99.04,99.36,97.85,97.96,89.198,755200
"2016-11-03",98.11,98.82,97.73,98.06,89.2891,1556100
"2016-11-04",98.33,98.67,97.58,97.61,88.8794,1253600
"2016-11-07",99.68,100,99.04,99.58,90.6731,888300
"2016-11-08",99.55,100.38,98.87,99.68,90.7642,744500
"2016-11-09",99.67,101.45,98.73,100.67,91.6656,1792700
"2016-11-10",101.39,102.66,99.2,100.27,91.3014,1142800
"2016-11-11",99.69,100.65,99.69,100.44,91.4562,818400
"2016-11-14",100.92,101.18,99.56,100.06,91.1102,1220500
"2016-11-15",99.73,99.97,98.53,99.29,90.409,1013200
"2016-11-16",98.65,99.12,98.1,98.68,89.8537,1137500
"2016-11-17",98.45,101.2,98.32,101.2,92.495,1307700
"2016-11-18",100.97,101.47,99.75,100.56,91.9101,1029300
"2016-11-21",100.9,101.25,100.63,101.13,92.431,545100
"2016-11-22",101.21,101.82,100.51,101.66,92.9155,673400
"2016-11-23",101.23,101.96,100.36,100.86,92.1843,556200
"2016-11-25",100.87,101.57,100.87,101.02,92.3305,307300
"2016-11-28",100.49,101.55,100.35,100.89,92.2117,862700
"2016-11-29",101.04,101.5,100.31,101.09,92.3945,714500
"2016-11-30",101.65,102.06,100.46,100.5,91.8552,861800
"2016-12-01",100.68,101.13,97.01,97.25,88.8848,1266200
"2016-12-02",97.12,97.98,96.22,97.62,89.223,1053700
"2016-12-05",98.39,98.75,96.7,96.83,88.501,1270200
"2016-12-06",97.29,97.45,96.08,96.91,88.5741,1286900
"2016-12-07",97.18,98.44,96.43,97.9,89.4789,2022200
"2016-12-08",97.8,98.62,97.28,98.07,89.6343,1149500
"2016-12-09",97.99,100.19,97.74,99.77,91.188,956000
"2016-12-12",99.31,99.71,98.1,98.27,89.8171,819100
"2016-12-13",98.39,99.73,97.03,99.5,90.9413,675000
"2016-12-14",99.19,100.27,97.25,97.45,89.0676,810800
"2016-12-15",97.79,98.51,96.64,96.76,88.437,1284200
"2016-12-16",96.9,97.26,96.31,96.47,88.1719,1628900
"2016-12-19",96.47,97.03,95.11,95.92,87.6692,1211700
"2016-12-20",96.67,96.96,96.27,96.75,88.4278,635700
"2016-12-21",96.57,97.07,96.13,96.49,88.1902,750500
"2016-12-22",96.45,96.67,95.45,95.86,87.6144,854200
"2016-12-23",95.84,96.35,95.37,95.42,87.2122,644100
"2016-12-27",95.81,95.94,95.4,95.7,87.4681,369100
"2016-12-28",95.75,96.03,94.65,94.69,86.545,609300
"2016-12-29",94.8,95.11,94.26,94.29,86.1794,536600
"2016-12-30",94.64,94.69,93.85,94.27,86.1611,519500
"2017-01-03",95.01,96.63,94.75,95.47,87.2579,1180900
"2017-01-04",95.55,97.24,95.34,97.09,88.7385,859900
"2017-01-05",96.8,97.96,96.7,97.86,89.4423,1274500
"2017-01-06",98.02,98.76,97.96,98.3,89.8445,1065100
"2017-01-09",97.97,98.33,96.82,96.86,88.5284,682000
"2017-01-10",94.52,95.5,93.51,94.67,86.5267,1423000
"2017-01-11",94.43,95.38,94.3,95.02,86.8466,1121400
"2017-01-12",94.52,97.19,93.87,96.5,88.1993,1472600
"2017-01-13",96.87,98.02,96.7,96.96,88.6197,847500
"2017-01-17",97.1,100.75,96.98,99.15,90.6214,1928900
"2017-01-18",99.63,99.69,97.89,99.33,90.7859,1242400
"2017-01-19",99.06,100.28,99.06,99.96,91.3617,1755300
"2017-01-20",100.42,101.17,100.13,101.02,92.3305,1491500
"2017-01-23",100.77,101.86,100.66,101.77,93.016,1322600
"2017-01-24",101.93,102.45,101.26,101.95,93.1805,1039200
"2017-01-25",102.79,103.98,102.26,103.73,94.8074,1333900
"2017-01-26",103.62,104.63,103.62,104.07,95.1182,1355500
"2017-01-27",104.12,104.25,103.56,103.98,95.0359,790200
"2017-01-30",103.99,103.99,103.13,103.76,94.8348,1075200
"2017-01-31",103.51,103.79,102.96,103.67,94.7526,1046700
"2017-02-01",103.96,104.13,103.03,103.55,94.6429,1351600
"2017-02-02",98.25,104.58,98.25,104.42,95.4381,798800
"2017-02-03",104.99,106.63,104.92,106.17,97.0375,1061800
"2017-02-06",105.55,106.99,105.55,106.76,97.5768,1033400
"2017-02-07",107.86,109.57,106.92,107.06,97.851,1847700
"2017-02-08",107.15,107.46,106.48,106.82,97.6316,995400
"2017-02-09",107.39,107.65,106.67,107.58,98.3263,782400
"2017-02-10",107.5,108.31,107.27,108,98.7101,693200
"2017-02-13",108.66,109.17,108.22,109.03,99.6515,580000
"2017-02-14",108.24,109.26,108.12,109.26,99.8617,741300
"2017-02-15",109.03,110.04,109,109.85,100.7514,661400
"2017-02-16",109.93,110.36,109.27,110.22,101.0908,1031300
"2017-02-17",109.64,112.98,109.55,112.9,103.5488,2024100
"2017-02-21",112.14,113.14,111.59,112.87,103.5213,1870700
"2017-02-22",112.43,114.03,112.43,113.56,104.1541,1477000
"2017-02-23",113.74,114.02,112.66,113.23,103.8514,1117500
"2017-02-24",112.77,113.29,111.15,113.29,103.9065,923800
"2017-02-27",113.29,113.29,110.77,112.05,102.7692,1958400
"2017-02-28",111.91,112.31,111.02,111.37,102.1455,1387400
"2017-03-01",112.65,113.51,112.31,113.2,103.8239,1208100
"2017-03-02",112.6,112.78,111.93,112.47,103.1544,870400
"2017-03-03",112.47,112.89,112.16,112.62,103.292,814900
"2017-03-06",111.78,112.71,111.62,112.27,102.971,733200
"2017-03-07",111.88,113,111.88,112.66,103.3287,737700
"2017-03-08",112.76,113.15,112.33,112.68,103.347,938200
"2017-03-09",112.99,113,112.13,112.48,103.1636,865000
"2017-03-10",112.82,112.94,111.83,111.93,102.6591,1010900
"2017-03-13",112.07,112.5,111.45,112.15,102.8609,961800
"2017-03-14",112,112.34,111.43,112.11,102.8242,605900
"2017-03-15",112.71,113.3,111.96,112.89,103.5396,846800
"2017-03-16",113.01,113.8,112.95,113.54,104.1358,765200
"2017-03-17",113.61,113.75,111.92,111.94,102.6683,967000
"2017-03-20",111.9,113.06,111.66,112.26,102.9618,647200
"2017-03-21",112.85,113.11,110.56,110.88,101.6961,838500
"2017-03-22",110.84,111.23,110.11,111.13,101.9254,1059000
"2017-03-23",111.17,112.95,111.04,112.17,102.8792,972400
"2017-03-24",112.43,113.48,112.06,112.47,103.1544,907200
"2017-03-27",111.06,112.12,110.81,111.41,102.1822,654600
"2017-03-28",111.3,111.74,110.88,111.26,102.0446,915900
"2017-03-29",110.91,111.7,110.28,111.45,102.2189,1067900
"2017-03-30",111.39,111.92,110.84,111.62,102.3748,857600
"2017-03-31",111.16,112.7,110.93,112.04,102.76,888700
"2017-04-03",112.14,113.17,110.93,111.9,102.6316,1030900
"2017-04-04",111.52,111.75,110.82,111.38,102.1547,659600
"2017-04-05",111.95,114.07,111.5,113.07,103.7047,1514900
"2017-04-06",112.92,113.68,111.99,113.34,103.9523,936500
"2017-04-07",112.9,113.98,112.9,113.28,103.8973,873000
"2017-04-10",113.29,113.49,112.58,112.94,103.5854,589500
"2017-04-11",112.55,113.39,112.47,113.38,103.989,672600
"2017-04-12",112.64,113.34,111.94,112.98,103.6222,748700
"2017-04-13",112.7,113.55,112.41,112.43,103.1177,515000
"2017-04-17",113.14,114.42,112.85,114.27,104.8053,709500
"2017-04-18",113.87,114.75,113.29,114.14,104.6861,677700
"2017-04-19",114.43,114.9,114.15,114.38,104.9062,556500
"2017-04-20",114.71,115.91,114.47,115.36,105.805,563600
"2017-04-21",115.39,115.82,114.28,115.02,105.4932,682100
"2017-04-24",116.61,118.12,116.45,117.7,107.9512,1097000
"2017-04-25",116.76,118.88,116.57,118.07,108.2906,823500
"2017-04-26",117.97,119.09,117.97,118.75,108.9142,567500
"2017-04-27",119,119.67,118.82,119.43,109.5379,416900
"2017-04-28",119.26,119.33,118.22,118.32,108.5198,669000
"2017-05-01",118.31,119.17,117.54,117.9,108.1346,802200
"2017-05-02",118.03,119.28,117.8,118.85,109.006,872300
"2017-05-03",118.74,118.83,118.04,118.65,108.8225,614500
"2017-05-04",118.79,119.87,118.5,119.4,109.5104,1205100
"2017-05-05",119.89,119.99,116.54,118.23,108.4373,1168400
"2017-05-08",118.02,118.09,116.31,116.68,107.0157,762000
