date,open,high,low,close,adjclose,volume
"2016-09-26",59.666,59.7137,59.0458,59.3034,43.6994,7319022
"2016-09-27",59.4561,59.8282,58.9981,59.7042,43.9947,7693158
"2016-09-28",60.1145,60.5725,59.6374,60.4008,44.508,12361160
"2016-09-29",60.1336,60.1336,58.7405,59.0744,43.5306,11454640
"2016-09-30",59.0553,59.8569,59.0267,59.5515,43.8822,14258354
"2016-10-03",59.3702,59.7042,58.8454,59.6565,43.9595,7881065
"2016-10-04",59.6183,60.0668,59.1031,59.5992,43.9173,8276475
"2016-10-05",59.8282,60.1527,59.6183,59.9237,44.1564,8249122
"2016-10-06",59.6279,59.8187,58.9122,59.7901,44.058,11979164
"2016-10-07",59.895,60.105,59.1889,59.895,44.1353,11292410
"2016-10-10",61.2691,61.8893,60.5344,60.9733,44.9298,21322503
"2016-10-11",60.6202,60.6393,58.9218,59.0935,43.5447,14625259
"2016-10-12",59.542,59.7615,58.7595,58.8359,43.3548,10607751
"2016-10-13",59.3989,60.0668,59.1031,59.6469,43.9525,15239492
"2016-10-14",59.8473,59.9809,59.2844,59.2939,43.6923,12790002
"2016-10-17",59.208,59.208,58.0153,58.7023,43.2564,13681221
"2016-10-18",59.0649,59.7519,58.9981,59.2462,43.6572,10467424
"2016-10-19",59.2844,59.4466,58.979,59.0363,43.5025,5850670
"2016-10-20",59.1126,59.4179,58.8645,59.084,43.5377,6626923
"2016-10-21",58.7309,59.0649,58.2347,58.3969,43.0314,7762222
"2016-10-24",58.5878,58.6641,57.8626,57.9676,42.715,10420264
"2016-10-25",57.5095,59.3416,56.8225,59.1126,43.5587,15917548
"2016-10-26",58.9122,59.0172,57.7767,58.0821,42.7993,10435774
"2016-10-27",58.3492,59.2176,58.2061,58.4828,43.0947,10847534
"2016-10-28",58.2252,58.2729,55.7729,56.145,41.372,21335603
"2016-10-31",56.3836,56.4408,55.6966,56.0305,41.2876,14939030
"2016-11-01",56.2977,56.8607,55.8302,56.584,41.6954,15036075
"2016-11-02",56.355,56.7844,56.0592,56.145,41.372,11239486
"2016-11-03",56.4695,56.5076,55.6202,55.7538,41.0837,11866504
"2016-11-04",56.0019,56.5553,55.9256,56.126,41.3579,11861893
"2016-11-07",56.7939,57.4523,56.7557,57.2996,42.2228,10981258
"2016-11-08",57.0802,57.9962,56.7939,57.7385,42.5462,8323321
"2016-11-09",61.0305,62.0229,59.8855,61.2405,45.1267,29187953
"2016-11-10",61.584,62.4618,61.5649,61.9847,45.6752,18719690
"2016-11-11",61.145,61.5553,60.6679,61.021,44.965,14734566
"2016-11-14",61.0687,61.1546,60.3435,60.6202,44.6697,10610476
"2016-11-15",60.7634,60.8111,60.1908,60.7347,44.7541,7640339
"2016-11-16",60.7824,61.021,59.5897,59.7615,44.0369,11297650
"2016-11-17",59.6469,59.9141,59.2748,59.8282,44.0861,8762642
"2016-11-18",59.7042,59.7519,58.9027,59.0363,43.5025,8066351
"2016-11-21",59.1031,59.5324,58.8931,59.4466,43.8048,7164862
"2016-11-22",59.6374,59.7805,58.4065,58.874,43.383,10052626
"2016-11-23",57.5668,58.874,57.0802,58.8168,43.3408,9588152
"2016-11-25",58.9885,59.542,58.9218,59.3607,43.7416,3669362
"2016-11-28",58.9504,59.2176,58.7977,58.9695,43.4533,7806971
"2016-11-29",59.1126,59.5992,59.084,59.3416,43.7275,10516575
"2016-11-30",59.4561,59.4656,58.1966,58.3874,43.0244,13132174
"2016-12-01",58.4924,58.5592,57.8721,57.9771,42.722,8802047
"2016-12-02",58.2538,58.7023,57.8531,58.3302,42.9822,8376769
"2016-12-05",58.7023,58.7118,57.0992,57.4905,42.3634,13608490
"2016-12-06",57.4237,57.624,56.8798,57.5191,42.3845,11171261
"2016-12-07",56.9656,57.3092,55.9351,57.3092,42.2298,14723981
"2016-12-08",56.9943,57.5954,56.7748,57.3664,42.272,8998757
"2016-12-09",57.7195,58.6927,57.6336,58.4256,43.0525,11021187
"2016-12-12",58.626,59.2557,58.4924,58.8931,43.397,8641808
"2016-12-13",58.9695,59.1221,58.4447,58.9599,43.7796,8218626
"2016-12-14",59.0172,59.8855,58.7691,58.9695,43.7867,11612574
"2016-12-15",59.1603,59.771,59.0076,59.5134,44.1906,8917851
"2016-12-16",59.7901,60.1431,59.208,59.5802,44.2402,18406758
"2016-12-19",58.9695,59.4179,58.0821,58.3397,43.3191,12512072
"2016-12-20",58.3874,58.855,57.605,57.729,42.8656,10875201
"2016-12-21",57.8149,58.0248,56.6221,56.708,42.1075,12630706
"2016-12-22",56.8893,57.2519,56.4504,56.8511,42.2138,10584800
"2016-12-23",57.0324,57.1183,56.5363,56.8321,42.1996,7955892
"2016-12-27",57.1279,57.3855,56.8321,57.0515,42.3626,6094749
"2016-12-28",56.9847,57.1183,56.4981,56.5553,41.9941,6470981
"2016-12-29",56.5744,56.8607,56.2786,56.3359,41.8312,6833065
"2016-12-30",56.0878,56.25,55.8779,56.1737,41.7107,11289685
"2017-01-03",56.4408,57.6145,56.3454,57.395,42.6176,12564158
"2017-01-04",57.729,58.0057,57.2901,57.376,42.6035,9863671
"2017-01-05",57.4618,57.8053,57.2519,57.3569,42.5893,10581446
"2017-01-06",57.3378,57.6908,56.8034,57.5095,42.7027,10730053
"2017-01-09",57.5382,58.6641,57.3282,58.3015,43.2907,10201861
"2017-01-10",58.3969,58.4351,57.1469,57.1756,42.4547,16036706
"2017-01-11",59.4847,60.2672,57.9676,58.8073,43.6663,34281862
"2017-01-12",59.666,60.3435,59.2748,59.3607,44.0772,26079899
"2017-01-13",59.4752,59.8092,59.2557,59.4847,44.1693,10447617
"2017-01-17",59.084,59.2271,58.3969,58.6641,43.56,11101150
"2017-01-18",58.5687,58.9504,58.2824,58.3683,43.3403,8522022
"2017-01-19",58.2538,58.2824,57.3187,57.5668,42.7452,11944999
"2017-01-20",59.542,60.0382,59.3034,59.666,44.3039,26451834
"2017-01-23",58.979,59.542,58.8073,58.979,43.7938,10691382
"2017-01-24",58.7691,58.8645,57.9485,58.4065,43.3687,10990900
"2017-01-25",58.5115,58.5687,57.9771,58.2824,43.2766,15255736
"2017-01-26",58.2252,58.5496,57.7672,58.3969,43.3616,13317460
"2017-01-27",58.5687,59.1508,58.4924,58.9218,43.7513,6972554
"2017-01-30",58.7023,58.8836,58.1393,58.6164,43.5246,8230573
"2017-01-31",58.2634,59.3893,58.1298,59.1508,43.9213,10292513
"2017-02-01",59.2176,59.4179,58.7405,59.2557,43.9993,11547702
"2017-02-02",59.771,61.2691,59.666,61.2405,45.473,19901730
"2017-02-03",60.9351,61.3836,60.3721,61.3454,45.5509,12209724
"2017-02-06",60.9924,61.9752,60.9733,61.9656,46.0115,9598422
"2017-02-07",61.7939,61.9561,61.1164,61.2595,45.4871,8840194
"2017-02-08",60.9733,61.5267,60.9065,61.374,45.5722,6190326
"2017-02-09",61.374,61.8511,61.355,61.4408,45.6218,7391439
"2017-02-10",61.374,61.6126,61.0305,61.2118,45.4517,8940907
"2017-02-13",61.3073,61.8607,61.2786,61.8034,45.891,7494353
"2017-02-14",61.6794,62.7099,61.479,62.6527,46.5216,10629550
"2017-02-15",61.9275,62.8531,61.8798,62.1756,46.1673,18662050
"2017-02-16",62.1565,62.4141,61.5076,62.271,46.2382,12938922
"2017-02-17",62.2137,62.5573,61.8893,62.395,46.3303,9482618
"2017-02-21",61.9275,62.7672,61.9275,62.4809,46.3941,7740633
"2017-02-22",62.5,62.7385,62.1088,62.2996,46.2594,9096221
"2017-02-23",62.5191,63.0821,62.3569,62.834,46.6562,7184669
"2017-02-24",62.6431,63.1298,62.624,63.1298,46.8759,8849626
"2017-02-27",62.7672,62.9198,62.5573,62.834,46.6562,7476222
"2017-02-28",62.7958,63.1202,62.6431,62.8531,46.6704,8112044
"2017-03-01",63.0439,63.7405,62.8721,63.1775,46.9113,11193374
"2017-03-02",63.3397,63.5305,62.9771,63.0534,46.8192,9062790
"2017-03-03",63.0534,63.5687,62.7958,63.5305,47.1734,8716111
"2017-03-06",63.0534,63.7214,62.8817,63.4256,47.0955,9104500
"2017-03-07",62.4332,63.2729,62.2042,62.9389,46.7341,8728478
"2017-03-08",62.9389,63.0916,62.2805,62.7863,46.6208,8821645
"2017-03-09",62.9485,63.0057,62.5191,62.8721,46.6846,8106280
"2017-03-10",63.0439,63.1679,62.5,62.5954,46.4791,9247447
"2017-03-13",62.2519,62.2996,61.0782,61.2118,45.7797,14880133
"2017-03-14",61.1927,61.5553,61.1164,61.2595,45.8154,8271759
"2017-03-15",61.4504,61.9943,61.2786,61.7366,46.1722,9458200
"2017-03-16",61.6126,61.8225,61.0592,61.2405,45.8011,10074634
"2017-03-17",61.3073,61.7366,60.9637,60.9733,45.6013,15142762
"2017-03-20",61.2023,61.355,61.0687,61.1737,45.7512,13593818
"2017-03-21",61.374,61.6508,60.7061,60.9828,45.6084,11057134
"2017-03-22",61.0496,61.1737,60.3531,60.5916,45.3159,10007352
"2017-03-23",60.458,60.8969,60.2958,60.3817,45.1589,9915128
"2017-03-24",60.2672,60.6202,59.9809,60.2863,45.0875,9575052
"2017-03-27",60.0382,60.5057,59.9332,60.2958,45.0946,8400663
"2017-03-28",60.3053,60.4962,60,60.4389,45.2017,10673880
"2017-03-29",60.7538,61.1737,60.5534,60.7252,45.4158,8525794
"2017-03-30",60.5916,60.7634,60.4198,60.5439,45.2802,5577456
"2017-03-31",60.3626,60.7156,60.3531,60.6298,45.3444,7979472
"2017-04-03",60.5248,60.792,60.3244,60.563,45.2944,6962493
"2017-04-04",60.6775,60.8492,60.4676,60.7538,45.4372,6650189
"2017-04-05",60.7729,61.2118,60.6011,60.6584,45.3658,8083538
"2017-04-06",60.5725,61.0401,60.2958,60.3435,45.1303,7915125
"2017-04-07",60.3817,60.4294,60.0668,60.2385,45.0518,8091713
"2017-04-10",60.3721,60.4294,59.666,59.6851,44.6379,7595590
"2017-04-11",59.6279,59.8855,59.3321,59.7137,44.6593,6858950
"2017-04-12",59.5134,60.3149,59.4275,60.1622,44.9947,9965642
