date,open,high,low,close,adjclose,volume
"2016-09-26",85.94,86.53,85.4,85.48,76.5352,568500
"2016-09-27",85.28,85.75,84.93,85.31,76.383,588400
"2016-09-28",85.34,85.58,84.09,84.9,76.0159,563600
"2016-09-29",84.83,85.01,83.33,83.52,74.7803,343700
"2016-09-30",83.99,84.28,83.54,83.94,75.1564,499000
"2016-10-03",83.77,84.13,83.2,83.51,74.7714,422000
"2016-10-04",83.95,84.04,82.74,83.02,74.3326,459800
"2016-10-05",83.13,84,83.09,83.21,74.5027,470000
"2016-10-06",83.32,83.32,81.9,83.12,74.4221,599000
"2016-10-07",83.29,83.37,82.29,82.66,74.0103,551700
"2016-10-10",83.29,83.69,82.85,82.97,74.2878,356600
"2016-10-11",80.84,81.5,78.63,80.1,71.7182,1894600
"2016-10-12",79.88,82.27,79.88,81.92,73.3477,941500
"2016-10-13",81.23,82.15,81,81.96,73.3835,1261100
"2016-10-14",82.56,83.35,82.51,82.91,74.2341,664300
"2016-10-17",82.79,83.27,82.74,82.92,74.2431,428000
"2016-10-18",83.65,83.76,82.84,83,74.3147,304400
"2016-10-19",82.95,83.05,82.55,82.93,74.2521,303200
"2016-10-20",82.81,83.42,82.4,82.43,73.8044,274900
"2016-10-21",81.92,82.98,81.21,82.9,74.2252,263400
"2016-10-24",83.88,83.88,83.1,83.22,74.5117,224900
"2016-10-25",83.34,83.57,82.8,83.19,74.4848,267800
"2016-10-26",82.68,83.54,82.68,82.93,74.2521,521000
"2016-10-27",84.22,84.22,79.45,79.6,71.2705,1003900
"2016-10-28",79.73,79.86,78.88,78.95,70.6885,647300
"2016-10-31",79.54,80.48,79.4,80.19,71.7988,914200
"2016-11-01",80.57,80.61,78.92,79.18,70.8944,524500
"2016-11-02",79.04,79.74,78.77,78.82,70.5721,542800
"2016-11-03",79.09,79.89,78.96,79.08,70.8049,561200
"2016-11-04",79.18,80.48,79.18,79.37,71.0646,544700
"2016-11-07",80.5,81.15,79.93,80.86,72.3986,542200
"2016-11-08",80.71,81.96,80.28,81.08,72.5956,452600
"2016-11-09",80,81.94,79.21,81.79,73.4851,645900
"2016-11-10",82.21,82.92,80.88,81.17,72.9281,483100
"2016-11-11",80.99,81.69,79.94,80,71.8769,661400
"2016-11-14",80.59,80.76,77.46,77.56,69.6846,837300
"2016-11-15",77.05,78.3,76.64,77.51,69.6397,824800
"2016-11-16",77.37,78.98,77.26,77.93,70.017,633900
"2016-11-17",78.44,79.67,77.72,79.5,71.4276,556800
"2016-11-18",79.58,79.95,79.37,79.69,71.5983,557500
"2016-11-21",80.24,80.69,80.01,80.41,72.2452,480300
"2016-11-22",80.61,80.8,79.75,80.01,71.8858,370800
"2016-11-23",79.79,80.21,79.29,80.19,72.0476,363800
"2016-11-25",80.27,81,80.25,80.78,72.5777,196700
"2016-11-28",80.35,80.93,80.19,80.28,72.1284,342300
"2016-11-29",80.59,81.19,80.5,80.63,72.4429,396300
"2016-11-30",81.07,81.07,78.76,78.8,70.7987,982300
"2016-12-01",78.75,79.26,76.52,77.14,69.3073,1012700
"2016-12-02",77.46,79.36,77.38,79.33,71.2749,593800
"2016-12-05",79.81,80.95,79.81,80.75,72.5507,496300
"2016-12-06",80.82,81,78.8,79.49,71.4186,887600
"2016-12-07",79.86,80.87,78.73,80.76,72.5597,541600
"2016-12-08",80.65,81.01,79.89,80.7,72.5058,584100
"2016-12-09",80.85,81.76,80.78,81.46,73.1886,375800
"2016-12-12",81.25,81.32,80.24,80.48,72.3081,645900
"2016-12-13",81.02,81.83,80.85,81.04,72.8113,794100
"2016-12-14",81.13,81.79,79.42,79.85,71.7421,604700
"2016-12-15",79.81,81.27,79.78,80.54,72.362,637700
"2016-12-16",80.81,80.88,79.86,79.9,71.787,1208100
"2016-12-19",79.78,80.86,79.78,80.25,72.1015,433900
"2016-12-20",80.14,80.89,79.93,80.74,72.5417,866900
"2016-12-21",80.64,80.84,79.6,79.66,71.5714,474900
"2016-12-22",79.54,79.77,77.75,78.49,70.5201,748400
"2016-12-23",78.75,78.87,78.21,78.59,70.61,468800
