date,open,high,low,close,adjclose,volume
"2016-09-26",93.07,94.05,92.84,93.28,76.2416,1114700
"2016-09-27",93.25,94.72,93.15,94.48,77.2224,1086500
"2016-09-28",94.5,95.62,94.17,95.53,78.0807,1100000
"2016-09-29",95.55,95.87,94.84,95.15,77.7701,1796500
"2016-09-30",95.52,97.28,95.29,97.06,79.3312,1921300
"2016-10-03",96.59,97.12,96.33,96.91,79.2086,1350200
"2016-10-04",97.11,97.73,95.37,95.79,78.2932,1456800
"2016-10-05",96.23,97.17,96.05,97.04,79.3148,1200000
"2016-10-06",97.04,97.82,96.65,97.45,79.6499,1638500
"2016-10-07",97.3,97.4,96.05,96.78,79.1023,1441700
"2016-10-10",97.22,97.59,95.69,95.83,78.3258,1743000
"2016-10-11",96.59,97,94.25,94.67,77.3777,3044200
"2016-10-12",93.85,94.34,93.2,93.42,76.3561,2167300
"2016-10-13",92.81,95.03,92.47,94.82,77.5004,1923000
"2016-10-14",95.51,96.4,94.85,94.94,77.5984,1473600
"2016-10-17",94.82,95.53,94.57,94.84,77.5167,1021400
"2016-10-18",95.25,95.69,94.48,94.98,77.6311,999300
"2016-10-19",95.25,96.38,94.9,95.64,78.1706,1009200
"2016-10-20",95.01,95.15,92.94,93.13,76.119,1569400
"2016-10-21",92.35,93.01,92.07,92.92,75.9474,1884700
"2016-10-24",93.84,94.27,92.85,92.95,75.9719,1350500
"2016-10-25",92.79,93.56,92.56,93.27,76.2335,2111300
"2016-10-26",91.9,92.37,89.95,90.03,73.5853,2340800
"2016-10-27",90.65,91.58,90.53,91.35,74.6642,2478600
"2016-10-28",91.51,93.16,91.36,92.27,75.4161,2454700
"2016-10-31",92.73,93.54,92.42,93,76.0128,1833800
"2016-11-01",93.28,93.29,90.98,91.6,74.8685,1552300
"2016-11-02",91.42,92.53,91.32,91.99,75.6747,1687900
"2016-11-03",92.21,92.53,91.55,91.76,75.4855,1295700
"2016-11-04",91.79,92.39,91.28,91.62,75.3703,766900
"2016-11-07",92.49,94.99,92.49,94.95,78.1097,1490200
"2016-11-08",94.55,96.34,94.09,96,78.9735,1553900
"2016-11-09",95.71,100.73,95.1,98.8,81.2769,5764400
"2016-11-10",99.79,101.19,99.07,100.5,82.6753,4422300
"2016-11-11",99.91,100.93,98.92,100.91,83.0126,2738100
"2016-11-14",101,104.87,100.91,103.99,85.5464,3119900
"2016-11-15",103.99,104.78,102.79,104.58,86.0317,1974200
"2016-11-16",104.07,104.38,102.7,103,84.7319,2213600
"2016-11-17",103,103.44,102.59,103.14,84.8471,2567600
"2016-11-18",102.93,103.98,102.76,103.45,85.1022,1870200
"2016-11-21",103.76,105.3,103.62,104.6,86.0482,1717700
"2016-11-22",104.93,105.5,103.75,103.92,85.4888,1828000
"2016-11-23",103.75,104.77,103.75,104.04,85.5875,1505300
"2016-11-25",104.24,104.56,103.91,104.34,85.8343,919900
"2016-11-28",103.72,104.24,102.77,103.99,85.5464,1627100
"2016-11-29",103.82,104.86,103.23,104.37,85.859,2261800
"2016-11-30",105,107.32,104.75,106.46,87.5783,3335100
"2016-12-01",106.87,107.89,106.58,106.83,87.8827,2059500
"2016-12-02",106.65,107.1,105.09,105.6,86.8708,1781800
"2016-12-05",106.2,106.92,105.62,105.96,87.1669,1745400
"2016-12-06",105.96,106.25,105.16,106.21,87.3727,1356600
"2016-12-07",106.64,109.86,106.05,109.75,90.2848,1920600
"2016-12-08",109.88,110.38,109,110.02,90.5069,1360500
"2016-12-09",109.89,110.72,109.13,110.6,90.984,1457000
"2016-12-12",110.78,111.43,109.4,110.69,91.058,1854500
"2016-12-13",110.83,111.39,108.45,109.83,90.3506,1793200
"2016-12-14",109.54,110.24,107.46,107.58,88.4997,1867100
"2016-12-15",107.23,109.24,106.79,108.11,88.9356,1374800
"2016-12-16",108.09,108.18,106.11,106.67,87.751,2614000
"2016-12-19",106.56,107.17,106.17,106.93,87.9649,1302300
"2016-12-20",107.25,108.35,107.05,108.17,88.985,1197400
"2016-12-21",108.33,108.98,107.57,108.05,88.8863,1292200
"2016-12-22",107.65,108.79,107.46,108.78,89.4868,1645400
"2016-12-23",108.66,109.79,108.19,109.28,89.8981,2118500
"2016-12-27",109.34,109.87,109.32,109.45,90.038,856000
"2016-12-28",109.41,110.26,108.62,108.72,89.4375,1034300
"2016-12-29",108.86,109.32,107.77,108.82,89.5197,926800
"2016-12-30",108.85,108.99,107.5,108.07,88.9027,1487300
"2017-01-03",108.91,109.52,106.15,106.99,88.0143,1770100
"2017-01-04",107.57,110.98,107.15,110.64,91.0169,2705500
"2017-01-05",110.18,111.65,110.16,110.29,90.729,3135300
"2017-01-06",110.18,112.99,109.92,111.66,91.856,2009200
"2017-01-09",110.89,110.89,108.28,109.18,89.8159,2081800
"2017-01-10",109.23,110.05,108.33,109.26,89.8817,1814500
"2017-01-11",109.35,110.65,108.77,110.55,90.9429,1180200
"2017-01-12",110.61,111.44,109.36,111.01,91.3213,1239600
"2017-01-13",111.01,111.85,110.55,111.59,91.7984,1702800
"2017-01-17",111.18,111.45,108.47,108.9,89.5855,1876300
"2017-01-18",106.96,110.04,105.89,109.97,90.4658,2589600
"2017-01-19",115.57,116,112.56,114.42,94.1265,5852900
"2017-01-20",113.68,113.8,111.75,113.59,93.4437,2656400
"2017-01-23",113.7,113.91,112.38,113.55,93.4108,1951200
"2017-01-24",114,117.09,113.3,116.62,95.9363,3460700
"2017-01-25",117.41,121.3,116.81,120.53,99.1528,3832900
"2017-01-26",118.79,122.17,118.32,119.51,98.3138,2586500
"2017-01-27",120.18,120.62,118.95,120.35,99.0048,2190000
"2017-01-30",119.27,120.1,117.57,119.63,98.4125,2510300
"2017-01-31",119.44,119.75,117.11,117.46,96.6273,3474900
"2017-02-01",117.37,120,117.25,119.93,99.1743,2913800
"2017-02-02",119.12,120,117.61,119.47,98.7939,2305300
"2017-02-03",119.82,121.22,118.94,120.46,99.6126,1683900
"2017-02-06",120.13,120.74,118.6,119.87,99.1247,2205800
"2017-02-07",120.16,122.5,120,120.88,99.9599,2004300
"2017-02-08",120.46,121.1,119.09,120.94,100.0095,1440800
"2017-02-09",120.94,121.99,120.51,120.65,99.7697,1817400
"2017-02-10",121,121.75,119.95,121.12,100.1583,1929900
"2017-02-13",121.33,123.3,121.17,122.21,101.0597,1565000
"2017-02-14",121.83,123,121.62,122.49,101.2912,1326200
"2017-02-15",122.44,123.42,121.16,122.71,101.4732,2285800
"2017-02-16",122.63,123.32,121.72,122.93,101.6551,1482100
"2017-02-17",122.64,123.18,121.77,122.78,101.531,1267000
"2017-02-21",123.09,125,122.81,123.53,102.1513,1486000
"2017-02-22",122.86,123.09,121.9,122.32,101.1506,1734800
"2017-02-23",122.99,123.05,119.16,120.03,99.257,2379000
"2017-02-24",119,120.1,118.65,120.08,99.2983,2370600
"2017-02-27",120.2,121.22,118.93,121.12,100.1583,1872100
"2017-02-28",121.26,122.19,120.58,121.03,100.0839,1305600
"2017-03-01",122.2,124.5,121.81,123.35,102.0024,1582200
"2017-03-02",123.23,123.28,121.7,121.77,100.6959,1108100
"2017-03-03",121.93,122.51,120.83,122.4,101.2168,1790000
"2017-03-06",121.34,123.11,121.22,122.93,101.6551,1542800
"2017-03-07",122.94,123.17,121.63,122,100.886,1961200
"2017-03-08",122,122.14,119.64,119.87,99.1247,1807900
"2017-03-09",119.88,120.61,118.89,119.4,98.736,1658700
"2017-03-10",119.86,120.79,118.97,119.66,98.951,1362900
"2017-03-13",119.74,120.26,118.92,119.53,98.8435,1536200
"2017-03-14",119.58,119.58,117.79,118.35,97.8677,1664300
"2017-03-15",116.96,117.93,115.92,117.51,97.1731,3160300
"2017-03-16",117.4,117.67,115.13,115.35,95.3869,3952800
"2017-03-17",115.42,115.74,114.21,114.71,94.8577,4796600
"2017-03-20",114.89,115.52,114.24,114.84,94.9652,2530200
"2017-03-21",115.11,115.63,110.69,111.5,92.2032,3362600
"2017-03-22",111.74,112.65,111.1,111.77,92.4265,2378200
"2017-03-23",110.64,111.94,110.31,110.55,91.4177,2412600
"2017-03-24",110.8,111.51,110.14,110.66,91.5086,1276700
"2017-03-27",109.51,111.7,109.27,111.13,91.8973,1777000
"2017-03-28",111,114.38,110.78,113.32,93.7082,2243800
"2017-03-29",112.86,113.72,112.53,113.21,93.6173,1148900
"2017-03-30",113.4,115.39,113.4,114.25,94.4773,1283600
"2017-03-31",113.56,113.73,111.94,111.97,92.5919,2209100
"2017-04-03",112.23,113.93,111.9,113.5,93.8571,2288000
"2017-04-04",113.73,115.25,113.26,115.19,95.2546,2089400
"2017-04-05",115.59,117.63,114.45,114.73,94.8742,1726500
