date,open,high,low,close,adjclose,volume
"2016-09-26",64.13,64.28,63.77,63.9,60.4058,2099900
"2016-09-27",64.17,64.39,62.79,62.85,59.4133,2941300
"2016-09-28",62.37,62.59,61.75,62.38,59.4323,2050100
"2016-09-29",62.1,62.44,61.48,61.76,58.8416,2440000
"2016-09-30",62.05,62.36,60.93,61.17,58.2795,3495000
"2016-10-03",61.05,61.07,59.85,60.16,57.3172,2697000
"2016-10-04",60.22,60.22,58.46,58.82,56.0405,3700900
"2016-10-05",58.81,59.28,58.2,58.75,55.9738,4434500
"2016-10-06",58.33,59.23,58.23,59.01,56.2216,3085500
"2016-10-07",59.43,59.9,59.07,59.32,56.5169,3692800
"2016-10-10",59.41,59.59,59.16,59.47,56.6598,2413800
"2016-10-11",59.39,59.51,58.68,58.82,56.0405,2531700
"2016-10-12",58.94,59.43,58.86,59.31,56.5074,1973800
"2016-10-13",59.39,60.52,59.17,60.37,57.5173,3196900
"2016-10-14",60.06,60.54,59.79,59.8,56.9742,2607200
"2016-10-17",60.26,60.76,60.09,60.4,57.5459,1999800
"2016-10-18",60.74,61.12,60.2,60.93,58.0508,1985400
"2016-10-19",60.69,61.1,60.48,60.89,58.0127,2083600
"2016-10-20",60.98,61.26,60.69,60.84,57.9651,1532800
"2016-10-21",60.53,60.71,60.05,60.31,57.4601,1312900
"2016-10-24",60.57,60.7,60.19,60.51,57.6507,1394200
"2016-10-25",60.36,60.8,60.28,60.79,57.9174,1564600
"2016-10-26",60.7,61.16,60.38,60.92,58.0413,1565600
"2016-10-27",60.67,60.81,60.19,60.7,57.8317,1257100
"2016-10-28",60.81,61.19,60.54,60.99,58.108,1870000
"2016-10-31",61.25,62.69,61.23,62.12,59.1846,2934000
"2016-11-01",62.1,62.11,61.01,61.21,58.3176,2685700
"2016-11-02",60.94,60.96,59.86,60.26,57.4125,3177500
"2016-11-03",60.14,60.47,59.8,60.2,57.3553,3200900
"2016-11-04",61.4,61.75,59.77,59.83,57.0028,2833300
"2016-11-07",60.36,61.1,59.5,61.09,58.2033,3278400
"2016-11-08",61.21,62.23,61.14,62.02,59.0893,2327300
"2016-11-09",60.83,60.85,59.34,59.41,56.6027,3520000
"2016-11-10",59,59.45,58.03,58.5,55.7357,4578600
"2016-11-11",58.54,59.15,58.22,58.48,55.7166,3013000
"2016-11-14",58.18,58.41,57.63,58.15,55.4022,5576700
"2016-11-15",58.37,59.18,58.22,59.1,56.3073,2370900
"2016-11-16",59.18,59.44,58.26,58.71,55.9357,1352800
"2016-11-17",58.64,59.19,58.6,58.67,55.8976,2424700
"2016-11-18",58.65,58.97,58.14,58.38,55.6213,1916500
"2016-11-21",58.46,59.22,58.38,59.16,56.3645,1417700
"2016-11-22",59.12,59.44,58.95,59.32,56.5169,2342200
"2016-11-23",58.68,59.27,58.6,58.71,55.9357,1222700
"2016-11-25",58.93,59.47,58.93,59.29,56.4883,1726100
"2016-11-28",59.59,61.04,59.59,60.74,57.8698,2057800
"2016-11-29",60.62,61.23,60.42,60.46,57.603,3046800
"2016-11-30",59.75,60.02,58.79,58.8,56.0215,3441900
"2016-12-01",58.47,58.51,57.6,58.04,55.2974,2306300
"2016-12-02",58.5,58.94,57.97,58.28,55.526,2342900
"2016-12-05",58.04,58.38,57.64,58.38,55.6213,2864200
"2016-12-06",58.55,58.87,58.18,58.38,55.6213,1664100
"2016-12-07",58.62,59.11,58.55,58.8,56.0215,2023900
"2016-12-08",58.44,59.24,58.06,59.19,56.3931,1854300
"2016-12-09",59.19,59.7,58.96,59.33,56.5264,3849300
"2016-12-12",59.07,59.98,58.89,59.82,56.9933,3114200
