date,open,high,low,close,adjclose,volume
"2016-09-26",49.3,49.88,49.04,49.42,34.1253,1819600
"2016-09-27",49.18,50.47,49.04,50.42,34.8159,1803800
"2016-09-28",50.7,51.44,50.52,51.42,35.5064,1927700
"2016-09-29",51.28,51.46,50.18,50.5,34.8711,1758700
"2016-09-30",50.78,51.72,50.67,51.51,35.5685,2454500
"2016-10-03",51.26,51.87,51.25,51.41,35.4995,1430000
"2016-10-04",51.69,51.9,50.96,51.17,35.3338,1769600
"2016-10-05",51.52,52.8,51.37,52.63,36.3419,1620500
"2016-10-06",52.77,52.83,52.2,52.55,36.2867,1205400
"2016-10-07",52.17,52.47,51.78,52.26,36.0864,1273700
"2016-10-10",52.54,52.93,52.44,52.83,36.48,1625000
"2016-10-11",52.61,52.8,52.06,52.5,36.2521,1854500
"2016-10-12",52.64,53.11,52.47,52.71,36.3971,1082500
"2016-10-13",51.98,52.29,51.25,52.01,35.9138,1983000
"2016-10-14",52.54,53,52.27,52.33,36.1348,959000
"2016-10-17",52.44,52.66,52.18,52.26,36.0864,730800
"2016-10-18",53,53,52.41,52.63,36.3419,1498500
"2016-10-19",53.03,53.03,52.39,52.75,36.4248,1745300
"2016-10-20",52.67,52.93,52.42,52.8,36.4593,1319000
"2016-10-21",52.27,52.78,52.08,52.62,36.335,1151700
"2016-10-24",53.05,53.2,52.75,53,36.5974,1006000
"2016-10-25",52.93,53.07,52.54,52.96,36.5698,1626500
"2016-10-26",52.57,53.17,52.49,53.01,36.6043,1624400
"2016-10-27",53.26,53.76,52.85,53.56,36.9841,1897400
"2016-10-28",53.56,56.32,53.3,55.27,38.1649,3209900
"2016-10-31",55.73,55.73,54.59,54.6,37.7022,2194100
"2016-11-01",54.98,55.01,53.59,54.15,37.3915,2418100
"2016-11-02",53.89,54.26,53.3,53.46,36.915,1731100
"2016-11-03",53.8,53.92,53.19,53.33,36.8253,2120800
"2016-11-04",53.38,53.68,52.67,53.13,36.6872,1806200
