date,open,high,low,close,adjclose,volume
"2016-09-26",81.66,82.4,81.62,81.98,61.3951,1001800
"2016-09-27",81.9,82,80.11,80.76,60.4815,1142700
"2016-09-28",81.3,81.79,80.31,81.66,61.1555,609200
"2016-09-29",81.31,81.54,79.3,79.72,59.7026,833100
"2016-09-30",80.25,81.68,79.99,81.26,60.8559,755100
"2016-10-03",81.39,81.74,80.92,81.09,60.7286,654800
"2016-10-04",81.29,81.77,80.25,80.83,60.5339,727300
"2016-10-05",81.35,81.68,78.2,79.29,59.3806,1230200
"2016-10-06",79.19,81.66,79.19,81.02,60.6762,901500
"2016-10-07",80.83,81.1,79.82,80.62,60.3766,851400
"2016-10-10",81.03,81.7,80.53,81.45,60.9982,636700
"2016-10-11",81.12,81.23,79.92,80.61,60.3691,631000
"2016-10-12",81.09,82.88,81,82.28,61.6198,791500
"2016-10-13",81.53,81.74,80.04,81.35,60.9233,675600
"2016-10-14",81.78,83.13,81.78,82.6,61.8594,797500
"2016-10-17",83.5,84.69,82.94,83.33,62.4061,993200
"2016-10-18",84.72,85.4,83.7,83.77,62.7357,1547200
"2016-10-19",84.36,85.55,83.42,85.54,64.0612,1140700
"2016-10-20",84.49,85,80.62,81.13,60.7585,1624500
"2016-10-21",80.55,82.11,79.92,81.54,61.0656,903100
"2016-10-24",82.74,84.4,82.43,82.64,61.8894,1422500
"2016-10-25",82.28,82.32,80.47,80.88,60.5713,1123300
"2016-10-26",80.49,81.71,80.11,81.05,60.6987,593900
"2016-10-27",80.8,80.98,80.01,80.97,60.6387,918100
"2016-10-28",80.95,82.59,80.95,81.51,61.0432,698700
"2016-10-31",81.69,82.64,81.67,82.5,61.7846,918000
"2016-11-01",82.63,82.96,79.94,80.33,60.1594,799500
"2016-11-02",80.08,80.89,79.7,79.73,59.7101,632100
"2016-11-03",79.5,79.69,78.58,78.67,58.9163,913500
"2016-11-04",78.58,79.93,78.03,79.07,59.2158,885500
"2016-11-07",79.98,80.35,78.42,79.34,59.418,1010400
