date,open,high,low,close,adjclose,volume
"2016-09-26",39.38,40.51,39.38,40.34,39.8951,9054400
"2016-09-27",40.04,41.23,39.49,41.06,40.6072,8674100
"2016-09-28",41.15,41.19,40.21,40.97,40.5182,6751200
"2016-09-29",40.91,41.3,40.36,40.39,39.9445,7953000
"2016-09-30",40.29,41.05,40.27,40.97,40.5182,8685600
"2016-10-03",40.87,41.2,40.16,40.59,40.1423,6925000
"2016-10-04",41.3,41.3,40.44,40.78,40.3302,5046600
"2016-10-05",40.95,40.95,40.4,40.44,39.994,6128200
"2016-10-06",40.32,40.39,39.86,40.18,39.7369,6312000
"2016-10-07",40.42,40.42,39.62,39.88,39.4402,6109900
"2016-10-10",40.13,40.17,39.59,39.86,39.4204,6636700
"2016-10-11",40.03,40.11,38.96,39.19,38.7578,9955700
"2016-10-12",39.77,39.8,39.3,39.53,39.094,7039900
"2016-10-13",39.39,39.4,38.75,39.2,38.7677,7865200
"2016-10-14",39.46,39.89,39.23,39.24,38.8072,6647600
"2016-10-17",39.24,39.62,39.16,39.48,39.0446,5279500
"2016-10-18",40,40.18,39.78,39.83,39.3907,5475900
"2016-10-19",39.97,40.47,39.84,40.24,39.7962,6587700
"2016-10-20",40.23,40.29,39.82,40.09,39.6479,13337500
"2016-10-21",41.85,44.24,41.84,44.15,43.6631,37554700
"2016-10-24",44,44.52,43.14,43.87,43.3862,19079000
"2016-10-25",43.66,44.07,43,43.31,42.8323,9463900
"2016-10-26",43,43.21,42.31,42.33,41.8631,10918800
"2016-10-27",42.55,42.57,41.621,41.69,41.2302,9447300
"2016-10-28",41.98,41.98,41.07,41.76,41.2994,11979200
"2016-10-31",41.78,42,41.36,41.66,41.2005,7160000
"2016-11-01",41.68,42.295,41.29,41.54,41.0819,9399000
"2016-11-02",41.43,41.57,41.08,41.35,40.894,7920600
"2016-11-03",41.32,41.5,40.92,41.19,40.7357,6239900
"2016-11-04",40.3,41.485,40.3,40.9,40.4489,6541300
"2016-11-07",41.52,41.65,41.06,41.28,40.8247,7904900
"2016-11-08",41.42,42.15,41.09,41.58,41.1214,6968100
"2016-11-09",40.6,41.47,40.58,41.26,40.8049,9744400
"2016-11-10",41.9,41.9,39.58,40.45,40.0039,12097600
"2016-11-11",40.77,40.77,39.8,40.08,39.638,10775700
"2016-11-14",40.4,40.4,38.45,38.81,38.382,17877800
"2016-11-15",39.04,39.48,38.9,38.94,38.5105,16037800
"2016-11-16",39.05,39.21,38.71,39.07,38.6391,12730900
"2016-11-17",39.12,40.055,38.95,39.88,39.4402,9758500
"2016-11-18",40.08,40.57,39.91,40.08,39.638,9521500
"2016-11-21",40.12,40.77,40.116,40.63,40.1819,6667200
"2016-11-22",40.99,41.1,39.95,40.33,39.8852,7734700
"2016-11-23",40.31,40.43,39.85,40.05,39.6083,5770600
"2016-11-25",40.4,40.56,39.99,40.26,39.816,2324300
"2016-11-28",40.26,40.49,39.925,39.96,39.5193,4170600
"2016-11-29",40.07,40.36,39.79,39.89,39.4501,5083700
"2016-11-30",40.1,40.18,39.18,39.28,38.8468,8420700
"2016-12-01",39.56,39.68,38.18,38.34,37.9172,11265600
"2016-12-02",38.34,38.75,38.06,38.62,38.1941,6335200
"2016-12-05",38.85,39.34,38.65,38.99,38.56,5053900
"2016-12-06",39.23,39.26,38.71,38.98,38.5501,5954500
"2016-12-07",39.08,39.46,38.8,39.45,39.0149,7012000
"2016-12-08",39.68,40,39.45,39.61,39.1731,6102600
"2016-12-09",39.7,39.79,39.375,39.65,39.2127,3923700
"2016-12-12",39.6,39.9,39.35,39.43,38.9951,4474500
"2016-12-13",39.55,39.745,39.39,39.43,38.9951,6385900
"2016-12-14",39.46,39.89,39.46,39.55,39.1138,4658700
"2016-12-15",39.8,40.29,39.35,39.54,39.1039,6418900
"2016-12-16",39.9,39.9,39.12,39.32,38.8863,9786300
"2016-12-19",39.4,39.8,39.11,39.44,39.005,4268600
"2016-12-20",39.61,39.74,39.26,39.74,39.3017,3637200
"2016-12-21",39.84,40.74,39.82,40.09,39.6479,6768200
"2016-12-22",40.04,40.09,39.54,39.68,39.2424,5065000
"2016-12-23",39.82,39.87,39.48,39.58,39.1435,3378100
"2016-12-27",39.5,40.08,39.43,39.72,39.2819,2660100
"2016-12-28",39.76,40.03,39.53,39.57,39.1336,3292400
"2016-12-29",39.54,40.17,39.54,39.96,39.5193,3708000
