date,open,high,low,close,adjclose,volume
"2025-10-27",70.5,101.52,70.5,95.3,95.0556,69700
"2025-10-28",99.01,103.5,93.01,94.74,94.497,172600
"2025-10-29",94.5,96.89,92.12,94.04,93.7988,91700
"2025-10-30",94.1,94.98,91.675,93.4,93.1605,122600
"2025-10-31",95,95.98,91.4,95,94.7564,282500
"2025-11-03",98,100.54,95,97,96.7513,10626200
"2025-11-04",99.5,104,97.8,100.91,100.6512,6091300
"2025-11-05",105.01,105.4,93.38,99.65,99.3945,7108500
"2025-11-06",100,101.15,93.33,93.33,93.0907,4096200
"2025-11-07",92.16,95,88.681,92.31,92.0733,3282800
"2025-11-10",94.93,99.39,93.6,96.6,96.3523,3220400
"2025-11-11",98.45,102.15,95.5,96.53,96.2825,2492600
"2025-11-12",96.67,96.67,91.25,91.96,91.7242,2740700
"2025-11-13",91.5,91.75,84.82,85.9,85.6797,3926100
"2025-11-14",84.15,87.05,81.621,83.48,83.2659,2466200
"2025-11-17",81.63,84.1,79.2,81.46,81.2511,2504600
"2025-11-18",79.5,82.03,78.01,78.98,78.7775,3116500
"2025-11-19",79.13,80.31,75.72,79.62,79.4158,3325400
"2025-11-20",82.01,83.5,74.5,74.9,74.7079,3072500
"2025-11-21",74.97,77.935,73.22,75.8,75.6056,2736100
"2025-11-24",76.34,76.735,72.81,73.54,73.3514,5002100
"2025-11-25",73,79.06,72.94,78.01,77.8099,3033500
"2025-11-26",77.95,80.74,77,79.23,79.0268,2234700
"2025-11-28",79.28,81.25,79.28,81.09,80.9433,947300
"2025-12-01",79,81.09,77.42,77.6,77.4597,1622200
"2025-12-02",78.17,80.49,77.97,79.75,79.6058,2182000
"2025-12-03",79.97,81.05,78.9,80.28,80.1348,1244700
"2025-12-04",80,83.57,79.81,83.46,83.3091,1826200
"2025-12-05",83.41,83.85,81.82,82.04,81.8916,1980300
"2025-12-08",81.95,84.69,81.82,84.3,84.1475,1653000
"2025-12-09",84,85.23,83.715,85.09,84.9361,1404900
"2025-12-10",83.79,87.95,82.73,86.2,86.0441,2396800
"2025-12-11",85.76,86.24,83.51,84.8,84.6466,2563500
"2025-12-12",84.38,84.59,78.35,78.94,78.7972,2778200
"2025-12-15",79.65,80.72,75.655,76.63,76.4914,2338300
"2025-12-16",76.5,79.13,76.14,78.5,78.358,2971700
"2025-12-17",78.93,78.98,75.67,76.26,76.1221,2017500
"2025-12-18",78.32,80.69,77.76,79.03,78.8871,2565700
"2025-12-19",79.37,80,77.18,79.7,79.5559,6553300
"2025-12-22",80.96,82.73,80.545,81.89,81.7419,1723300
"2025-12-23",81.54,83.26,81.13,83.17,83.0196,1244100
"2025-12-24",83.37,83.64,82.71,83.37,83.2192,637000
"2025-12-26",83.63,84.43,83.475,84.21,84.0577,851200
"2025-12-29",84,84.38,83,83.59,83.4388,1117700
"2025-12-30",84.11,85,83.48,84.01,83.8581,1142800
"2025-12-31",84.09,84.09,81.56,81.65,81.5023,1098000
"2026-01-02",81.69,86.32,81.61,84.98,84.8263,1221100
"2026-01-05",85,86.87,84.98,85.11,84.9561,1269500
"2026-01-06",85.21,91.91,85,91.14,90.9752,2103900
"2026-01-07",92,92.94,89.34,90.31,90.1467,1655400
"2026-01-08",89.91,90.74,88.33,89.5,89.3381,2336800
"2026-01-09",90.17,91.89,88.84,90.31,90.1467,2140500
"2026-01-12",89.95,92.95,89.34,90.91,90.7456,2865300
"2026-01-13",91.09,92.04,88.93,89.67,89.5078,2735400
"2026-01-14",88.45,89.94,85.67,89.88,89.7174,1266400
"2026-01-15",93.64,97.84,92.89,93.12,92.9516,4533800
"2026-01-16",94.17,100.13,93.955,97.25,97.0741,4156500
"2026-01-20",93.97,97.63,93.12,95.13,94.9579,1719400
"2026-01-21",96.62,103.87,95.34,102.7,102.5143,4158800
"2026-01-22",106,107.84,97.9,98.76,98.5814,3652300
"2026-01-23",97.5,98,94.96,96.11,95.9362,2288600
"2026-01-26",96.32,99.334,95.24,96.74,96.565,1813900
"2026-01-27",97.79,100.61,97.79,99.45,99.2701,1286000
"2026-01-28",100.94,103.1,99.25,102.43,102.2448,2381800
"2026-01-29",102.68,103,96.42,99.91,99.7293,1573700
"2026-01-30",98.89,99.89,96.01,96.18,96.0061,2547600
"2026-02-02",96.23,100.83,95.9,100.67,100.4879,1998200
"2026-02-03",100.3,102.44,97.51,99.88,99.6994,2412600
"2026-02-04",100.05,100.92,92.85,95.51,95.3373,2481600
"2026-02-05",94.57,97,92.67,92.77,92.6022,1515000
"2026-02-06",94.985,99.79,94,98.22,98.0424,1739300
"2026-02-09",98.51,106.29,97.63,105.2,105.0097,2784200
"2026-02-10",108.26,112.409,107.352,109.3,109.1023,4257600
"2026-02-11",110.62,114.88,109.06,114.51,114.3029,3003500
"2026-02-12",115.47,117.69,107.57,108.54,108.3437,2665700
"2026-02-13",109.04,113.88,108.07,111.69,111.488,2743800
"2026-02-17",110.93,113.22,108.08,111.94,111.7376,1940500
