date,open,high,low,close,adjclose,volume
"2016-09-26",79,79.81,78.72,79.49,53.6033,615500
"2016-09-27",79.94,79.96,78.51,78.61,53.0099,425300
"2016-09-28",78.9,79.4,78.49,79.33,53.4954,328400
"2016-09-29",78.97,78.97,77.54,77.86,52.5041,333900
"2016-09-30",78.35,78.49,77.29,77.49,52.2546,643800
"2016-10-03",77.25,77.25,75.46,75.5,50.9127,459300
"2016-10-04",75.54,75.54,74.4,74.91,50.5148,494600
"2016-10-05",75,75.48,73.24,73.4,49.4966,624500
"2016-10-06",72.82,74.13,72.21,73.68,49.6854,571800
"2016-10-07",74.01,74.65,73.18,73.92,49.8472,727200
"2016-10-10",73.99,74.87,73.98,74.68,50.3597,490200
"2016-10-11",74.27,74.65,73.49,73.8,49.7663,488400
"2016-10-12",73.99,74.22,73.81,73.97,49.8809,513400
"2016-10-13",73.72,74.84,73.72,74.64,50.3327,430100
"2016-10-14",74.59,75.06,73.94,74.45,50.2046,300600
"2016-10-17",74.69,75.15,74.11,74.16,50.0091,381400
"2016-10-18",74.78,74.97,74.19,74.23,50.0563,311500
"2016-10-19",74.1,74.54,73.6,74.05,49.9349,367500
"2016-10-20",73.91,74.29,73.11,74.04,49.9281,377000
"2016-10-21",73.55,74.17,73.36,73.76,49.7393,330200
"2016-10-24",74.73,74.87,73.8,74.14,49.9956,314000
"2016-10-25",73.69,74.13,73.37,73.65,49.6651,318700
"2016-10-26",73.22,73.22,72.01,72.76,49.065,384900
"2016-10-27",72.47,72.47,70.5,70.74,47.7028,781300
"2016-10-28",70.92,71.59,70.67,71.04,47.9051,504900
"2016-10-31",71.47,72.2,70.97,72.07,48.5997,676200
"2016-11-01",71.73,71.87,69.62,70.33,47.4263,676300
"2016-11-02",70.1,70.58,68.46,68.81,46.4013,785700
"2016-11-03",68.91,69.65,68.19,69.49,46.8599,939400
"2016-11-04",69.56,69.7,68.73,69.32,46.7453,493200
"2016-11-07",70.49,70.53,69.43,70.03,47.224,762500
"2016-11-08",70.04,70.58,69.72,70.29,47.3993,425800
"2016-11-09",68.28,68.93,67.57,68.66,46.3002,1170000
"2016-11-10",68.6,69.46,66.95,68.16,45.963,890000
"2016-11-11",68.14,69.97,68.14,68.64,46.2867,780400
"2016-11-14",68.18,69.86,67.41,69.86,47.4551,767700
"2016-11-15",65.77,69.13,65.31,66.91,45.4512,3606100
"2016-11-16",67,67.58,66.37,66.84,45.4036,1589200
"2016-11-17",66.94,67.45,65.34,65.38,44.4119,1411700
"2016-11-18",65.62,66.44,65.62,65.99,44.8262,1093800
"2016-11-21",66.08,66.8,65.96,66.11,44.9077,846000
"2016-11-22",66.3,67.09,66.28,66.93,45.4648,854900
"2016-11-23",66.09,66.71,65.89,66.68,45.2949,709500
"2016-11-25",66.92,67.5,66.55,66.67,45.2881,475900
"2016-11-28",66.61,67.31,66.31,66.69,45.3017,1044100
"2016-11-29",66.64,67.34,66.6,66.9,45.4444,1067900
"2016-11-30",66.43,67.15,65.58,66.84,45.4036,2531100
"2016-12-01",66.6,66.87,65.38,65.51,44.5002,837900
"2016-12-02",65.73,66.45,65.32,65.81,44.704,1104600
"2016-12-05",65.73,66.25,65.16,66.02,44.8466,1006200
"2016-12-06",66.39,66.85,65.81,66.01,44.8398,954100
"2016-12-07",66.29,67.35,66.17,67.15,45.6142,1817300
"2016-12-08",66.87,67.6,66.24,67.57,45.8995,1131100
"2016-12-09",67.48,68.28,67.32,67.69,45.981,1124000
"2016-12-12",68.08,69.12,67.74,69.04,46.898,1370000
"2016-12-13",69.35,69.72,67.78,68.48,46.5177,1140300
"2016-12-14",68.45,68.58,66.87,66.98,45.4987,1096800
"2016-12-15",67,67.82,66.28,66.49,45.1659,822800
"2016-12-16",66.98,68.54,66.82,67.73,46.0082,1777100
"2016-12-19",68.22,68.8,67.98,68.23,46.3478,763100
"2016-12-20",67.98,68.63,67.74,68.21,46.3342,590000
"2016-12-21",68.19,68.82,66.96,67.02,45.5259,629800
"2016-12-22",66.92,67.39,66.02,67.33,45.7365,734800
"2016-12-23",67.6,67.72,67.12,67.45,45.818,471300
"2016-12-27",67.45,67.83,67.16,67.4,45.784,329100
"2016-12-28",67.35,67.48,66.53,66.77,45.3561,462500
"2016-12-29",66.86,68,66.63,68,46.1916,669800
"2016-12-30",67.92,69.06,67.78,68.95,46.8369,786100
"2017-01-03",68.96,69.15,68.1,68.89,46.7962,1012000
"2017-01-04",69.12,70.1,68.78,69.99,47.5434,718900
"2017-01-05",69.4,70.23,68.96,70.15,47.6521,629300
"2017-01-06",69.86,70.51,69.76,70.3,47.754,582900
"2017-01-09",70.34,70.34,69.13,69.33,47.095,749000
"2017-01-10",69.08,69.36,68.68,68.7,46.6671,578200
"2017-01-11",68.76,68.88,68.06,68.18,46.3139,834200
"2017-01-12",68.19,69.02,67.54,69,46.8709,961200
"2017-01-13",68.97,69.34,68.71,68.88,46.7894,385600
"2017-01-17",69.08,69.76,68.74,69.71,47.3532,712600
"2017-01-18",69.66,70.17,69.19,70.01,47.557,553100
"2017-01-19",69.59,69.82,68.8,68.91,46.8097,464300
"2017-01-20",69.24,69.81,68.87,69.76,47.3871,581500
"2017-01-23",69.85,71.17,69.74,71.01,48.2362,711400
"2017-01-24",71.07,71.5,70.79,71.14,48.3246,824600
"2017-01-25",71.11,71.2,69.85,70.15,47.6521,643900
"2017-01-26",70.35,70.5,69.79,69.88,47.4687,477000
"2017-01-27",69.95,70.3,69.18,69.45,47.1766,551400
"2017-01-30",69.36,69.64,68.63,68.95,46.8369,580600
"2017-01-31",69.16,70.06,68.83,69.73,47.3668,719400
"2017-02-01",69.64,70.08,68.62,68.69,46.6603,495300
"2017-02-02",68.85,69.54,68.71,69.49,47.2037,571500
"2017-02-03",70.07,70.09,69.28,69.85,47.4483,723600
"2017-02-06",69.94,70.31,69.51,69.89,47.4754,579000
"2017-02-07",69.58,70.38,69.2,69.3,47.0747,621900
"2017-02-08",69.57,70.38,69.19,70.04,47.5773,648700
"2017-02-09",70.64,71.28,70.07,70.91,48.1683,774700
"2017-02-10",70.66,71.34,70.66,71.3,48.4332,565900
"2017-02-13",71.5,71.73,70.79,71.24,48.3925,355700
"2017-02-14",70.9,71.35,70.05,70.12,47.6317,697400
"2017-02-15",69.79,69.83,68.99,69.24,47.0339,757600
"2017-02-16",69.18,69.96,69.1,69.52,47.2241,543700
"2017-02-17",69.65,69.8,68.8,69.75,47.3803,572900
"2017-02-21",69.65,70.59,69.44,70.51,47.8966,666100
"2017-02-22",70.02,70.43,69.3,70.01,47.9035,454700
"2017-02-23",70.32,71.23,69.92,70.95,48.5466,734600
"2017-02-24",70.62,71.45,69.56,71.19,48.7109,2595300
"2017-02-27",71.06,72.05,70.73,71.7,49.0598,1551300
"2017-02-28",71.47,71.54,69.89,70.35,48.1361,4661100
"2017-03-01",69.73,70.56,68.37,68.4,46.8018,27410600
"2017-03-02",68.4,69.85,68.4,69.13,47.3013,3453400
"2017-03-03",68.59,68.63,66.76,67.74,46.3502,3126800
"2017-03-06",67.37,67.5,66.39,66.63,45.5907,1818400
"2017-03-07",66.8,67.09,65.49,65.72,44.9681,1618100
"2017-03-08",65.2,65.46,63.92,64.78,44.3249,1839100
"2017-03-09",64.61,65.04,62.91,62.95,43.0727,1700400
"2017-03-10",62.95,63.68,61.9,62.58,42.8196,2390100
"2017-03-13",62.59,63.76,62.51,63.72,43.5996,3215800
"2017-03-14",63.35,65.17,63.07,64.85,44.3728,2610200
"2017-03-15",64.89,67.24,64.56,66.77,45.6865,2616100
"2017-03-16",66.59,66.81,66.19,66.48,45.4881,1089100
"2017-03-17",66.48,66.93,66.02,66.91,45.7823,4358400
"2017-03-20",66.9,67.44,66.62,66.77,45.6865,1052900
"2017-03-21",66.9,67.29,66.47,66.7,45.6386,1660200
"2017-03-22",66.78,66.82,65.62,66.33,45.3855,1116300
"2017-03-23",66.24,67.67,66.19,67.27,46.0286,1143100
"2017-03-24",67.25,67.66,66.99,67.11,45.9192,814600
"2017-03-27",67.21,67.78,66.15,66.45,45.4676,979700
"2017-03-28",66.35,66.81,65.57,66.62,45.5839,818700
"2017-03-29",66.51,66.98,66.26,66.47,45.4812,1112300
"2017-03-30",66.39,66.67,65.96,66.5,45.5018,726300
"2017-03-31",66.6,66.84,66.35,66.39,45.4265,1225100
"2017-04-03",66.43,67.13,66.15,66.45,45.4676,1446500
"2017-04-04",66.49,66.92,66.23,66.35,45.3992,1212200
"2017-04-05",66.44,66.64,66.08,66.13,45.2486,1427300
"2017-04-06",66.08,66.37,65.73,66.03,45.1802,1090900
"2017-04-07",66.03,66.46,65.93,66.07,45.2076,1001100
"2017-04-10",65.97,66.86,65.79,66.69,45.6318,757700
"2017-04-11",66.72,67.53,66.69,67.21,45.9876,867700
"2017-04-12",67.24,67.57,66.98,67.35,46.0834,720500
"2017-04-13",67.39,67.65,66.84,67.31,46.056,654400
"2017-04-17",67.53,67.89,67.22,67.83,46.4118,545900
"2017-04-18",67.85,68.4,67.59,68.31,46.7402,641300
"2017-04-19",68.28,69.07,68.19,68.49,46.8634,911000
"2017-04-20",68.53,68.66,67.94,68.44,46.8292,539000
"2017-04-21",68.39,68.43,67.4,67.47,46.1655,606900
"2017-04-24",68.06,68.06,65.17,65.24,44.6396,1154200
"2017-04-25",65.26,65.63,64.97,65.16,44.5849,904100
"2017-04-26",64.95,65.18,64.05,64.07,43.8391,896300
"2017-04-27",64.07,65.12,63.79,63.88,43.7091,795000
