date,open,high,low,close,adjclose,volume
"2016-09-26",38.2333,38.36,37.7267,37.7667,32.6175,635550
"2016-09-27",37.4867,38.0267,37.3733,38,32.819,581550
"2016-09-28",38.1533,38.4133,37.7867,38.3867,33.153,635400
"2016-09-29",38.1667,38.5467,37.6067,37.7667,32.7312,514050
"2016-09-30",38.1133,39.02,37.9467,38.8067,33.6325,990750
"2016-10-03",38.6667,39.0533,38.5333,38.6867,33.5285,637200
"2016-10-04",38.8333,39.4467,38.7533,39.04,33.8347,748350
"2016-10-05",39.2267,39.9667,39.1667,39.6533,34.3663,719550
"2016-10-06",39.5267,39.6933,39.2933,39.5067,34.2392,510300
"2016-10-07",39.5867,39.5867,39.0333,39.3067,34.0658,1362450
"2016-10-10",39.3067,39.84,39.2867,39.34,34.0947,721200
"2016-10-11",39.2933,39.3933,38.5933,38.8667,33.6845,747150
"2016-10-12",38.8933,38.9533,38.6667,38.7267,33.5632,656550
"2016-10-13",38.2733,38.42,37.74,38.2733,33.1703,736350
"2016-10-14",38.56,39.0533,38.4267,38.8,33.6267,865650
"2016-10-17",38.82,38.88,38.56,38.6933,33.5343,985800
"2016-10-18",39.22,39.3267,38.8,38.9667,33.7712,501900
"2016-10-19",39.2133,39.52,39.0133,39.3267,34.0832,544500
"2016-10-20",39.1333,39.5133,39.1067,39.2067,33.9792,604800
"2016-10-21",38.9133,39.2267,38.8333,39.1667,33.9445,514650
"2016-10-24",39.6933,39.6933,39.0867,39.2067,33.9792,813900
"2016-10-25",39.1867,39.4267,38.98,39.0333,33.8289,621900
"2016-10-26",38.8267,39.5,38.78,39.42,34.1641,905700
"2016-10-27",40.1333,41.82,40.1333,41.3067,35.7992,2530800
"2016-10-28",41.22,41.5867,40.34,40.52,35.1174,1754550
"2016-10-31",40.66,40.8933,40.0533,40.08,34.7361,1093650
"2016-11-01",40.34,40.4867,39.88,40.2467,34.8805,1119300
"2016-11-02",40.0333,40.0867,39.1067,39.2267,33.9965,1314900
"2016-11-03",39.3467,39.9533,39.2933,39.58,34.3027,1049850
"2016-11-04",39.4667,39.8867,39.18,39.3933,34.141,639450
"2016-11-07",40.3067,40.72,40.3067,40.6333,35.2156,614400
"2016-11-08",40.3667,41.1267,40.1467,40.8733,35.4236,909450
"2016-11-09",41.2067,43.78,41.0533,43.5133,37.7116,2856750
"2016-11-10",43.8667,45.7533,43.8667,44.8933,38.9076,2560350
"2016-11-11",44.5867,45.26,44.1867,45.1667,39.1445,3063600
"2016-11-14",45.7333,46.7267,45.4667,46.7267,40.4965,1433550
"2016-11-15",46.2867,47.9533,46.0467,47.9333,41.5423,1780050
"2016-11-16",47.44,47.9267,47.3933,47.7667,41.3979,1210650
"2016-11-17",47.6,48.4733,47.6,48.4733,42.0103,1330350
"2016-11-18",48.56,49.06,48.36,48.8533,42.3396,786000
"2016-11-21",48.7333,48.94,47.8267,48.2133,41.785,1396050
"2016-11-22",48.24,48.9333,47.84,48.8867,42.3685,1173150
"2016-11-23",48.7333,48.98,47.8733,48.5533,42.0796,1372950
"2016-11-25",48.4667,48.4667,48.1267,48.3333,41.889,483000
"2016-11-28",47.7133,47.9933,47.4,47.4467,41.1205,1513350
"2016-11-29",47.3533,47.7867,47.02,47.4,41.0801,910200
"2016-11-30",47.9333,48.1933,47.74,47.96,41.5654,1506900
"2016-12-01",48.2733,49.2467,48.1667,49.0933,42.5476,1350300
"2016-12-02",48.8867,48.8867,48.12,48.64,42.1547,1013850
"2016-12-05",48.6467,49.4533,48.5467,49.0133,42.4783,1155600
"2016-12-06",49.2867,49.2867,48.6333,48.9067,42.3859,1085250
"2016-12-07",48.82,49.1533,48.64,49.1,42.5534,866550
"2016-12-08",49.3067,49.8,48.84,49.3267,42.7499,1042050
"2016-12-09",49.3267,49.34,48.5867,48.76,42.2587,1261650
"2016-12-12",48.46,48.6933,47.6867,47.7267,41.3632,1036050
"2016-12-13",47.86,48.0933,47.24,47.7333,41.369,1398150
"2016-12-14",47.3933,48.6667,47.2933,47.9133,41.525,744150
"2016-12-15",48.2533,48.92,47.8333,48.34,41.8947,878550
"2016-12-16",48.34,48.7,47.5467,47.7533,41.3863,1495350
"2016-12-19",47.5067,47.8733,46.9333,47.68,41.3227,1031250
"2016-12-20",48.02,48.6267,47.9867,48.6267,42.1432,695250
"2016-12-21",48.74,48.74,48.0933,48.4267,41.9699,802200
"2016-12-22",48.4067,48.4067,47.4867,47.6267,41.2765,936600
"2016-12-23",47.64,47.92,47.42,47.8667,41.4845,808050
"2016-12-27",48.02,48.12,47.4733,47.58,41.2361,849600
"2016-12-28",47.76,47.82,46.6333,46.7467,40.5138,778950
"2016-12-29",46.6133,46.9067,46.0533,46.2333,40.1951,693900
"2016-12-30",46.3733,46.3733,45.98,46.18,40.1487,913650
"2017-01-03",46.92,47.3067,46.06,46.4533,40.3864,897900
"2017-01-04",46.7267,48.2533,46.4667,48.2067,41.9107,1457700
"2017-01-05",48.44,49.1,48.24,49.06,42.6526,1969500
"2017-01-06",49.3,49.82,49.02,49.7733,43.2727,1574700
"2017-01-09",49.5067,49.5333,48.9,49.1,42.6874,1063950
"2017-01-10",49.3333,49.7667,48.94,49.62,43.1394,881250
