date,open,high,low,close,adjclose,volume
"2016-09-26",64.292,64.7955,64.0529,64.3361,51.2284,5330459
"2016-09-27",64.2417,64.6507,64.0529,64.4116,51.2885,6831588
"2016-09-28",64.6193,64.7388,63.9836,64.4116,51.2885,7962002
"2016-09-29",64.6822,64.6822,63.4865,63.5997,50.6421,5911080
"2016-09-30",63.8263,64.2102,63.5997,63.9396,50.9127,8030012
"2016-10-03",63.9396,64.613,63.7445,64.4619,51.3286,6311031
"2016-10-04",64.55,64.7011,63.7508,63.8326,50.8275,5091474
"2016-10-05",64.0025,64.399,63.8326,64.3486,51.2384,4360375
"2016-10-06",64.2605,64.3298,63.7885,64.2417,51.1532,5802234
"2016-10-07",63.5368,63.5683,62.8131,63.2977,50.4016,6257800
"2016-10-10",63.0334,63.5809,62.7061,62.9201,50.1009,7178784
"2016-10-11",62.6495,62.8508,61.9635,62.1586,49.4946,6856217
"2016-10-12",62.1838,62.4607,62.0138,62.2593,49.5747,6067120
"2016-10-13",61.9257,62.9893,61.7684,62.8383,50.0358,5987670
"2016-10-14",63.197,63.4298,62.9767,63.0334,50.1911,5040308
"2016-10-17",63.0145,63.2096,62.7124,62.7502,49.9656,3896864
"2016-10-18",63.241,63.2977,62.7313,62.9264,50.1059,4836598
"2016-10-19",63.0963,63.2033,62.769,62.7816,49.9907,6378087
"2016-10-20",62.7753,63.0459,62.4733,62.4858,49.7551,6160076
"2016-10-21",61.9132,62.1649,61.4349,62.0957,49.4445,6506955
"2016-10-24",62.5173,62.8446,62.3537,62.6306,49.8704,6813791
"2016-10-25",63.6312,64.2542,63.2222,63.7885,50.7924,10729405
"2016-10-26",63.562,64.078,63.4047,63.5683,50.617,5933485
"2016-10-27",63.8641,63.9522,62.9264,62.9767,50.146,5640950
"2016-10-28",63.2599,64.2794,63.2599,64.0906,51.033,7069620
"2016-10-31",64.1976,64.5689,64.1284,64.3172,51.2134,6379041
"2016-11-01",64.4493,64.7703,63.7508,64.1976,51.1181,6426711
"2016-11-02",64.0969,64.5437,63.6627,63.9018,50.8826,6539530
"2016-11-03",64.0655,64.1347,63.3858,63.5935,50.6371,3883834
"2016-11-04",63.713,64.0466,63.3984,63.7697,50.7774,4143794
"2016-11-07",64.8018,65.0346,64.5123,64.8521,51.6393,6715432
"2016-11-08",64.9654,65.3996,64.5815,65.0535,51.7996,4010954
"2016-11-09",63.6186,66.2618,63.6186,65.9597,52.5213,7951197
"2016-11-10",66.3184,68.2568,66.2933,68.2253,54.3253,9701798
"2016-11-11",67.9043,68.5463,67.338,68.5085,54.5508,6594191
"2016-11-14",68.8609,68.8609,67.7974,67.8792,54.0496,6576077
"2016-11-15",67.8729,67.9799,67.124,67.7659,53.9594,6031208
"2016-11-16",67.0988,67.5771,66.9289,67.3128,53.9292,4302218
"2016-11-17",67.3568,67.6149,67.0925,67.1491,53.7981,3537909
"2016-11-18",67.124,67.3128,66.9415,67.0233,53.6973,4254548
"2016-11-21",67.2435,67.3757,66.8408,67.2435,53.8737,3459889
"2016-11-22",67.4701,67.5456,67.2561,67.3002,53.9191,4196072
"2016-11-23",67.5708,68.1435,67.5708,68.0365,54.509,3779437
"2016-11-25",68.3638,68.7225,68.1498,68.4582,54.8468,1602824
"2016-11-28",68.2819,68.584,68.1498,68.2505,54.6804,3898612
"2016-11-29",68.3889,68.8735,68.3763,68.4959,54.8771,4979767
"2016-11-30",68.6155,69.2259,67.7911,67.7911,54.3124,6534127
"2016-12-01",67.9673,68.0743,67.382,67.64,54.1914,6444348
"2016-12-02",67.9924,68.326,67.64,68.1057,54.5645,4964672
"2016-12-05",68.4204,68.4707,67.5645,67.6023,54.1611,4890624
"2016-12-06",67.5267,67.7785,67.3883,67.6086,54.1662,3463226
"2016-12-07",67.6526,69.1252,67.3883,69.0245,55.3006,6772000
"2016-12-08",69.0182,69.0245,68.0554,68.2379,54.6704,5034747
"2016-12-09",68.3071,69.2196,68.005,69.0938,55.3561,5447569
"2016-12-12",68.8609,69.5406,68.4644,69.4714,55.6586,7116654
"2016-12-13",69.7797,70.2895,69.3895,69.421,55.6183,6050276
"2016-12-14",69.4462,69.5028,68.6532,68.7665,55.0939,4387547
"2016-12-15",68.6218,68.8672,68.0428,68.0491,54.5191,5738038
"2016-12-16",68.2253,68.7602,68.0239,68.2945,54.7157,12690072
"2016-12-19",68.9553,69.8993,68.5211,69.742,55.8754,6099059
"2016-12-20",69.8112,69.8553,69.3203,69.635,55.7897,3584784
"2016-12-21",69.8175,69.9371,69.5217,69.5343,55.709,3303054
"2016-12-22",69.5909,69.7042,69.0308,69.5154,55.6939,3317673
"2016-12-23",69.4462,69.7483,69.2511,69.635,55.7897,2070785
"2016-12-27",69.8804,69.9371,69.5406,69.8427,55.9561,1695940
"2016-12-28",69.8553,69.9119,69.2889,69.3455,55.5577,3010837
"2016-12-29",69.4021,69.742,69.2448,69.5721,55.7393,4613820
"2016-12-30",69.5972,69.7231,68.8357,68.9868,55.2704,3496595
"2017-01-03",69.4714,69.8301,69.2259,69.7483,55.8804,4353224
"2017-01-04",70.1447,70.2958,69.5909,69.7923,55.9157,4912235
"2017-01-05",69.9622,70.4468,69.5784,70.0755,56.1426,5315046
"2017-01-06",70.1196,71.0069,69.893,70.8307,56.7477,4166358
"2017-01-09",70.9251,70.9251,70.0252,70.1699,56.2183,3867785
"2017-01-10",70.3272,70.3776,69.893,70.0189,56.0972,2860836
"2017-01-11",70.2454,70.2454,69.5909,69.8553,55.9662,4363712
"2017-01-12",69.9434,69.9434,69.0434,69.742,55.8754,4202269
"2017-01-13",69.8112,70.0189,69.1315,69.3644,55.5729,4577273
"2017-01-17",69.0875,69.3958,68.8483,69.207,55.4468,3559519
"2017-01-18",69.3518,69.786,69.1126,69.4902,55.6737,4131877
"2017-01-19",69.8741,70.2328,69.2385,69.6853,55.83,4494010
"2017-01-20",69.8238,69.9182,69.2448,69.7231,55.8603,4980403
"2017-01-23",69.7546,70.0441,69.2133,69.4399,55.6334,3649297
"2017-01-24",69.6539,70.2895,69.4399,70.2391,56.2737,5148360
"2017-01-25",70.4028,70.8055,68.4582,69.8301,55.946,8030806
"2017-01-26",69.7294,70.1636,68.9301,69.4525,55.6435,6349644
"2017-01-27",69.3203,69.7923,68.9805,69.0371,55.3107,4496870
"2017-01-30",68.7917,68.9742,68.1246,68.7036,55.0435,4623831
"2017-01-31",68.6218,69.1064,68.2127,69.0182,55.2956,6269717
"2017-02-01",68.9931,69.1693,67.9043,68.0806,54.5443,7420789
"2017-02-02",68.0176,68.3952,67.2435,68.1938,54.6351,7491341
"2017-02-03",68.3008,69.0875,68.2819,69.0057,55.2855,5420397
"2017-02-06",69.1064,70.0126,69.0245,69.6539,55.8048,6720834
"2017-02-07",70.0944,70.3147,69.8364,70.0126,56.0922,4408522
"2017-02-08",69.9119,69.9119,69.4462,69.4777,55.6636,3292885
"2017-02-09",69.4777,69.679,69.2259,69.2826,55.5073,4217206
"2017-02-10",69.3833,70.0189,69.2763,69.8867,55.9914,4257249
"2017-02-13",70.2391,70.5475,70.1196,70.4972,56.4804,4498141
"2017-02-14",70.4783,70.686,70.1385,70.214,56.2536,4404549
"2017-02-15",69.9371,70.5349,69.893,70.4279,56.7608,4171125
"2017-02-16",70.5727,70.6923,70.365,70.5286,56.8419,4452537
"2017-02-17",70.4405,70.6923,70.2391,70.579,56.8825,4023030
"2017-02-21",70.6042,70.988,70.5098,70.7992,57.06,3395534
"2017-02-22",70.7048,70.9314,70.3084,70.8999,57.1411,3504698
"2017-02-23",70.9251,71.0384,70.4657,70.5412,56.852,5516531
"2017-02-24",70.3713,70.9188,70.3272,70.7741,57.0397,4636543
"2017-02-27",70.8559,71.095,70.5035,70.9943,57.2172,4340195
"2017-02-28",71.095,71.2335,70.6986,70.8307,57.0854,4675633
"2017-03-01",71.5167,72.0201,71.4034,71.5418,57.6585,8080860
"2017-03-02",71.6362,71.7684,70.8811,70.9188,57.1564,4577591
"2017-03-03",70.9188,71.3845,70.5916,70.6986,56.9788,4939089
"2017-03-06",70.3776,70.6734,70.1951,70.2706,56.6339,5994026
"2017-03-07",70.3965,70.7426,70.1699,70.6608,56.9484,3904491
"2017-03-08",70.7867,70.8999,70.2643,70.3272,56.6796,4102480
"2017-03-09",70.4028,70.6986,67.3694,70.4405,56.7709,4639562
"2017-03-10",70.73,70.8496,70.0378,70.5727,56.8774,5116898
"2017-03-13",70.837,70.944,70.4594,70.6797,56.9636,4729341
"2017-03-14",70.4091,70.5916,70.2014,70.3776,56.7202,3487537
"2017-03-15",70.5601,71.3027,70.4028,71.1643,57.3542,5035700
"2017-03-16",70.9692,71.2524,70.4531,70.6986,56.9788,4661808
"2017-03-17",70.9125,71.7118,70.6545,71.3971,57.5418,11825815
"2017-03-20",71.3656,71.7936,71.0069,71.4349,57.5723,4858844
"2017-03-21",71.5293,71.8376,70.472,70.5853,56.8876,5676067
"2017-03-22",70.7174,70.7489,70.1196,70.4405,56.7709,3379803
"2017-03-23",70.4405,70.7678,70.2077,70.3839,56.7252,3634679
"2017-03-24",70.472,70.6608,70.0629,70.3587,56.7049,3574773
"2017-03-27",69.9056,70.4405,69.5091,70.3776,56.7202,3957881
"2017-03-28",70.1133,71.2083,70.0566,70.9503,57.1817,5176485
"2017-03-29",70.8307,70.8307,70.4279,70.5223,56.8368,3176093
"2017-03-30",70.4594,70.8999,70.3902,70.7678,57.0346,2354262
"2017-03-31",70.7992,70.8811,70.3902,70.6167,56.9129,3946599
"2017-04-03",70.6608,70.7867,70.0063,70.4405,56.7709,3373447
"2017-04-04",70.6545,71.2712,70.6356,71.1076,57.3085,4720760
"2017-04-05",71.202,71.9824,70.7678,70.7992,57.06,4785909
"2017-04-06",70.8433,71.0699,70.6042,70.7426,57.0144,3473077
"2017-04-07",70.8811,71.2461,70.6293,71.1076,57.3085,3280014
"2017-04-10",71.1076,71.5859,70.9125,71.0384,57.2527,3332928
"2017-04-11",70.7992,71.2209,70.6419,71.202,57.3846,3803272
"2017-04-12",70.9755,71.0006,70.5727,70.6356,56.9281,4139504
"2017-04-13",70.516,70.9251,70.3713,70.5412,56.852,3592570
"2017-04-17",70.8181,71.2901,70.6734,71.2838,57.4505,5567538
"2017-04-18",71.0824,71.5418,71.0006,71.4663,57.5976,4324464
"2017-04-19",71.7118,71.9069,70.9314,71.0636,57.273,4078486
"2017-04-20",71.0887,71.9383,70.9943,71.7055,57.7904,3928485
"2017-04-21",71.7432,72.5488,71.7432,72.3663,58.3229,8991992
"2017-04-24",72.9956,73.3732,72.832,73.2033,58.9975,5013613
"2017-04-25",73.4802,73.8263,73.2599,73.5494,59.2764,5278817
"2017-04-26",73.8452,75.0472,73.3228,74.3864,59.951,8108190
"2017-04-27",74.4871,75.0346,74.3235,74.7514,60.2452,5409751
"2017-04-28",75.0094,75.2738,74.6318,74.8836,60.3517,7115224
"2017-05-01",74.915,75.3304,74.6822,74.8395,60.3162,4064026
"2017-05-02",74.8584,75.2108,74.7325,75.0913,60.5191,4765252
"2017-05-03",75.0787,75.8087,74.8899,75.708,61.0162,5761873
"2017-05-04",75.9157,76.1485,75.6136,76.1485,61.3712,5048253
"2017-05-05",75.6514,76.4317,75.5947,76.3688,61.5487,3873346
"2017-05-08",76.3814,76.4947,76.0793,76.1989,61.4118,4306667
"2017-05-09",76.438,76.7464,76.2115,76.438,61.6045,3092194
"2017-05-10",76.2555,76.3562,75.5947,76.1611,61.3813,3389178
"2017-05-11",75.7332,76.3877,75.3745,76.3247,61.5132,4371975
"2017-05-12",76.1548,76.2681,75.9283,76.0415,61.285,3910370
"2017-05-15",76.0227,76.331,75.9408,76.0982,61.3306,3471171
"2017-05-16",76.2052,76.4506,76.0164,76.4003,61.5741,3213435
"2017-05-17",75.9849,75.9849,75.1542,75.2549,60.9825,5335544
"2017-05-18",75.2045,75.5066,74.2354,75.1227,60.8754,4108995
"2017-05-19",75.3619,76.3688,75.1416,76.2492,61.7883,5099260
"2017-05-22",76.5009,76.8093,76.4317,76.5639,62.0432,3468946
"2017-05-23",76.5639,77.0799,76.545,76.8219,62.2523,5409433
"2017-05-24",76.8408,77.3065,76.6834,76.8282,62.2575,3830285
"2017-05-25",77.0485,77.1617,76.803,76.9352,62.3441,4348775
"2017-05-26",76.9729,77.0547,76.5135,76.6834,62.1401,3378532
"2017-05-30",76.652,76.7338,76.2366,76.3184,61.8444,4236115
"2017-05-31",76.5009,76.5135,76.1485,76.3247,61.8495,6543661
"2017-06-01",76.2744,76.8722,76.1989,76.6457,62.1096,5107364
"2017-06-02",76.8219,77.3128,76.5953,76.8534,62.2778,3810581
"2017-06-05",76.9478,76.9981,76.1045,76.1359,61.6965,5088296
"2017-06-06",75.752,76.0415,75.3052,75.5947,61.2579,4746979
"2017-06-07",75.9157,75.9471,75.1227,75.3807,61.0845,2854162
"2017-06-08",75.3807,75.8401,74.9402,75.4814,61.1661,5638884
"2017-06-09",75.6262,76.0352,75.4059,75.922,61.5231,3383299
"2017-06-12",75.6765,75.8653,75.1101,75.4437,61.1355,4869014
"2017-06-13",75.4751,75.6199,75.2612,75.557,61.2273,3745273
"2017-06-14",75.557,75.7772,75.2675,75.5255,61.2018,2811100
"2017-06-15",75.4122,76.0982,75.387,75.9912,61.5792,3094736
"2017-06-16",76.2178,76.6016,75.6828,75.7898,61.416,7215490
"2017-06-19",76.2933,76.9415,76.1485,76.6834,62.1401,5392907
"2017-06-20",76.5009,77.1051,76.4443,76.4695,61.9667,4263923
"2017-06-21",76.759,76.9037,76.4569,76.6205,62.0891,4341784
"2017-06-22",76.6709,77.382,76.6646,76.8848,62.3033,4793377
"2017-06-23",76.7841,77.0547,76.4569,76.9163,62.3288,6119398
"2017-06-26",77.0359,77.4638,76.6583,76.696,62.1503,2613111
"2017-06-27",76.7275,76.866,76.4695,76.5198,62.0075,2706226
"2017-06-28",76.8219,77.1554,76.5828,77.0925,62.4716,2862107
"2017-06-29",77.0422,77.0673,75.9094,76.5576,62.0381,3747815
"2017-06-30",76.7841,77.1806,76.5387,76.8471,62.2727,3829808
"2017-07-03",77.1617,77.5016,76.8156,76.8282,62.2575,1837202
"2017-07-05",77.0107,77.4135,76.8848,77.275,62.6195,2761682
"2017-07-06",77.1303,77.4072,76.7023,76.7086,62.1605,4859480
"2017-07-07",76.9541,77.3442,76.803,77.1617,62.5277,2801248
"2017-07-10",77.2373,77.8729,76.9981,77.4449,62.7572,3262376
"2017-07-11",77.5079,77.8351,77.0044,77.747,63.002,3104112
"2017-07-12",78.0491,78.5337,77.8225,77.854,63.0887,3776894
"2017-07-13",77.8288,77.8666,77.3065,77.4512,62.7623,4271073
"2017-07-14",77.6841,77.8099,77.275,77.6652,62.9357,2827626
"2017-07-17",77.8666,77.8666,77.4009,77.4764,62.7827,2927574
"2017-07-18",77.2939,77.3757,76.7338,77.1743,62.5379,2990021
"2017-07-19",77.4386,77.5519,77.124,77.4575,62.7674,2718779
"2017-07-20",77.3191,77.5897,76.9729,77.061,62.4461,2910095
"2017-07-21",76.9604,77.7218,76.6897,77.7155,62.9765,3928803
"2017-07-24",77.7155,77.8792,77.3065,77.489,62.7929,5847202
"2017-07-25",76.7149,76.7778,75.5129,75.7835,61.4109,7629425
"2017-07-26",75.7835,75.8779,75.0724,75.2297,60.9621,4757307
"2017-07-27",75.1227,75.1542,74.1661,74.6948,60.5286,6764850
"2017-07-28",74.7577,75.1731,74.443,74.8081,60.6204,3417621
"2017-07-31",74.9906,75.1038,74.5374,74.6193,60.4674,3451785
"2017-08-01",74.8899,75.0472,74.4871,74.8143,60.6255,2468194
"2017-08-02",74.764,75.7646,74.6759,75.7395,61.3752,3717307
"2017-08-03",75.7583,76.2178,75.4311,76.2115,61.7577,3227577
"2017-08-04",76.287,76.5639,75.9283,76.4569,61.9566,2865920
"2017-08-07",75.085,75.3619,74.1724,74.5878,60.4419,7906387
"2017-08-08",74.5437,74.8836,74.2668,74.3801,60.2736,4396604
"2017-08-09",74.6193,74.7388,73.6501,73.7571,59.7688,5058423
"2017-08-10",73.562,73.8137,73.0585,73.4802,59.5444,5018698
"2017-08-11",73.6312,74.1095,73.2222,73.562,59.6107,3322440
"2017-08-14",73.82,73.9773,73.5935,73.7256,59.7433,2949184
"2017-08-15",73.7067,73.7067,72.8194,72.9767,59.1364,3631024
"2017-08-16",72.9515,74.3235,72.8886,74.2605,60.5422,5485864
"2017-08-17",74.1221,74.1221,73.0522,73.0648,59.5674,4325099
"2017-08-18",73.0271,73.1718,72.5928,72.6746,59.2493,4386276
"2017-08-21",72.7627,72.8131,72.1712,72.5488,59.1467,3040075
"2017-08-22",72.7376,72.8949,72.3914,72.8068,59.357,3823929
"2017-08-23",72.6306,74.8081,72.3285,73.6501,60.0445,9857362
"2017-08-24",73.7634,73.7634,72.3411,72.5614,59.1569,6881959
"2017-08-25",72.8634,73.0585,72.3851,72.4166,59.0389,3569053
"2017-08-28",72.5551,72.8634,72.4921,72.5802,59.1723,5529561
"2017-08-29",72.4103,74.7262,72.0201,74.7011,60.9014,8855338
"2017-08-30",74.8584,75.4311,74.4556,75.2675,61.3631,8285523
"2017-08-31",75.2863,75.6388,74.7703,75.343,61.4247,6322631
"2017-09-01",75.3556,75.6199,74.1473,74.2102,60.5012,4202428
"2017-09-05",72.7439,72.939,69.9371,69.9874,57.0585,22592720
"2017-09-06",69.8553,69.9119,68.6595,68.9805,56.2376,14601480
"2017-09-07",68.9805,69.27,68.6595,69.2133,56.4274,8188276
"2017-09-08",69.2952,69.4399,68.8169,68.9427,56.2068,6998115
"2017-09-11",69.2322,69.6853,68.7728,68.9994,56.253,8935265
"2017-09-12",69.27,69.421,69.0371,69.1378,56.3658,6302610
"2017-09-13",69.3203,69.5217,69.1064,69.4021,56.5813,6071410
"2017-09-14",69.3958,71.2901,69.2889,71.202,58.0487,11175119
"2017-09-15",71.5733,71.6929,70.944,71.1643,58.0179,10375534
"2017-09-18",71.3656,71.5167,70.8936,70.9692,57.8589,6418924
"2017-09-19",71.1139,71.523,70.9629,71.523,58.3104,5288828
"2017-09-20",71.2587,71.888,71.2524,71.8062,58.5412,5458692
"2017-09-21",71.8565,72.2656,71.4726,72.0579,58.7465,4076103
"2017-09-22",72.0076,72.4481,71.8251,72.3789,59.0081,4502273
"2017-09-25",72.3222,72.3726,71.5607,71.9257,58.6387,5879459
"2017-09-26",72.1082,72.3789,71.888,72.1964,58.8594,6388098
