date,open,high,low,close,adjclose,volume
"2016-09-26",69.86,70.21,69.12,69.33,52.0982,1571500
"2016-09-27",68.99,70.38,68.74,70.08,52.6618,2056400
"2016-09-28",70.25,70.59,69.67,70.44,52.9324,2156600
"2016-09-29",69.75,70.69,68.26,68.59,51.8217,2594200
"2016-09-30",69.22,69.93,68.67,69.63,52.6075,3326700
"2016-10-03",69.26,70.26,69.26,69.82,52.751,1861200
"2016-10-04",70.02,71.36,70.02,71.35,53.907,2631100
"2016-10-05",71.87,73.14,71.74,72.7,54.9269,2032400
"2016-10-06",72.7,72.93,71.7,72.5,54.7758,1905400
"2016-10-07",72.71,72.93,71.5,72.26,54.5945,1913400
"2016-10-10",72.83,73.12,71.84,71.84,54.2772,1824500
"2016-10-11",71.61,71.65,70.1,70.34,53.1439,2109400
"2016-10-12",70.48,71,69.9,70.63,53.363,2648200
"2016-10-13",69.92,69.92,68.16,68.76,51.9502,1777600
"2016-10-14",69.7,70.05,68.92,69.01,52.139,2129700
"2016-10-17",69.02,69.28,68.54,68.63,51.8519,1442700
"2016-10-18",69.5,69.85,69.17,69.77,52.7133,1425400
"2016-10-19",70.07,71.02,69.97,70.53,53.2874,1492700
"2016-10-20",70.48,71.7,70.48,71.03,53.6652,2421600
"2016-10-21",70.5,71.01,70.22,70.88,53.5519,1764300
"2016-10-24",71.28,71.95,70.95,71.43,53.9674,1765600
"2016-10-25",71.47,71.74,70.52,70.89,53.5594,2416300
"2016-10-26",71.72,71.89,68.68,70.19,53.0306,2568900
"2016-10-27",70.9,71.9,70.38,70.81,53.499,2604400
"2016-10-28",70.98,71.22,69.77,70.48,53.2497,1146300
"2016-10-31",70.75,71.02,70.19,70.21,53.0457,1779900
"2016-11-01",70.67,71.16,70.28,70.67,53.3932,2140300
"2016-11-02",70.29,70.34,69.49,69.98,52.8719,2551500
"2016-11-03",69.93,70.87,69.92,70.35,53.1514,2188300
"2016-11-04",70.35,71.3,69.73,70.39,53.1817,1644600
"2016-11-07",71.96,72.38,71.81,72.34,54.6549,1459200
"2016-11-08",72,72.69,71.35,72.26,54.5945,1319000
"2016-11-09",72.91,76,72.39,75.54,57.0726,2776900
"2016-11-10",76.55,79.2,76.24,76.74,57.9793,4245500
"2016-11-11",76.25,76.66,75.5,76.45,57.7602,2506300
"2016-11-14",77.38,78.93,77.25,78.51,59.3166,3396700
"2016-11-15",78.04,79.27,77.7,79.25,59.8757,4937400
"2016-11-16",76.58,78.49,76.58,77.88,58.8406,2426700
"2016-11-17",77.73,79.2,77.59,78.52,59.3241,2129200
"2016-11-18",78.4,78.91,77.67,78.5,59.309,2668300
"2016-11-21",78.93,79,78.36,78.59,59.377,1305300
"2016-11-22",78.79,78.94,77.61,78.01,58.9388,1961000
"2016-11-23",78.2,78.93,77.54,78.28,59.1428,1770800
"2016-11-25",78.17,78.44,77.85,78.44,59.2637,518600
"2016-11-28",77.82,78.22,76.79,76.86,58.0699,1891000
"2016-11-29",77.03,77.4,76.62,77.01,58.1833,1537400
"2016-11-30",77.77,78.96,77.77,78.8,59.5357,2339300
"2016-12-01",79.13,80.99,79.13,80.39,60.7369,2886500
"2016-12-02",80.06,80.11,78.22,78.44,59.2637,3274200
"2016-12-05",78.98,79.94,78.75,79.16,59.8077,2520700
"2016-12-06",79.83,79.86,78.74,79.61,60.1476,2800200
"2016-12-07",79.43,79.97,79.15,79.92,60.3819,2317600
"2016-12-08",80.72,81.91,80,81.44,61.5303,1363200
"2016-12-09",81.19,81.19,80.04,80.53,60.8428,2018000
"2016-12-12",80.57,81.49,79.88,80.23,60.6161,1893500
"2016-12-13",80.66,80.93,79.53,80.06,60.4876,1749100
"2016-12-14",79.39,80.91,78.95,79.38,59.9739,2360000
"2016-12-15",80.05,80.72,79.32,80.09,60.5103,2412900
"2016-12-16",80.28,80.28,78.45,78.62,59.3997,2981900
"2016-12-19",78.62,78.95,77.6,78.32,59.173,2005700
"2016-12-20",79.02,79.91,78.48,79.01,59.6943,2256200
"2016-12-21",78.98,79.07,78.16,78.86,59.581,1573100
"2016-12-22",78.97,79.22,78.57,79,59.6868,1999700
"2016-12-23",79,79,78.14,78.69,59.4526,1175200
"2016-12-27",78.98,79.12,78.57,79,59.6868,1117300
"2016-12-28",79.32,79.44,78.25,78.4,59.2335,1174200
"2016-12-29",78.01,78.29,77.21,77.66,58.9601,1084500
"2016-12-30",77.69,78.22,77.46,77.72,59.0057,1279400
"2017-01-03",79,79.93,78.26,79.25,60.1673,1814800
"2017-01-04",80.74,82.39,80.5,82.27,62.4601,3318900
