date,open,high,low,close,adjclose,volume
"2016-09-26",26.9175,27.4975,26.905,27.0625,25.5097,568800
"2016-09-27",27.0175,27.55,27.01,27.3425,25.7736,759600
"2016-09-28",27.31,27.31,26.94,27.1775,25.6181,510000
"2016-09-29",27.1125,27.585,27.0425,27.065,25.5121,817600
"2016-09-30",27.105,27.5425,26.9275,27.375,25.8043,640000
"2016-10-03",27.3425,27.585,27.25,27.415,25.842,1071200
"2016-10-04",27.43,27.78,27.265,27.59,26.0069,871600
"2016-10-05",27.7175,27.97,27.5925,27.7225,26.1318,1510400
"2016-10-06",27.75,27.89,27.5325,27.7925,26.1978,722400
"2016-10-07",27.845,27.91,27.665,27.74,26.1483,915200
"2016-10-10",27.8925,28.05,27.7125,27.7475,26.1554,459200
"2016-10-11",27.5675,27.5675,26.285,26.6775,25.1468,1222800
"2016-10-12",26.7475,26.8325,26.19,26.2925,24.7839,604000
"2016-10-13",26.07,26.4975,26.0075,26.425,24.9088,491600
"2016-10-14",26.54,26.6425,26.395,26.425,24.9088,436800
"2016-10-17",26.5275,26.5275,26.2525,26.2725,24.765,382400
"2016-10-18",26.4925,26.6225,26.16,26.305,24.7957,369600
"2016-10-19",26.3,26.3,26.0725,26.18,24.6778,428800
"2016-10-20",26.1125,26.605,26.1125,26.485,24.9653,421200
"2016-10-21",26.4775,26.4775,26.1025,26.235,24.7297,388800
"2016-10-24",26.2125,26.525,26.2125,26.38,24.8664,200000
"2016-10-25",26.385,26.385,25.6725,25.71,24.2348,438000
"2016-10-26",25.6925,26.2725,25.2525,25.375,23.919,496800
"2016-10-27",25.495,25.5425,25.175,25.2975,23.846,357600
"2016-10-28",25.265,25.725,25.0575,25.255,23.8059,461200
"2016-10-31",25.2625,26.495,25.1175,25.9975,24.5058,1520800
"2016-11-01",26.0975,26.0975,25.025,25.3325,23.879,1323200
"2016-11-02",25.235,25.42,25.05,25.07,23.6315,706000
"2016-11-03",25.82,25.82,24.77,24.82,23.3959,502800
"2016-11-04",24.885,25.0825,24.73,24.86,23.4336,672400
"2016-11-07",25.0575,25.26,24.985,25.1975,23.7517,707200
"2016-11-08",25.175,25.3925,24.9675,25.1875,23.7423,564000
"2016-11-09",25.3225,26.525,25.3225,25.955,24.5437,943200
"2016-11-10",26.51,26.9225,26.005,26.3275,24.8959,1026800
"2016-11-11",26.195,26.7775,25.995,26.6225,25.1749,922000
"2016-11-14",26.77,26.8925,26.3875,26.6375,25.1891,646800
"2016-11-15",26.695,26.8825,26.4625,26.53,25.0874,530000
"2016-11-16",26.4825,26.51,26.025,26.2675,24.8392,386800
"2016-11-17",26.265,26.58,26.1525,26.36,24.9267,336000
"2016-11-18",26.34,26.5525,25.9525,26.195,24.7706,327200
"2016-11-21",26.325,26.325,25.8675,26.155,24.7328,482400
"2016-11-22",26.2675,26.495,26.0225,26.3175,24.8865,424000
"2016-11-23",26.16,26.6125,25.785,26.57,25.1252,351600
"2016-11-25",26.685,26.985,26.6125,26.785,25.3286,317200
"2016-11-28",26.8325,26.935,26.29,26.49,25.0496,513200
"2016-11-29",26.515,27.1375,26.3525,26.72,25.2671,486000
"2016-11-30",26.8475,26.8475,26.2675,26.34,24.9078,523600
"2016-12-01",26.5175,26.565,26.0925,26.4675,25.0283,1060800
"2016-12-02",26.53,26.5725,26.17,26.35,24.9172,579600
"2016-12-05",26.5375,27.0075,26.435,26.59,25.1442,522800
"2016-12-06",26.5675,27.085,26.315,27.0625,25.591,553200
"2016-12-07",26.9225,26.9375,26.325,26.6475,25.1985,840800
"2016-12-08",26.71,27.055,26.36,27.01,25.5413,571200
"2016-12-09",27.02,27.34,26.835,26.875,25.4137,690000
"2016-12-12",26.8275,26.875,26.17,26.275,24.8463,1343200
"2016-12-13",26.375,26.4925,26.11,26.3475,24.9149,648000
"2016-12-14",26.2875,26.4175,26.0175,26.27,24.8416,484400
"2016-12-15",26.3975,26.4,25.9675,26.335,24.903,362800
"2016-12-16",26.28,26.7125,26.0025,26.2075,24.7825,1217600
"2016-12-19",26.095,26.5025,25.9125,26.0575,24.6406,304000
"2016-12-20",26.2,26.2925,25.9225,26.1775,24.7541,334800
"2016-12-21",26.195,26.195,25.5775,25.6325,24.2387,390800
"2016-12-22",25.655,25.7225,25.4275,25.5625,24.1725,420400
"2016-12-23",25.51,25.88,25.51,25.805,24.4018,331600
"2016-12-27",25.7225,26.18,25.675,26.01,24.5957,398400
"2016-12-28",25.935,26.035,25.72,25.8275,24.4231,425600
"2016-12-29",25.7675,26.1275,25.7025,25.865,24.4586,418400
"2016-12-30",25.965,25.985,25.595,25.7075,24.3096,337200
"2017-01-03",25.815,26.17,25.525,25.6525,24.2576,843600
"2017-01-04",25.7475,26.5075,25.6725,26.245,24.8179,976000
"2017-01-05",26.1675,26.3825,25.75,25.7925,24.39,577600
"2017-01-06",25.7725,26.32,25.765,25.93,24.5201,668400
"2017-01-09",25.8375,25.9475,25.6225,25.81,24.4066,660400
"2017-01-10",25.87,26.225,25.7175,26.0025,24.5886,1362000
"2017-01-11",26.0925,26.175,25.1475,25.415,24.0331,566400
"2017-01-12",25.34,25.58,25.14,25.5025,24.1158,432800
"2017-01-13",25.585,25.8,25.335,25.3475,23.9692,507200
"2017-01-17",25.325,25.325,24.7175,24.765,23.4184,769600
"2017-01-18",25.0125,25.065,24.67,24.75,23.4042,1248000
"2017-01-19",24.695,24.9475,24.4025,24.5,23.1678,1002800
"2017-01-20",24.5775,24.6875,24.4375,24.505,23.1725,1028400
"2017-01-23",24.52,24.725,24.335,24.475,23.1442,763600
"2017-01-24",24.4525,24.7125,24.2225,24.4875,23.156,737600
"2017-01-25",24.6625,24.9175,24.4725,24.7425,23.3971,723600
"2017-01-26",24.725,24.8575,24.5375,24.73,23.3853,661600
"2017-01-27",24.715,25.005,24.695,24.965,23.6075,463200
"2017-01-30",24.8875,24.9625,24.685,24.78,23.4326,935200
"2017-01-31",24.725,25.5025,24.725,25.4375,24.0543,698800
"2017-02-01",25.565,25.685,25.4375,25.54,24.1513,734400
"2017-02-02",25.46,25.515,25.18,25.395,24.0141,975600
"2017-02-03",25.48,25.7525,25.2725,25.7,24.3026,868000
"2017-02-06",25.55,25.5875,25.0025,25.225,23.8534,875600
"2017-02-07",23.92,25.6475,23.92,25.295,23.9196,2307600
"2017-02-08",25.1475,25.2,24.6825,24.965,23.6075,1340000
"2017-02-09",25.25,25.9525,25.25,25.8875,24.4799,1455200
"2017-02-10",26.0075,26.0075,25.46,25.8125,24.4089,1356000
"2017-02-13",25.9,26.1125,25.785,25.9775,24.565,1058400
