date,open,high,low,close,adjclose,volume
"2016-09-26",156.98,156.98,155.61,156.16,151.8008,1650500
"2016-09-27",156.45,159.02,155.83,158.88,154.4449,1874200
"2016-09-28",159.09,159.09,157.14,158.64,154.2117,946700
"2016-09-29",158.63,159.27,155.34,156.06,151.7037,1473900
"2016-09-30",156.7,159.53,156.7,159.06,154.62,1985900
"2016-10-03",157.95,159.22,157.57,159.12,154.6783,1304500
"2016-10-04",158.98,159.44,156.47,157.57,153.1716,1124700
"2016-10-05",158.41,158.8,157.68,158.28,153.8617,1171500
"2016-10-06",158.51,158.51,157.21,158.44,154.0173,998100
"2016-10-07",159,159,157,158.21,153.7937,1087000
"2016-10-10",159.24,160.1,158.55,159.11,154.6685,927800
"2016-10-11",156,156.59,153.79,154.9,150.5761,2697500
"2016-10-12",154.99,155.26,153.59,153.8,149.5068,1088600
"2016-10-13",152.75,153.14,151.11,152.03,147.7862,2191800
"2016-10-14",152.89,152.93,151.5,151.71,147.4751,1477900
"2016-10-17",151.85,151.85,150.3,150.78,146.5711,1614000
"2016-10-18",152.19,152.32,151.06,151.67,147.4362,1727300
"2016-10-19",151.11,152.03,151.01,151.8,147.5626,1859500
"2016-10-20",151.81,152.12,151.09,151.66,147.4265,2005200
"2016-10-21",150.7,150.79,149.76,150.66,146.4544,1589500
"2016-10-24",151.73,153.4,150.96,153.11,148.836,2098500
"2016-10-25",149.35,150.66,147.75,147.97,143.8395,2431300
"2016-10-26",147.17,148.14,146.15,148.04,143.9075,3958100
"2016-10-27",151.99,153.28,148.53,149.22,145.0546,2999800
"2016-10-28",149.5,149.74,147.04,147.21,143.1008,1805900
"2016-10-31",147.45,148.41,146.96,147.03,142.9257,1345800
"2016-11-01",148,148,144.34,146.02,141.944,1900600
"2016-11-02",145.76,146.96,145.52,145.8,141.7301,1791000
"2016-11-03",145.83,146.85,145.7,146.08,142.0023,1821200
"2016-11-04",146.21,147.68,146.21,146.57,142.4786,1365700
"2016-11-07",148.88,152.39,148.17,151.81,147.5724,2027200
"2016-11-08",151.41,154.04,150.58,152.56,148.3013,1620000
"2016-11-09",154.64,157.02,149.45,152.05,147.8056,2441500
"2016-11-10",153.8,155.6,152.87,154.35,150.0414,2247900
"2016-11-11",153.39,153.59,150.66,151.25,147.0279,1766300
"2016-11-14",152.52,153.05,147.73,148.02,143.8881,2517100
"2016-11-15",148.49,149.05,147.06,148.66,144.5103,2114300
"2016-11-16",148.88,150.12,148.63,149.49,145.3171,1591500
"2016-11-17",149.59,149.87,148.42,148.88,144.7241,1552100
"2016-11-18",148.77,149.2,145.63,145.81,141.7398,2631700
"2016-11-21",146.49,146.5,144.74,146.17,142.0898,2975500
"2016-11-22",146.55,146.55,141.75,143,139.0082,3277500
"2016-11-23",142.1,143.61,141.46,143.51,139.504,2582700
"2016-11-25",143.47,144.21,142.72,144.18,140.1553,803900
"2016-11-28",142.94,143.38,139.53,140.32,136.4031,3667300
"2016-11-29",140.7,142,139.74,141.27,137.3266,2576600
"2016-11-30",142.03,142.42,139.94,140.11,136.199,2166600
"2016-12-01",140.47,140.66,139.07,139.63,135.7323,2703400
"2016-12-02",139.6,143.16,139.32,141.91,137.9487,3166100
"2016-12-05",143.05,144.85,141.14,141.38,137.4335,2920800
"2016-12-06",141.57,144.42,141.28,143.59,139.5818,3759200
"2016-12-07",142.88,142.92,140.06,141.85,137.8904,2413500
"2016-12-08",141.78,143.78,140.99,143.07,139.0763,1819400
"2016-12-09",143.81,145.65,143.75,145.41,141.351,1620400
"2016-12-12",144.27,146.05,144.27,145.18,141.1274,1390800
"2016-12-13",145.56,146.48,145.21,145.9,141.974,1254300
"2016-12-14",145.57,146.03,143.23,143.8,139.9305,1657300
"2016-12-15",144,144.33,142.87,143.5,139.6385,1849300
"2016-12-16",143.48,145.31,142.25,142.54,138.7044,2710500
"2016-12-19",142.34,143.41,140.72,141.25,137.4491,1591400
"2016-12-20",141.58,142.59,140.71,141.8,137.9843,1871300
"2016-12-21",141.74,141.8,140.42,140.77,136.982,1502600
"2016-12-22",140.95,141.09,139.88,140.52,136.7387,1191100
"2016-12-23",140.85,141.99,139.88,141.84,138.0232,1047700
"2016-12-27",142.17,143.19,141.87,142.41,138.5779,879500
"2016-12-28",142.56,142.78,141.11,141.22,137.4199,1015300
