date,open,high,low,close,adjclose,volume
"2016-09-26",24.4333,25.2,24.3711,24.8078,21.875,126000
"2016-09-27",24.7844,25.3744,24.5744,25.2222,22.2404,102600
"2016-09-28",25.3611,26.0444,25.3611,25.89,22.8292,258300
"2016-09-29",25.9889,26.2078,25.8622,26.0378,22.9596,258300
"2016-09-30",26.2144,26.9467,26.0189,26.5922,23.4485,214200
"2016-10-03",26.5789,26.6678,26.1144,26.6033,23.4582,331200
"2016-10-04",26.9689,27.3333,26.4833,26.5733,23.4318,225900
"2016-10-05",27.0578,28.0667,26.6667,27.4089,24.1686,222300
"2016-10-06",27.7767,27.9722,27.2222,27.9711,24.6643,223200
"2016-10-07",28.2756,28.9722,28.0878,28.5556,25.1797,346500
"2016-10-10",28.8889,29.3556,28.53,28.7289,25.3325,225000
"2016-10-11",28.5067,28.8222,28.5067,28.7389,25.3413,113400
"2016-10-12",28.6867,30.3322,28.6867,29.9022,26.3671,344700
"2016-10-13",30.0067,30.1722,29.6811,30.1722,26.6052,247500
"2016-10-14",30.4167,30.8933,29.8611,30.5333,26.9236,386100
"2016-10-17",30.8056,31.0567,30.3133,30.3133,26.7296,162900
"2016-10-18",30.4756,31.1111,30.37,30.4078,26.8129,205200
"2016-10-19",30.2944,31.1822,30.2944,31.1644,27.4801,174600
"2016-10-20",31.2711,31.5,30.7667,30.8878,27.2362,185400
"2016-10-21",30.8722,31.6767,30.8333,31.6656,27.922,208800
"2016-10-24",32.1322,33.1656,32,33.0011,29.0997,400500
"2016-10-25",33.02,33.9167,33.02,33.8333,29.8335,494100
"2016-10-26",33.7,33.7222,31.7522,32,28.2169,332100
"2016-10-27",32.0778,32.3733,28.0556,28.8878,25.4726,630000
"2016-10-28",28.0122,30.2844,27.8811,29.9378,26.3985,234000
"2016-10-31",29.7767,30.1867,29.4756,29.4756,25.9909,159300
"2016-11-01",29.7156,30.0578,29.4444,29.58,26.083,63900
"2016-11-02",29.5311,29.5556,28.2189,29.2989,25.8351,204300
"2016-11-03",29.2978,29.2978,28.2822,28.2822,24.9387,169200
"2016-11-04",28.2689,28.2689,27.7289,27.8922,24.5948,231300
"2016-11-07",28.1667,28.2778,27.9444,28.1667,24.8368,117000
"2016-11-08",27.9833,28.1911,27.8078,28.0478,24.7319,137700
"2016-11-09",27.6667,29.5178,27.6667,29.5178,26.0281,165600
"2016-11-10",28.9244,31.7256,28.9244,31.2222,27.5311,233100
"2016-11-11",31.6667,31.75,31.1133,31.5867,27.8524,201600
"2016-11-14",31.5556,31.9656,30.7933,31.2667,27.5703,141300
"2016-11-15",31.6667,31.8322,31.3389,31.7567,28.0023,164700
"2016-11-16",31.6611,31.6611,31.0122,31.1633,27.4792,90900
"2016-11-17",31.8756,33.0744,31.2278,32.0011,28.2179,144900
"2016-11-18",32.1122,32.7089,31.8878,32.2867,28.4697,257400
"2016-11-21",32.6189,33.13,32.2778,32.6656,28.8038,78300
"2016-11-22",32.8189,32.8189,31.7189,31.9989,28.2159,68400
"2016-11-23",31.8578,32.51,31.8211,32.4422,28.6068,48600
"2016-11-25",32.2356,32.7778,32.2356,32.3778,28.55,30600
"2016-11-28",32.4722,32.5556,31.9333,32.1333,28.3345,111600
"2016-11-29",31.9222,32.4444,31.8611,32.21,28.4021,81900
"2016-11-30",32.5333,34.1244,32.4367,33.0344,29.1291,372600
"2016-12-01",33.65,33.8333,32.2222,32.61,28.7548,134100
"2016-12-02",32.6433,33.5544,32.4078,33.5544,29.5876,195300
"2016-12-05",33.7433,34.1133,33.0178,33.0178,29.1144,78300
"2016-12-06",32.9989,33.2656,32.0211,32.8711,28.985,129600
"2016-12-07",32.6122,33.5189,32.6122,33.41,29.4602,52200
"2016-12-08",33.0456,33.7333,32.7222,33.7333,29.7453,142200
"2016-12-09",33.6989,34.1111,32.7789,33.8222,29.8237,201600
"2016-12-12",34.1989,34.1989,32.9433,33.0656,29.1565,121500
"2016-12-13",33.0122,33.8889,33.0122,33.6678,29.6875,59400
"2016-12-14",33.5544,33.6222,33.1333,33.1333,29.2163,68400
"2016-12-15",33.4222,33.5722,32.9978,33.2178,29.2907,115200
"2016-12-16",33.0922,33.4444,33.0022,33.2367,29.3074,112500
"2016-12-19",33.6056,33.8378,32.63,33.1011,29.1878,146700
"2016-12-20",33.2222,33.5144,33.1111,33.3544,29.4112,135000
"2016-12-21",32.6667,33.3356,32.6667,33.3356,29.3946,126000
"2016-12-22",33.3278,33.4444,32.7778,33.3889,29.4416,106200
"2016-12-23",33.4411,33.4411,33.2222,33.2222,29.2946,57600
"2016-12-27",33.1111,33.4444,33.1111,33.3611,29.4171,83700
"2016-12-28",33.4656,33.4656,33.1111,33.1122,29.1976,79200
"2016-12-29",33.1111,33.1111,32.8922,33.0633,29.1545,72000
"2016-12-30",33.0456,33.2911,32.8878,32.9744,29.0762,110700
"2017-01-03",33.0911,33.4822,32.7556,33.2878,29.3524,142200
"2017-01-04",33.3333,34.2311,33.1522,34.2311,30.1843,296100
"2017-01-05",35.3222,36.4444,34.7778,35.9644,31.7127,462600
"2017-01-06",35.9511,36.1111,35.4444,35.5567,31.3531,181800
"2017-01-09",35.7767,35.7767,35.5,35.7322,31.5079,75600
"2017-01-10",35.7322,36.0644,35.7322,35.8889,31.6461,114300
"2017-01-11",35.9411,35.99,35.0111,35.2778,31.1072,97200
