date,open,high,low,close,adjclose,volume
"2016-09-26",65.64,66.03,65.16,65.2,44.7357,1353200
"2016-09-27",65.1,65.86,64.77,65.56,44.9827,1858600
"2016-09-28",65.23,66.4,65.23,66.35,45.5248,1657100
"2016-09-29",66.27,66.48,65.25,65.54,44.969,1266100
"2016-09-30",66.08,66.81,65.74,66.5,45.6277,1799000
"2016-10-03",66.29,67.07,66.03,66.45,45.5934,1672600
"2016-10-04",66.57,67.07,66.1,66.55,45.662,2198300
"2016-10-05",66.75,67.66,66.75,67.58,46.3687,2088500
"2016-10-06",67.52,67.77,67.25,67.34,46.204,1113100
"2016-10-07",67.28,67.67,66.32,66.58,45.6826,1971700
"2016-10-10",66.96,67.23,66.67,66.79,45.8267,1650700
"2016-10-11",66.66,66.7,65.55,65.95,45.2503,1921800
"2016-10-12",65.82,66.83,65.82,66.16,45.3944,2192900
"2016-10-13",65.74,65.83,64.9,65.67,45.0582,1185900
"2016-10-14",66.22,66.57,65.61,65.9,45.216,1256800
"2016-10-17",65.77,65.9,64.93,65.05,44.6328,1385800
"2016-10-18",65.73,65.77,64.83,65.21,44.7426,1508000
"2016-10-19",65.38,65.97,65.21,65.88,45.2023,1007400
"2016-10-20",65.73,66.24,65.68,65.88,45.2023,1424100
"2016-10-21",65.5,66.02,65.39,65.96,45.2572,1144200
"2016-10-24",66.23,66.98,66.23,66.79,45.8267,1620600
"2016-10-25",66.8,67.41,65.94,66.04,45.3121,1826300
"2016-10-26",65.88,66.44,65.68,66.35,45.5248,1725300
"2016-10-27",66.57,67.53,63.14,63.83,43.7957,4685300
"2016-10-28",63.75,64.75,63.58,64,43.9124,2039600
"2016-10-31",64.24,64.38,63.67,64.01,43.9192,2783000
"2016-11-01",64.24,64.29,63.3,63.82,43.7889,2459700
"2016-11-02",63.74,63.87,62.97,63.21,43.3703,3553600
"2016-11-03",63.35,64.05,63.35,63.69,43.6997,1649900
"2016-11-04",63.67,64.3,63.42,63.7,43.7065,1645500
"2016-11-07",64.73,64.85,64.05,64.33,44.1388,1104600
"2016-11-08",64.2,64.47,63.32,63.77,43.7546,2728400
"2016-11-09",63.79,68.95,63.73,68.35,46.897,5024300
"2016-11-10",68.5,74.18,68.35,70.29,48.2281,6432500
"2016-11-11",70.14,70.81,69.32,70.5,48.3722,3610400
"2016-11-14",71.43,73.24,71.22,73.23,50.2454,4119100
"2016-11-15",72.45,73.64,72.4,73.62,50.5129,2588900
"2016-11-16",72.96,73.37,72.33,72.5,49.7445,1512600
"2016-11-17",72.25,73.39,72,73.18,50.211,2219600
"2016-11-18",73.33,73.98,73.02,73.47,50.41,1461400
"2016-11-21",73.7,73.92,73.32,73.73,50.5884,1183100
"2016-11-22",73.9,74.1,73.12,74.05,50.808,1535800
"2016-11-23",73.85,74.47,73.5,74.28,50.9658,1026600
"2016-11-25",74.4,74.81,74.05,74.43,51.0687,490400
"2016-11-28",73.98,74.35,73.07,73.15,50.1905,1294100
"2016-11-29",73.33,73.6,72.87,73.38,50.3483,1079600
"2016-11-30",74.07,74.74,73.67,74.06,50.8148,2036500
"2016-12-01",74.52,75.69,74.1,75.57,51.8509,2669800
"2016-12-02",75.3,75.86,74.76,75.48,51.7891,1650900
"2016-12-05",75.97,76.35,75.19,75.58,51.8578,1700900
"2016-12-06",75.98,76.11,75.49,76.09,52.2077,1624500
"2016-12-07",76.13,77.38,75.86,77.35,53.0722,1479400
"2016-12-08",77.35,78.95,77,78.61,53.9367,2268400
"2016-12-09",78.46,78.46,76.52,76.6,52.5576,2921100
"2016-12-12",76.4,77.11,75.69,76.03,52.1665,1860700
"2016-12-13",76.06,76.99,75.81,76.44,52.823,1844400
"2016-12-14",76.19,77,75.6,75.71,52.3186,1603700
"2016-12-15",76.08,76.8,75.57,76,52.519,1052800
"2016-12-16",76.01,76.9,75.97,76.76,53.0441,3524600
"2016-12-19",76.56,76.78,75.88,76.63,52.9543,1267300
"2016-12-20",77.2,77.71,76.77,77.67,53.673,1473500
"2016-12-21",77.47,77.7,77.13,77.42,53.5002,1042500
"2016-12-22",77.53,77.7,76.51,76.57,52.9128,1752700
"2016-12-23",76.45,76.78,76.03,76.59,52.9267,765200
"2016-12-27",76.89,77,76.5,76.9,53.1409,499400
"2016-12-28",77.1,77.1,76,76.07,52.5673,557300
"2016-12-29",76.05,76.46,75.38,75.54,52.2011,869900
"2016-12-30",75.95,76.08,74.93,75.26,52.0076,1309800
"2017-01-03",76.34,76.77,75.46,75.84,52.4084,1664400
"2017-01-04",76.2,77.08,75.85,76.97,53.1892,1281900
"2017-01-05",76.87,76.87,75.23,76.37,52.7746,1033800
"2017-01-06",76.49,76.76,75.37,75.62,52.2563,1667100
"2017-01-09",75.29,75.66,72.59,72.83,50.3283,3979400
"2017-01-10",72.88,73.93,72.03,73.48,50.7775,2469200
"2017-01-11",73.51,74.02,73.09,74.02,51.1507,1438000
"2017-01-12",73.64,73.85,72.4,73.53,50.8121,1195100
"2017-01-13",73.83,74.43,73.47,73.68,50.9157,876200
"2017-01-17",73.15,73.43,72.64,73.05,50.4804,1764200
"2017-01-18",73.23,73.34,72.6,73.29,50.6462,1825200
"2017-01-19",73.49,73.49,72.42,72.75,50.2731,1665200
"2017-01-20",72.87,73.7,72.39,73.7,50.9296,1782600
"2017-01-23",73.35,73.62,72.83,73.45,50.7568,1342000
"2017-01-24",73.49,74.08,73.11,73.84,51.0263,1196500
"2017-01-25",74.36,74.56,73.52,74.18,51.2612,1894300
"2017-01-26",71.91,72.61,68.09,70.26,48.5524,7648900
"2017-01-27",69.82,69.91,67.81,69.39,47.9512,4582100
"2017-01-30",69.15,69.28,67.7,67.96,46.963,3038600
"2017-01-31",67.64,68.04,67.17,67.44,46.6037,3669200
"2017-02-01",68.09,68.43,66.59,66.77,46.1407,2988000
"2017-02-02",66.6,66.8,65.33,66.45,45.9195,3702400
"2017-02-03",67.23,68.27,67.01,67.71,46.7902,2869400
"2017-02-06",66.7,68,66.7,67.33,46.5276,1867700
"2017-02-07",67.56,67.84,67.18,67.55,46.6797,1446200
