date,open,high,low,close,adjclose,volume
"2016-09-26",30.02,30.07,29.71,29.84,23.66,4363300
"2016-09-27",29.8,30.43,29.65,30.4,24.104,5707200
"2016-09-28",30.47,30.5,30.13,30.33,24.0485,4125100
"2016-09-29",30.31,30.65,30.17,30.4,24.104,5985800
"2016-09-30",30.29,30.68,30.23,30.59,24.2546,5725700
"2016-10-03",30.64,30.81,30.57,30.72,24.3577,4198500
"2016-10-04",30.82,30.92,30.36,30.39,24.0961,5104800
"2016-10-05",30.67,30.71,30.5,30.53,24.2071,6205000
"2016-10-06",30.7,30.81,30.38,30.77,24.3974,4099900
"2016-10-07",30.88,31.21,30.65,31.18,24.7225,5753400
"2016-10-10",31.19,31.48,31.16,31.28,24.8017,7810500
"2016-10-11",30.99,30.99,30.51,30.73,24.3657,10157600
"2016-10-12",30.9,31.41,30.7,31.35,24.8572,9587000
"2016-10-13",30.93,30.93,29.52,30.53,24.2071,17323000
"2016-10-14",31.06,31.27,30.57,30.66,24.3102,9822900
"2016-10-17",30.52,30.76,30.38,30.57,24.2388,7598400
"2016-10-18",30.91,30.98,30.69,30.86,24.4687,5487500
"2016-10-19",30.95,31.04,30.66,30.98,24.5639,6733000
"2016-10-20",30.93,31.15,30.8,31.06,24.6273,7329800
"2016-10-21",30.92,31.14,30.76,31.08,24.6432,3817100
"2016-10-24",31.14,31.41,31.08,31.41,24.9048,3768900
"2016-10-25",31.4,31.62,31.38,31.55,25.0158,3214700
"2016-10-26",31.19,31.43,31.07,31.21,24.7462,4121500
"2016-10-27",31.23,31.26,30.75,30.77,24.3974,6243200
"2016-10-28",30.94,31.1,30.76,30.77,24.3974,5210800
"2016-10-31",30.93,31.13,30.84,31.1,24.659,3212300
"2016-11-01",31.12,31.2,30.48,30.71,24.3498,5815800
"2016-11-02",30.67,30.73,30.24,30.39,24.0961,5274700
"2016-11-03",30.35,30.5,30.18,30.28,24.0089,4890800
"2016-11-04",30.21,30.45,30.02,30.24,23.9771,4431900
"2016-11-07",30.72,31.38,30.68,31.35,24.8572,3981800
"2016-11-08",31.2,31.5,31.01,31.34,24.8493,4077100
"2016-11-09",30.64,30.99,30.31,30.59,24.2546,8996700
"2016-11-10",30.55,30.55,29.37,29.44,23.3428,10104300
"2016-11-11",29.06,30.08,28.76,29.93,23.7313,7506800
"2016-11-14",29.28,29.6,28.81,28.85,22.875,8551400
"2016-11-15",29.31,29.44,28.77,29.2,23.1525,11135600
"2016-11-16",29.09,29.9,29.09,29.86,23.6758,8802600
"2016-11-17",30,30.02,29.35,29.47,23.3666,7065100
"2016-11-18",29.43,29.57,29.19,29.47,23.3666,5136600
"2016-11-21",29.6,29.74,29.46,29.65,23.5093,4477100
"2016-11-22",29.97,30.15,29.77,29.91,23.7155,8937500
"2016-11-23",29.9,30.13,29.74,29.89,23.6996,4017500
"2016-11-25",29.75,29.81,29.61,29.66,23.5173,2101800
"2016-11-28",29.71,29.94,29.54,29.66,23.5173,5435000
"2016-11-29",29.58,29.75,29.14,29.55,23.43,9254600
"2016-11-30",29.55,29.82,29.4,29.69,23.541,6403400
"2016-12-01",29.5,29.52,28.34,28.55,22.6371,12499600
"2016-12-02",28.52,28.87,28.39,28.86,22.8829,5195800
"2016-12-05",28.94,29.29,28.87,29.02,23.0098,3953100
"2016-12-06",29.31,29.61,29.2,29.51,23.3983,4336200
"2016-12-07",29.48,29.94,29.25,29.93,23.7313,3911600
"2016-12-08",30.27,30.27,29.86,30.04,23.8186,4094600
"2016-12-09",30.32,30.63,29.96,30.12,23.882,4387400
"2016-12-12",29.97,29.97,29.63,29.9,23.7075,3428000
"2016-12-13",30.06,30.64,30.03,30.36,24.0723,5857700
"2016-12-14",30.26,30.39,29.85,29.87,23.6838,6108400
"2016-12-15",30.16,30.29,30.03,30.16,23.9137,5073300
"2016-12-16",30.05,30.08,29.39,29.48,23.3745,6662100
"2016-12-19",29.49,29.54,29.17,29.27,23.208,6157000
"2016-12-20",29.35,29.56,29.14,29.31,23.2397,5570800
"2016-12-21",29.23,29.28,28.91,29.14,23.105,6267500
"2016-12-22",28.99,29,28.5,28.74,22.7878,7455900
"2016-12-23",28.78,29.13,28.69,29.05,23.0336,4853500
"2016-12-27",29,29.23,29,29.1,23.0732,3083000
"2016-12-28",29.26,29.32,29.04,29.12,23.0891,3663300
"2016-12-29",28.99,29.16,28.81,29.13,23.097,5323900
"2016-12-30",29.2,29.23,28.62,28.75,22.7957,4862800
"2017-01-03",29.25,29.51,29.06,29.31,23.2397,6280300
"2017-01-04",29.39,29.46,29.2,29.3,23.2318,4391800
"2017-01-05",29.53,29.91,29.52,29.8,23.6283,4775700
"2017-01-06",29.74,29.85,29.46,29.63,23.4935,4878700
"2017-01-09",29.79,30.14,29.72,30.04,23.8186,8371700
"2017-01-10",30.04,30.3,29.9,30.07,23.8423,7582000
"2017-01-11",29.78,30.2,29.72,30.17,23.9216,7467300
"2017-01-12",29.32,29.86,28.98,29.29,23.2239,13032200
"2017-01-13",29.5,29.65,29.22,29.44,23.3428,9811100
"2017-01-17",29.61,29.65,29.46,29.62,23.4855,7679800
"2017-01-18",29.55,29.68,29.44,29.49,23.3825,7692800
"2017-01-19",29.49,29.69,29.39,29.63,23.4935,8493200
"2017-01-20",29.62,30.26,29.57,30.07,23.8423,7399400
"2017-01-23",30.31,30.49,30.21,30.33,24.0485,6959800
"2017-01-24",30.53,30.9,30.51,30.82,24.437,7213600
"2017-01-25",31.1,31.33,30.94,31.31,24.8255,8025800
"2017-01-26",31.26,31.45,31.01,31.11,24.667,8308700
"2017-01-27",31.17,31.35,31,31.25,24.778,5982200
"2017-01-30",31.07,31.2,30.94,31.19,24.7304,7253100
"2017-01-31",31.04,31.16,30.73,30.91,24.5084,6263100
"2017-02-01",31.24,31.31,30.84,31.08,24.6432,5036900
"2017-02-02",30.71,30.89,30.62,30.78,24.4053,5794800
"2017-02-03",30.96,31.08,30.8,30.97,24.5559,5249100
"2017-02-06",30.95,30.95,30.7,30.87,24.4767,3523700
"2017-02-07",30.91,30.97,30.5,30.52,24.1992,6209500
"2017-02-08",30.69,30.7,30.29,30.33,24.0485,7776600
"2017-02-09",30.33,30.5,30.17,30.21,23.9534,8547000
"2017-02-10",30.44,30.81,30.35,30.71,24.3498,6749400
"2017-02-13",30.94,31.8,30.94,31.69,25.1268,10203800
"2017-02-14",31.47,31.47,31.11,31.33,24.8414,5208600
"2017-02-15",31.5,31.8,31.5,31.75,25.1744,4577200
"2017-02-16",31.72,32.49,31.63,32.32,25.6264,13197100
"2017-02-17",32.1,32.38,32.02,32.34,25.6422,7518200
"2017-02-21",32.39,32.47,32.17,32.33,25.6343,5475400
"2017-02-22",32.2,32.2,31.91,32.07,25.4281,5296200
"2017-02-23",32.15,32.15,31.73,31.75,25.1744,5291200
"2017-02-24",31.61,31.92,31.47,31.92,25.3092,3687100
"2017-02-27",31.82,31.82,31.48,31.53,25,5841900
"2017-02-28",31.59,31.68,31.4,31.47,24.9524,6040800
"2017-03-01",31.42,31.6,31.26,31.58,25.0396,4910300
"2017-03-02",31.19,31.24,30.79,30.87,24.4767,8561100
"2017-03-03",30.87,30.92,30.54,30.85,24.4608,6120700
"2017-03-06",30.8,30.94,30.71,30.85,24.4608,5467400
"2017-03-07",31.01,31.4,30.96,31.31,24.8255,7014000
"2017-03-08",31.47,31.52,31.2,31.22,24.7542,4528500
"2017-03-09",30.89,31.06,30.72,30.98,24.5639,6120700
"2017-03-10",30.87,31.08,30.82,31.06,24.6273,5655300
"2017-03-13",31.27,31.57,31.24,31.5,24.9762,3965700
"2017-03-14",31.38,31.47,31.2,31.21,24.7462,5967200
"2017-03-15",31.38,32.03,31.34,31.91,25.3013,4571400
"2017-03-16",32.25,32.47,32.2,32.41,25.6977,6489000
"2017-03-17",32.6,32.76,32.44,32.59,25.8404,6199800
"2017-03-20",32.8,33.11,32.71,32.85,26.0466,5126700
"2017-03-21",33.24,33.53,32.44,32.48,25.7532,9159900
"2017-03-22",32.57,32.85,32.48,32.69,25.9197,6713500
"2017-03-23",32.47,32.66,32.37,32.56,25.8167,5909900
"2017-03-24",32.73,33.1,32.61,32.81,26.0149,5899900
"2017-03-27",32.85,33.26,32.78,33.17,26.3003,5661500
"2017-03-28",33.36,33.43,33.13,33.35,26.443,4527000
"2017-03-29",32.95,32.97,32.77,32.93,26.11,4083900
"2017-03-30",32.84,33.15,32.78,33.07,26.221,3890600
"2017-03-31",32.7,32.94,32.57,32.84,26.0387,4853500
"2017-04-03",32.94,33,32.71,32.89,26.0783,4283100
"2017-04-04",32.8,32.95,32.77,32.86,26.0545,3756600
"2017-04-05",33.06,33.33,32.87,32.9,26.0862,5112900
"2017-04-06",32.88,32.94,32.73,32.86,26.0545,3990800
"2017-04-07",32.86,33.04,32.77,32.87,26.0624,3366300
"2017-04-10",32.87,32.87,32.42,32.52,25.7849,4937100
"2017-04-11",32.69,32.69,31.98,32.4,25.6898,6293800
"2017-04-12",32.47,32.64,32.02,32.28,25.5946,6136500
"2017-04-13",32.1,32.45,31.82,31.83,25.2378,8781700
"2017-04-17",32.04,32.07,31.77,32.03,25.3964,6918900
"2017-04-18",31.76,31.86,31.63,31.79,25.2061,5468600
"2017-04-19",31.92,31.95,31.49,31.61,25.0634,4739200
"2017-04-20",31.77,31.87,31.64,31.79,25.2061,4237700
"2017-04-21",32.09,32.14,31.95,32.08,25.4361,4530400
"2017-04-24",32.58,32.8,32.49,32.7,25.9277,5717000
"2017-04-25",32.76,33.18,32.75,33.07,26.221,5614300
"2017-04-26",33.06,33.11,32.82,33,26.1655,6027700
"2017-04-27",33.11,33.3,33.01,33.02,26.1814,5625600
"2017-04-28",33.15,33.25,33.04,33.07,26.221,5250500
"2017-05-01",33.16,33.41,33.14,33.4,26.4827,4015100
"2017-05-02",33.57,33.99,33.57,33.93,26.9029,5989300
"2017-05-03",33.88,34.29,33.84,34.29,27.1884,6660700
"2017-05-04",34.19,34.19,33.97,34.14,27.0694,5697300
"2017-05-05",34.16,34.44,34.03,34.42,27.2914,5249800
"2017-05-08",34.7,35.1,34.63,34.98,27.7355,6906900
"2017-05-09",35.13,35.46,35.13,35.41,28.0764,7297900
"2017-05-10",35.27,35.63,35.08,35.41,28.0764,9936700
"2017-05-11",35.62,35.8,35.37,35.56,28.1953,6648900
"2017-05-12",35.5,35.52,35.25,35.37,28.0447,4905000
"2017-05-15",35.36,35.39,34.88,35.06,27.7989,9784700
"2017-05-16",35.01,35.03,34.8,35.03,27.7751,6046200
"2017-05-17",34.8,34.81,34.39,34.42,27.2914,8128100
"2017-05-18",34.44,34.99,34.41,34.9,27.672,8303700
"2017-05-19",35.08,35.23,34.94,35.2,27.9099,7283300
"2017-05-22",35.39,35.51,35.26,35.4,28.0685,5914200
"2017-05-23",35.39,35.49,35.3,35.4,28.0685,6612800
"2017-05-24",35.42,35.59,35.34,35.52,28.1636,7812500
"2017-05-25",35.66,35.79,35.49,35.57,28.2033,4514900
"2017-05-26",35.55,35.58,35.33,35.51,28.1557,3109800
"2017-05-30",35.68,35.81,35.48,35.78,28.3698,4219300
"2017-05-31",35.32,35.36,35.1,35.36,28.0368,7663100
"2017-06-01",35.7,35.92,35.53,35.89,28.457,6016100
"2017-06-02",35.91,36.23,35.85,36.18,28.6869,5779200
"2017-06-05",36.56,36.67,36.3,36.39,28.8534,4819600
"2017-06-06",36.38,36.58,36.24,36.43,28.8852,5028000
"2017-06-07",36.59,36.71,36.38,36.46,28.9089,6537700
"2017-06-08",36.75,36.9,36.54,36.83,29.2023,7593900
"2017-06-09",36.58,36.7,35.2,35.79,28.3777,12040100
"2017-06-12",35.79,35.79,35.01,35.24,27.9416,11057000
"2017-06-13",35.46,35.59,35.25,35.56,28.1953,4969400
"2017-06-14",35.47,35.77,35.37,35.65,28.2667,7016400
"2017-06-15",35.11,35.47,35.01,35.44,28.1002,4623300
"2017-06-16",35.87,35.95,35.72,35.87,28.4411,7432400
"2017-06-19",36.13,36.36,36.07,36.21,28.7107,4523700
"2017-06-20",36.52,36.74,36.12,36.13,28.6473,4987400
"2017-06-21",36.21,36.78,36.21,36.71,29.1072,6329400
"2017-06-22",36.72,36.92,36.63,36.71,29.1072,6273400
"2017-06-23",36.72,36.78,36.54,36.73,29.123,5558600
"2017-06-26",36.44,36.52,35.92,36.13,29.5807,10127200
"2017-06-27",35.79,35.79,34.97,35.09,28.7292,8081100
"2017-06-28",35.27,35.39,34.75,35.35,28.9421,8306200
"2017-06-29",35.23,35.23,34.53,34.81,28.5,7332200
"2017-06-30",34.84,35.09,34.7,34.96,28.6228,5177500
"2017-07-03",35.04,35.17,34.83,34.88,28.5573,4470600
"2017-07-05",35.08,35.08,34.63,34.82,28.5082,9222200
"2017-07-06",34.5,34.64,34.31,34.5,28.2462,6493700
"2017-07-07",34.55,34.67,34.48,34.63,28.3526,7937800
"2017-07-10",34.61,35.16,34.55,35,28.6555,7779700
"2017-07-11",35.43,35.43,35.05,35.38,28.9666,9300800
"2017-07-12",35.65,35.8,35.5,35.69,29.2204,9211200
"2017-07-13",35.46,36.16,35.46,36.15,29.5971,9943900
"2017-07-14",36.13,36.35,35.98,36.25,29.6789,7196600
"2017-07-17",36.03,36.06,35.64,35.91,29.4006,4649800
"2017-07-18",35.88,36.04,35.72,35.87,29.3678,6185300
"2017-07-19",36.06,36.42,36.06,36.41,29.8099,7033800
"2017-07-20",36.41,36.41,36.08,36.1,29.5561,6996600
"2017-07-21",36.06,36.06,35.7,35.85,29.3514,5023500
"2017-07-24",36.11,36.22,36.01,36.22,29.6544,6842100
"2017-07-25",36.01,36.25,35.97,36.1,29.5561,5276300
"2017-07-26",36.1,36.25,35.94,36.22,29.6544,4342200
"2017-07-27",36.54,36.61,35.96,36.18,29.6216,7243100
"2017-07-28",36.05,36.07,35.7,35.86,29.3596,3678400
"2017-07-31",36.03,36.4,35.85,35.96,29.4415,7757600
"2017-08-01",35.95,35.99,35.71,35.84,29.3433,5437300
"2017-08-02",36.4,36.47,35.86,36.07,29.5316,6064600
"2017-08-03",36.11,36.11,35.65,35.79,29.3023,3919800
"2017-08-04",35.93,36.08,35.76,36.03,29.4988,4071400
"2017-08-07",36.26,36.82,36.26,36.79,30.1211,4860200
"2017-08-08",36.71,36.96,36.64,36.7,30.0474,3301200
"2017-08-09",36.2,36.47,36.03,36.46,29.8509,3153700
"2017-08-10",36,36.03,35.34,35.34,28.9339,5605400
"2017-08-11",35.52,36.2,35.43,36.14,29.5889,4291100
"2017-08-14",36.03,36.1,35.85,36.05,29.5152,3875600
"2017-08-15",36.19,36.49,36.09,36.42,29.8181,3820400
"2017-08-16",36.2,36.44,36.14,36.34,29.7526,3232000
"2017-08-17",36.3,36.34,35.77,35.79,29.3023,3324000
"2017-08-18",36,36.1,35.61,35.86,29.3596,3692800
"2017-08-21",35.91,36.01,35.63,35.98,29.4579,3588100
"2017-08-22",36.47,36.67,36.34,36.52,29.9,3202300
"2017-08-23",36.47,36.6,36.37,36.58,29.9491,2956400
"2017-08-24",36.78,36.93,36.58,36.83,30.1538,4544500
"2017-08-25",36.93,37.06,36.75,36.85,30.1702,2975200
"2017-08-28",36.59,36.87,36.57,36.77,30.1047,2199900
"2017-08-29",36.52,36.97,36.5,36.88,30.1947,2997700
