date,open,high,low,close,adjclose,volume
"2016-09-26",52.45,52.56,52.02,52.15,30.4495,10559000
"2016-09-27",52.31,52.66,52,52.49,30.648,8259000
"2016-09-28",52.31,52.44,51.81,52.06,30.397,13279100
"2016-09-29",51.84,52.41,51.77,52.12,30.432,10804700
"2016-09-30",52.43,52.57,51.96,51.98,30.3503,13077600
"2016-10-03",51.84,52.14,51.6,51.88,30.2919,9120300
"2016-10-04",51.77,51.94,51,51.26,29.9299,13753300
"2016-10-05",50.69,50.82,50.03,50.27,29.6866,17190900
"2016-10-06",50.32,50.52,49.97,50.26,29.6806,11724000
"2016-10-07",50.46,50.54,49.92,49.92,29.4799,13816800
"2016-10-10",50.23,50.3,49.63,50.19,29.6393,10687700
"2016-10-11",50.1,50.21,49.65,49.9,29.4681,11737900
"2016-10-12",49.96,50.48,49.94,50.3,29.7043,8880100
"2016-10-13",50.23,50.41,49.82,50.29,29.6984,11156900
"2016-10-14",50.34,50.61,50.27,50.28,29.6925,8853200
"2016-10-17",50.21,50.59,50.05,50.43,29.781,10724600
"2016-10-18",50.61,50.61,50.05,50.27,29.6866,10873900
"2016-10-19",50.45,50.63,50.35,50.38,29.7515,10364900
"2016-10-20",49.54,49.57,48.9,49.14,29.0192,27098200
"2016-10-21",48.79,48.92,47.95,48.2,28.4641,24785000
"2016-10-24",48.71,48.93,48.13,48.21,28.47,19414700
"2016-10-25",48.21,48.29,47.79,47.84,28.2515,16441200
"2016-10-26",47.74,48.05,47.58,47.63,28.1275,15049200
"2016-10-27",47.74,48.71,47.63,48.54,28.6649,22330700
"2016-10-28",48.56,48.77,48.1,48.21,28.47,10660100
"2016-10-31",48.24,48.3,48.05,48.1,28.4051,12459400
"2016-11-01",48.32,48.38,47.53,47.66,28.1452,13229400
"2016-11-02",47.75,47.75,46.86,46.94,27.72,16488200
"2016-11-03",46.98,47.27,46.79,46.87,27.6787,12605100
"2016-11-04",46.97,47.28,46.89,47.08,27.8027,14410200
"2016-11-07",47.39,47.47,46.94,47.46,28.0271,14705200
"2016-11-08",47.56,47.85,47.47,47.65,28.1393,9482400
"2016-11-09",47.01,48.08,46.47,47.86,28.2633,20871900
"2016-11-10",47.86,47.88,46.36,46.69,27.5724,24311700
"2016-11-11",46.7,46.9,46.51,46.69,27.5724,16425500
"2016-11-14",46.71,46.85,46.01,46.18,27.2712,21820200
"2016-11-15",46.51,47.37,46.38,47.37,27.974,18672200
"2016-11-16",47.49,47.98,47.32,47.93,28.3047,17328400
"2016-11-17",47.95,48.17,47.81,47.84,28.2515,12436300
"2016-11-18",47.85,48.2,47.57,48.07,28.3874,12820600
"2016-11-21",48.06,48.36,47.92,48.31,28.5291,10773300
"2016-11-22",48.48,49.61,48.37,49.49,29.2259,22030000
"2016-11-23",49.3,50.65,49.29,50.23,29.6629,21456700
"2016-11-25",50.22,50.8,50.17,50.67,29.9228,8087100
"2016-11-28",50.47,51.2,50.45,51.12,30.1885,15982400
"2016-11-29",51.03,51.15,50.77,50.96,30.094,11532800
"2016-11-30",50.55,50.73,49.9,49.9,29.4681,20698900
"2016-12-01",49.8,49.99,49.31,49.87,29.4503,12982800
"2016-12-02",50,50.32,49.6,49.81,29.4149,10650700
"2016-12-05",49.74,50.08,49.74,49.75,29.3795,13074700
"2016-12-06",50.15,50.62,49.76,50.36,29.7397,13581500
"2016-12-07",50.72,51.43,50.44,51.38,30.3421,16280600
"2016-12-08",51.23,51.28,50.98,51.13,30.1944,11502900
"2016-12-09",51.09,51.63,50.92,51.49,30.407,10101500
"2016-12-12",51.54,52.43,51.48,51.76,30.5665,16186400
"2016-12-13",52.08,52.37,52.06,52.36,30.9208,12211500
"2016-12-14",52.46,52.66,51.41,51.63,30.4897,19920400
"2016-12-15",51.37,52.13,51.25,51.81,30.596,13963600
"2016-12-16",52.06,52.28,51.86,52.27,30.8676,21262500
"2016-12-19",52.48,53.13,52.09,52.91,31.2456,13407000
"2016-12-20",52.93,53.46,52.93,53.12,31.3696,10366900
"2016-12-21",53.09,53.43,52.97,52.97,31.281,9656700
"2016-12-22",52.85,53.74,52.72,53.65,31.6826,11101500
"2016-12-23",53.65,53.75,53.44,53.68,31.7003,7201200
"2016-12-27",53.69,53.83,53.44,53.64,31.6767,6255400
"2016-12-28",53.63,53.83,53.37,53.44,31.5586,6849500
"2016-12-29",53.59,53.9,53.51,53.74,31.7357,7150800
"2016-12-30",53.55,53.64,53.17,53.38,31.5231,12440800
