date,open,high,low,close,adjclose,volume
"2016-09-26",42.0257,43.613,41.9501,43.0915,37.8223,7807685
"2016-09-27",42.9252,44.8375,42.8269,44.4898,39.0497,10494698
"2016-09-28",44.5956,44.7997,43.099,43.8473,38.8155,6453462
"2016-09-29",44.1648,45.2457,43.5147,44.0438,38.9895,7100012
"2016-09-30",44.1648,44.709,43.6054,44.195,39.1233,5816966
"2016-10-03",44.6107,45.7067,44.3991,44.4898,39.3843,6831840
"2016-10-04",44.8602,45.0113,44.0212,44.3613,39.2705,6087388
"2016-10-05",44.2101,45.1172,43.9834,44.777,39.6385,5876766
"2016-10-06",44.7468,44.7921,43.288,43.8776,38.8423,6568166
"2016-10-07",43.7717,44.6788,43.7415,44.3462,39.2571,4652991
"2016-10-10",44.8526,45.1474,44.3915,44.7921,39.6519,4976332
"2016-10-11",44.7921,44.8602,42.3658,42.7967,37.8854,8451059
"2016-10-12",42.8949,43.7339,42.3054,42.6531,37.7583,5678978
"2016-10-13",42.0408,42.0484,40.6122,41.7838,36.9888,6585894
"2016-10-14",42.0408,42.6833,41.353,41.4512,36.6944,5070927
"2016-10-17",41.4361,42.1164,39.6296,40.1965,35.5837,8723201
"2016-10-18",40.8692,41.0884,40.0605,40.8088,36.1256,4145885
"2016-10-19",39.8337,40.7937,39.3802,40.514,35.8647,4902244
"2016-10-20",40.5064,41.0431,40.2872,40.7105,36.0387,2930710
"2016-10-21",40.4611,40.5442,39.7732,40.1134,35.5101,3656640
"2016-10-24",40.3023,40.6274,40.1814,40.4535,35.8112,4177108
"2016-10-25",40.8541,41.1489,40.1436,40.5367,35.8848,4412470
"2016-10-26",40.4535,42.8345,40.1663,42.7211,37.8185,11676798
"2016-10-27",44.2555,46.8405,44.2177,45.034,39.866,19958117
"2016-10-28",45.1096,46.1073,44.6712,44.7543,39.6184,6297745
"2016-10-31",44.7846,45.3137,44.1648,44.1723,39.1032,4449514
"2016-11-01",44.2252,44.52,42.5548,43.2653,38.3003,5055315
"2016-11-02",43.167,43.5601,41.678,41.7234,36.9353,5578033
"2016-11-03",41.8972,42.3129,41.4739,41.678,36.8951,4223810
"2016-11-04",41.3605,42.3054,41.0129,41.5873,36.8148,3579509
"2016-11-07",42.6379,43.8095,42.5548,43.5903,38.588,5957469
"2016-11-08",43.3409,43.6659,42.8194,43.2804,38.3137,3935793
"2016-11-09",42.3885,43.87,41.61,43.4467,38.4609,7698934
"2016-11-10",43.8246,44.966,42.8269,42.963,38.0326,6424885
"2016-11-11",42.8723,44.5881,42.5246,44.5125,39.4043,8229060
"2016-11-14",44.3386,45.7596,44.3311,44.9584,39.7991,5841839
